Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type,Yard Waste (Curbside),Yard Waste (Dropoff), # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,PAYT,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,Private Hauler regulations that require recycling,Swap-Shop,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,Tip Fee as of 1/1/2013,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Did your municipality host comprehensive household hazardous waste collection events in 2012?,How many events?,Regional,Reciprocal,Comments/Additional Information,
Milton,John Thompson,9408,8790,9248,Curbside,,,Both,,Yes,,,None,Yes,,16,,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,Yes,4890,Yes,,Yes,75.48,3301,,,,,,37,,,,,,2138,23,Year Round,Year Round,Once a Month,Once a Month,Year Round,Once a Month,Once a Month,Year Round,0,1 or 2,Once a Month,Year Round,Once a Month,Once a Month,Once a Month,0,1 or 2,0,0,Yes,1,No,No,,
MONROE,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONSON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montague,Jan Ameen,2626,2350,2350,Curbside,,,Curbside,,,,,None,,Yes,,52,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,,Yes,1127,No,164,Yes,81,,,,371,239,,7,,,,,,300,11,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,0,0,0,0,0,0,0,Yes,1,Yes,Yes,,
MONTEREY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONTGOMERY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Washington,Jamie Cahillane,70,70,70,Drop-off,,,Drop-off,,,,,None,,,,,Both,Neither,Both,Neither,,,,,,,,,,,,,,,47,No,17,No,78.75,,,,13,6,,,,,,,,,,0,0,1 or 2,1 or 2,Between 3 & 10,0,1 or 2,1 or 2,1 or 2,Between 3 & 10,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,0,0,0,No,,,,,
Nahant,Mary Ellen Schumann,1350,1350,1350,Curbside,,,Curbside,,Yes,,,None,Yes,Yes,8,28,Both,Both,Both,Neither,,,,,,,,,,,,,,,1021,Yes,,No,,343,,,,,,,,,,,,,,0,0,Year Round,Year Round,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,
NANTUCKET,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natick,Thomas Hladick,12040,9420,9420,Curbside,,,Both,Bi-weekly,Yes,Yes,96,None,Yes,Yes,6,104,Both,Both,Recycling,Neither,Yes,,,,,,,,,,,,,Yes,5967,Yes,,Yes,74.81,3285,201,164,52,59,22,174,95,,,,,6355,32,Year Round,Once a Week,Once a Week,Once a Week,Year Round,Year Round,Once a Week,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,,
NEEDHAM,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Ashford,Sandy Totter,94,0,94,None,,,Drop-off,,,,,None,,Yes,,0,Recycling,Neither,Neither,Neither,,,,,,,,,,,,,,Yes,0,Yes,,No,,,,,6,4,,,,,,,,,,0,0,0,0,0,0,0,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,No,,,,New Ashford residents may participate in special collections held by NBSWMD in other member towns.  There is no yard waste or Christmas tree drop-off.,
New Bedford,Marissa Perez-Dormitzer,43256,33731,33731,Both,,,Both,Weekly,,Yes,64,None,Yes,Yes,38,52,Both,Both,Both,Neither,,,,,,,,,,,,,,Yes,37402,Yes,,No,,,3,356,2083,1419,20,222,1,,19,,,5434,243,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Yes,2,Yes,No,"20.7 tons of tires were recycled
1.82 tons of cooking oil was recycled",
NEW BRAINTREE,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Marlborough,Sharon Fleck,940,350,940,Drop-off,,,Drop-off,,,,,None,,,,,Recycling,Neither,Recycling,Recycling,,,,,,,,Yes,,Yes,Yes,,Yes,,242,Yes,,Yes,,42,,,64,,,20,,,,,,,10,0,Year Round,Year Round,Year Round,1 or 2,0,0,1 or 2,1 or 2,1 or 2,1 or 2,0,1 or 2,1 or 2,1 or 2,0,0,0,0,No,,,,,
New Salem,Jan Ameen,450,300,300,Drop-off,,,Drop-off,,,,,Drop-off,,,,,Both,Recycling,Neither,Neither,Yes,,,,,,,,,,,,Yes,Yes,145,No,23,Yes,70,,,,51,34,,7,,,,,2,,,0,0,0,0,0,Year Round,0,0,0,0,Year Round,Year Round,0,0,0,0,0,Year Round,0,Yes,1,Yes,Yes,,
NEWBURY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newburyport,molly ettenborough,8659,7457,7457,Curbside,,,Both,Bi-weekly,Yes,Yes,64,Curbside,Yes,Yes,9,40,Both,Both,Both,Neither,,Yes,3,35,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5153,Yes,,Yes,61,2948,,,,,,18,34,,15,3,1,421,41,Once a Month,Once a Month,Once a Month,Once a Week,Once a Month,Once a Week,Once a Month,Once a Month,Once a Month,Once a Month,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Month,Yes,1,Yes,Yes,,
Newton,Courtney Forrester,31975,27540,27540,Curbside,Yes,64,Both,Weekly,Yes,Yes,64,None,Yes,,39,,Both,Both,Neither,Neither,Yes,,,,,,,,,,,Yes,,Yes,19929,Yes,,No,74.81,10753,,129,,,6,231,273,,,,,6652,22,Year Round,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,18,No,No,"E-waste is paid for by the resident ($12/CRT, all other items included), City only pays for abandoned CRTs;  Auto tires (max of 2/week) are collected with scheduled bulk program year-round; Latex paint that is useable (less than 3 years old, more than half-full) is accepted daily at Paint Reuse Shed May-October, dried out paint is accepted in trash; Scrap metal rebate does not include appliances, only received rebate on 162.19 T; Collect about 1T of EPS each year for recycling",
Norfolk,Robert  J. McGhee,3641,1332,1332,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,963,Yes,,Yes,,0,169,107,0,215,27,0,25,75,0,0,0,570,12,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Yes,26,No,Yes,"The Town of Norfolk Recycling/Transfer Station accepts Household Hazardous Waste one time per week (Wednesday) from April 1st through September 30th each year.  We are a member of the Charles River Household Hazardous Waste Consotrium.

-  Question #8:  The value in the section ""Revenue/Cost per Ton"" for ""Steel/tin/aluminum/glass/plastic..."" is an average of the various revenues/costs for all materials listed.

-  Question #8:  ""Other Recycled Materials"":  Tonnage for Scrap Metal/White Goods is included in the ""Steel/tin/aluminum..."" line above (97.64 ton metal).  Mattressed and Carpet are included in the Solid Waste tonnage, Question #5, and are not tracked individually.",
NORTH ADAMS,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Andover,Bruce Thibodeau,11000,8000,8000,Both,,,Both,,Yes,,,None,Yes,,9,,Both,Both,Both,Neither,,,,,,,,,,,,,,,8064,Yes,,No,60,2583,,,,,,,,,,,,200,,Year Round,0,Year Round,0,Year Round,0,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Yes,2,Yes,No,Changes were enacted in 2013 by the Selectmen for the Town's Yard Waste Facility to increase to fees and restricte use to primarily Town residents.  These greatly reduced the amount of leaf and yard waste entering the facility.,
North Attleborough,Michele Bernier,10745,8709,8709,Both,,,Both,Weekly,Yes,Yes,96,None,Yes,Yes,7,36,Both,Both,Neither,Neither,Yes,,,,,,,Yes,Yes,Yes,No,Yes,,Yes,4552,Yes,,Yes,76,2540,,31,11,3,18,71,,61,,,,2646,10,1 or 2,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Yes,2,No,No,mattresses and boxsprings collected  - 255,
North Brookfield,Lucinda Thompson,2000,1254,1254,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Recycling,Both,Neither,Yes,,,,,,,Yes,,Yes,No,Yes,Yes,,615,Yes,,Yes,,,24,34,63,65,,13,20,50,,,,120,12,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,1 or 2,1 or 2,0,Year Round,Year Round,0,Yes,1,Yes,No,"Latex Paint is collected year round. Oil based paint is collected 1x per year.
Prices for HDPE Col- Baled 480.00; HDPE Nat-Baled 670.00; Glass -(35.00)",
NORTH READING,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northampton,Susan Waite,11628,4025,4025,Drop-off,,,Drop-off,,,,,Drop-off,,Yes,,34,Neither,Neither,Neither,Neither,Yes,,,,,,,,,,,Yes,,Yes,1260,No,159,Yes,72,,,,792,426,20,152,4,,,,103,555,16,Year Round,Once a Week,Once a Week,Once a Week,Year Round,0,Once a Week,Year Round,1 or 2,1 or 2,Year Round,Year Round,Once a Week,Once a Week,Once a Week,1 or 2,Year Round,Year Round,Year Round,Yes,1,No,Yes,"Question 4: Municipal Program Service - Several city departments use the transfer station, but no buildings per se.  Small businesses are welcome to use the transfer station, but we do not actively recruit and typically sell only a few stickers to area business owners.

Question 9: I am assuming ""Household Batteries"" are alkaline batteries.  We do not collect alkaline batteries, but we collect all rechargeable batteries and button batteries year-round.",
Northborough,Fred Litchfield,5670,4830,4830,Curbside,,,Curbside,,Yes,,,None,,Yes,,52,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,Yes,,Yes,1132,Yes,,Yes,74.31,1132,,,,,1,2,,,,,,525,,0,0,0,0,1 or 2,Year Round,0,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,0,1 or 2,Yes,1,No,No,"1) There is a private hauler licensed to collect trash and recycling in Northborough with about 800 customers, but their customers can also use Town Bags if they choose to.
2) The Town did hold two HHWD events in years past for free but reduced that number to one event per year when participation dropped by 80% due to the introduction of a $10 per box fee.
3) Single Stream recycling started on July 1, 2011.
4) The trash and recycling tonnage above does not include school amounts because the School Department hired a separate contractor to collect trash and recycling as of July 1, 2011.
5) Although collection of other recyclable items listed in section 9 are not collected as part of the curbside collection program, most are either collected at an annual event or residents can find contact information within the annual recycling calendar mailed to each household in June each year.",
Northbridge,Theodore Kozak,5828,0,600,None,,,Drop-off,,,,,None,Yes,Yes,10,37,Neither,Neither,Neither,Neither,,,,,,,,,,,,Yes,,,0,Yes,,No,,,,31,22,61,1,6,,,1,,,,2,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,0,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,1 or 2,Once a Week,Once a Week,No,,,,,
Northfield,Jan Ameen,1100,920,920,Drop-off,,,Drop-off,,,,,Drop-off,,,,,Recycling,Recycling,Neither,Neither,Yes,,,,,,,,,,,,Yes,Yes,373,No,0,No,70,,,,148,91,,26,,,,,36,,4,Year Round,0,Year Round,Year Round,0,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,Yes,1,Yes,Yes,,
NORTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwell,Brian Flynn,3441,3441,3441,Curbside,,,Curbside,,Yes,,,None,,Yes,,52,Both,Both,Neither,Neither,,Yes,4,39,,Yes,,,,,,,,Yes,3682,Yes,,No,34.52,1096,,24,,,,62,,,,,,,27,Year Round,1 or 2,Year Round,Year Round,Between 3 & 10,0,Year Round,1 or 2,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,Yes,1,Yes,Yes,,
Norwood,Doris Burtman,13198,10153,10153,Curbside,Yes,64,Both,Bi-weekly,Yes,Yes,96,None,Yes,Yes,30,30,Both,Both,Neither,Neither,,Yes,2,64,Yes,Yes,No,,,,,,,Yes,6658,No,1135,Yes,,2649,,,,3,17,270,5,20,10,,,2125,25,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Yes,1,No,No,,
Oak Bluffs,Richard Combra JR,2491,1993,2106,Both,,,Drop-off,,Yes,,,None,,Yes,,52,Both,Trash,Neither,Neither,Yes,,,,,,,,,,,,,,842,No,0,No,146.5,142,84,60,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,
OAKHAM,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange,Jan Ameen,2488,1320,1320,Drop-off,,,Drop-off,,,,,Drop-off,,Yes,,52,Both,Recycling,Neither,Neither,Yes,,,,,,,,,,,Yes,Yes,Yes,525,No,214,Yes,77.77,,,,207,112,,28,9,,,,3,152,11,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,Yes,1,Yes,Yes,,
ORLEANS,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otis,James Crandall,1701,1200,1200,Drop-off,,,Drop-off,,,,,None,,Yes,,12,Both,Both,Both,Both,,,,,,,,Yes,,Yes,Yes,,Yes,Yes,561,Yes,,Yes,77,,,,97,68,,22,,,,,,,5,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,No,,,,,
OXFORD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmer,Andrew Golas,4124,0,4124,None,,,Drop-off,,,,,None,,Yes,,12,Neither,Neither,Neither,Neither,,,,,,,,,,,,Yes,,,0,No,0,No,,,,,95,49,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 or 2,0,0,No,,,,,
PAXTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peabody,Bert Maria,21313,19295,19295,Both,,,Both,,,,,None,Yes,Yes,12,52,Both,Both,Neither,Neither,,Yes,3,36,,Yes,,Yes,Yes,,,,,,16836,Yes,,No,72,,,,1826,1545,,575,8,,,,,2371,136,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Yes,1,Yes,No,,
PELHAM,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pembroke,Edwin J. Thorne,6454,6300,6300,Curbside,,,Both,Weekly,Yes,Yes,64,None,,Yes,,52,Both,Recycling,Neither,Neither,,Yes,3,35,,Yes,,,,,,,Yes,Yes,5395,Yes,,No,118,1763,,14,,12,,68,10,,38,,,414,49,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,2,No,No,,
PEPPERELL,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,Sandy Totter,320,320,320,Drop-off,,,Drop-off,,,,,None,,Yes,,0,Both,Neither,Neither,Neither,,,,,,,,,,,,,,Yes,217,No,11,Yes,,,,,31,14,,16,,,,,,,,0,0,0,0,0,0,Year Round,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,No,,,,Peru has bulky collection in the summer months.  There is no municipal yard waste or Christmas tree program.  Paint collection is in Hinsdale at the NBSWMD shed.,
PETERSHAM,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phillipston,Matt Pearson,450,450,450,Drop-off,,,Drop-off,,Yes,,,None,,,,,Both,Both,Both,Neither,Yes,,,,,,,,,,,,Yes,,172,No,0,Yes,120,99,,,,,,,2,,,,,,,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,0,0,Year Round,Year Round,No,,,,,
PITTSFIELD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plainfield,Eric Weiss,243,225,225,Drop-off,,,Drop-off,,,,,None,,,,,Both,Both,Both,Neither,Yes,,,,,,,Yes,,Yes,Yes,,Yes,Yes,124,Yes,,Yes,72,,,,31,23,,15,4,,,,,,0,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Yes,1,Yes,Yes,,
Plainville,Deborah J. Revelle,3627,1846,1846,Curbside,,,Both,,Yes,,,None,,Yes,,48,Both,Both,Neither,Neither,Yes,,,,,,,,,,,Yes,,Yes,1301,Yes,,Yes,79.48,671,,16,13,,,10,,,,,,179,11,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,Yes,1,No,No,"out of the 3627 households in Plainville, 1846 are on the municipal collection program,  It is therefore assumed that 1781 have private collection.  Out of the 1781 that have private collection, it has been confirmed that 814 have recycling service.  Either recycling carts or recycling only dumpsters are located on the multi unit properties.",
Plymouth,Greg Smith,21405,9985,9985,Both,Yes,65,Both,Bi-weekly,Yes,Yes,95,None,,Yes,,52,Both,Both,Recycling,Neither,Yes,,,,,,,,,,,,,,9033,No,0,No,23.55,,,411,1004,791,0,564,34,0,0,0,0,1127,58,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Yes,2,No,Yes,,
PLYMPTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRINCETON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provincetown,David Gardner,3886,3043,3043,Both,,,Both,,Yes,,,None,,Yes,,52,Both,Both,Neither,Both,,Yes,2,32,Yes,,No,,,,,,Yes,,2175,Yes,,Yes,37,1080,,300,,,,,,,,,,,,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,Yes,1,No,Yes,,
Quincy,john sullivan,39000,32000,39000,Curbside,,,Both,,Yes,,,None,Yes,Yes,18,52,Both,Both,Neither,Neither,,,,,,,,,,,,,,Yes,29331,Yes,,No,68,4984,,,,,,4,100,,,,,,,0,0,Year Round,Year Round,1 or 2,1 or 2,0,1 or 2,1 or 2,0,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,1 or 2,Year Round,0,Yes,2,No,No,,
Randolph,Ryan Egan,10491,8654,8654,Curbside,,,Curbside,,Yes,,,None,Yes,Yes,6,24,Both,Both,Neither,Neither,,Yes,5,35,Yes,,Yes,,,,,,,,9876,Yes,,No,76,,2357,414,1053,5,,10,,,,,,4926,154,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,,
RAYNHAM,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading,Michael O'Halloran,8694,8272,8272,Curbside,,,Both,,,,,None,Yes,Yes,5,35,Both,Both,Neither,Neither,,Yes,4,30,,Yes,,Yes,Yes,,,,,,7034,Yes,,No,63.58,,,,1689,1135,5,26,22,,,,,5222,31,1 or 2,1 or 2,Year Round,Year Round,Year Round,0,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,Yes,1,No,No,,
REHOBOTH,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REVERE,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCHESTER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockland,Janice McCarthy,5970,4354,4354,Curbside,,,Both,,Yes,,,None,,Yes,,52,Both,Both,Neither,Neither,,,,,,,,Yes,Yes,,,,,Yes,5143,No,216,Yes,75.05,1179,,11,7,4,,25,,,2,,,320,24,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,No,,,,,
Rockport,Mr. Joseph Parisi,4990,3181,3181,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Both,Both,Neither,Yes,,,,,,,Yes,,Yes,Yes,,Yes,Yes,2743,Yes,,Yes,,0,0,0,569,300,0,37,20,0,0,0,0,1000,20,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,Yes,5,No,Yes,,
Rowe,Jan Ameen,215,200,200,Drop-off,,,Drop-off,,,,,None,,,,,Both,Neither,Neither,Neither,,,,,,,,,,,,,Yes,Yes,120,No,40,No,70,,,,22,13,,15,,,,,,,2,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,Yes,1,Yes,Yes,,
ROWLEY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royalston,Philip Leger,550,395,395,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Both,Both,Both,Yes,,,,,,,,,,,,Yes,Yes,171,No,111,Yes,120,,,,,,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,No,,,,,
RUSSELL,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUTLAND,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
