Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type,Yard Waste (Curbside),Yard Waste (Dropoff), # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,PAYT,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Enforced Mandatory Recycling,Recycling Enforced by Muni,Recycling Enforced by Hauler,Swap-Shop,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Tip Fee as of 1/1/2013,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Did your municipality host comprehensive household hazardous waste collection events in 2012?,How many events?,Regional,Reciprocal,Comments/Additional Information,
New Bedford,Marissa Perez-Dormitzer,43256,33731,33731,Both,,,Both,Weekly,,Yes,64,None,Yes,Yes,36,52,Both,Both,Both,,,,,,,,,,,Yes,36737,Yes,,,9,293,2037,1369,17,208,1,64,23,,,5271,251,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Yes,2,Yes,No,"New Bedford recycled 853 mattresses.  From eight weight tickets, I found the average mattress to weigh 54.02 pounds.  I used this to calculate the mattress tonnage.

New Bedford recycled 28.03 tons of tires.  

New Bedford also recycles books and cooking oil.

New Bedford provides 64-gallon carts for recycling to buildings with four, five or six units.",
NEW BRAINTREE,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Marlborough,Sharon Fleck,930,325,930,Drop-off,,,Drop-off,,,,,None,,,,,Recycling,Neither,Recycling,,,,,,,Yes,Yes,,Yes,,235,Yes,,42,,,57,,,20,,,,,,,10,0,Year Round,Year Round,Year Round,1 or 2,0,0,1 or 2,1 or 2,1 or 2,1 or 2,0,1 or 2,1 or 2,1 or 2,0,0,Yes,6,Yes,No,,
New Salem,Jan Ameen,450,300,300,Drop-off,,,Drop-off,,,,,Drop-off,,,,,Both,Recycling,Neither,Yes,,,,,,,,,,Yes,172,Yes,64,,,,50,32,,6,,,,,2,,,0,0,0,0,0,Year Round,0,0,0,0,Year Round,Year Round,0,0,0,0,0,No,,,,,
NEWBURY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newburyport,molly ettenborough,8982,7348,7348,Curbside,,,Both,Bi-weekly,Yes,Yes,64,None,Yes,Yes,5,36,Both,Both,Both,,Yes,3,35,Yes,Yes,Yes,Yes,Yes,,Yes,5106,Yes,69.4,2922,,,,,0,12,31,0,0,0,0,570,21,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Year Round,Year Round,Year Round,Year Round,Once a Month,Year Round,Yes,1,Yes,Yes,,
Newton,Courtney Forrester,31975,27500,27500,Curbside,Yes,64,Both,Weekly,Yes,Yes,64,None,Yes,,39,,Both,Both,Neither,,,,,,,Yes,Yes,,,Yes,19816,Yes,74.01,10992,,130,,,,169,319,,,,,6869,72,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,20,No,No,"CRTs and Electronic waste - the cost is $12/CRT.  Residents pay directly to vendor, City is responsible for abandoned units.  E-waste accepted at no additional charge.
Christmas Tree Collection occurs for 2 weeks  out of the total 39 weeks of YW (37 weeks leaf and YW and 2 weeks Xmas trees)
Latex Paint accepted M-F, May-October for reuse only
Residents are limited to one 64-gallon trash cart per week, additional trash carts can be purchased for a yearly fee (extra recycling carts no charge) and overflow bags are sold at local stores, however, we are not designated as a PAYT community
We also collect from small non-profits - their trash and recycling tonnages are included in the totals
We receive payments for scrap metal from Recycling Depot, but not for white goods collected curbside",
Norfolk,Robert J. McGhee,3641,1220,1220,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Neither,Neither,Yes,,,,,,,,,,,966,Yes,,0,181,111,0,193,25,0,43,81,0,0,0,786,15,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Yes,26,No,Yes,"*The Town of Norfolk Recycling/Transfer Station accepts Household Hazardous Waste one time per week (Wednesday) from April 1st through September 30th each year.  We are a member of the Charles River Household Hazardous Waste Consortium.

*Question #8:  The value in the section ""Revenue/cost per ton""  for  ""Steel/tin/aluminum/glass/plastic...."" is an average of the various revenues/costs for all materials listed.

*Question #8, ""Other Recycled Materials"":  Tonnage for Scrap ""Metal/White goods"" is included in the ""Steel/tin/aluminum..."" line above (87.54 T metal).  Mattresses and Carpet are included in the Solid Waste tonnage, Question #5, and are not tracked indivually.",
NORTH ADAMS,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Andover,Bruce Thibodeau,11000,8000,8000,Both,,,Both,,Yes,,,None,,Yes,,36,Both,Both,Recycling,,,,,,,,,,,,8200,Yes,70,2500,,,,,,,,,,,,900,,Year Round,0,Year Round,0,Year Round,0,Year Round,1 or 2,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Yes,2,Yes,No,,
North Attleborough,Michele Bernier,10745,8593,8593,Both,,,Both,Weekly,Yes,Yes,96,None,,Yes,,30,Both,Both,Neither,Yes,,,,,,Yes,Yes,,,,4175,Yes,88,2822,,40,4,4,,39,,15,168,,,16865,,1 or 2,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Yes,2,No,No,"SSR at curbside, dual stream at drop off.",
North Brookfield,Lucinda Thompson,1902,1269,1269,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Both,Both,Yes,,,,,,Yes,Yes,,Yes,,548,No,75,,32,37,80,48,,2,20,45,,,,140,6,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,1 or 2,0,Year Round,Yes,1,Yes,No,"Latex paint is collected year round. Oil based paint is collected once per year.
We also recycled 8.28 tons of books
Glass costs $50.00/ton to recycle. Price for HDPE colored = $210.00/ton; HDPE natural = $410.00/ton; Finished PETE=$195.00/ton
E-waste weight is estimated as we pay a base price of $700/pickup",
North Reading,Richard Carnevale,4377,4297,4297,Curbside,,,Curbside,,,,,None,Yes,Yes,2,32,Both,Both,Neither,,Yes,4,32,,Yes,,,,,,4848,Yes,71,,726,,,472,,,,,,,,925,,1 or 2,1 or 2,0,0,Between 3 & 10,1 or 2,1 or 2,1 or 2,0,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,0,Yes,1,No,No,"White goods collected-183 each ($25 to hauler directly)
CRT's collected-806 each (free to resident, Town pays fee)
Solid waste pickup $317,000/year for Town
Recycle pickup $207,000/year for Town",
Northampton,Karen Bouquillon,12124,4406,4406,Drop-off,,,Drop-off,,,,,Drop-off,,Yes,,52,Neither,Neither,Both,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,1494,No,,,,,1014,457,26,104,12,132,47,0,68,1042,42,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Yes,1,Yes,Yes,,
Northborough,Fred Litchfield,5566,4816,4816,Curbside,,,Curbside,,Yes,,,None,,Yes,,52,Both,Neither,Neither,Yes,,,,,,,,,,Yes,1140,Yes,74.01,1140,,,,,1,2,,,,,,500,,0,0,0,0,1 or 2,Year Round,0,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,0,Yes,1,No,No,"1) There is a private hauler licensed to collect trash and recycling in Northborough with about 750 customers, but their customers can also use Town Bags if they choose to.
2) The Town did hold two HHWD events in years past for free but reduced that number to one event per year when participation dropped by 80% due to the introduction of a $10 per box fee.
3) Single Stream recycling started on July 1, 2011 so all recycling data has been recorded as single stream.
4) The trash and recycling tonnage above does not include school amounts because the School Department hired a separate contractor to collect trash and recycling as of July 1, 2011.",
Northbridge,Theodore Kozak,5828,0,400,None,,,Drop-off,,,,,None,Yes,Yes,8,37,Neither,Neither,Neither,,,,,,,,,,,,0,Yes,,0,0,25,20,55,,4,,,0,,,,1,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,0,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,0,No,,,,,
Northfield,Jan Ameen,1257,920,920,Drop-off,,,Drop-off,,,,,Drop-off,,,,,Recycling,Recycling,Neither,Yes,,,,,,,,,Yes,Yes,379,No,69,,,,157,95,,27,,,,,39,,4,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,0,0,0,0,0,No,,,,,
NORTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwell,Brian Flynn,3391,3391,3391,Curbside,,,Curbside,,Yes,,,None,,Yes,,52,Both,Both,Neither,,Yes,4,39,,Yes,,,,,Yes,3593,No,34.52,1116,,25,1,,,76,,,,,,,15,Year Round,1 or 2,Year Round,Year Round,Between 3 & 10,0,Year Round,1 or 2,0,Between 3 & 10,Year Round,0,Year Round,Year Round,Year Round,0,0,Yes,1,Yes,Yes,,
Norwood,Doris Burtman,13335,10347,10347,Curbside,Yes,64,Both,Bi-weekly,Yes,Yes,96,None,Yes,Yes,30,30,Both,Both,Neither,,Yes,1,64,Yes,Yes,,,,,Yes,6658,No,,3762,,,,,68,494,7240,12,0,,,2024,54,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Between 3 & 10,Year Round,Yes,1,No,No,"According to WM Norwood condos and muni bldgs are collected using their commercial vehicles, so these tonnages reflect industry average based on current service schedule.",
Oak Bluffs,Richard Combra JR,2251,1800,0,Both,,,Drop-off,,,,,None,,Yes,,52,Both,Trash,Neither,Yes,,,,,,,,,,,836,No,137.25,127,86,55,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,
OAKHAM,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange,Jan Ameen,2488,1320,1320,Drop-off,,,Drop-off,,,,,Drop-off,,Yes,,52,Both,Neither,Neither,Yes,,,,,,,,,Yes,Yes,788,No,70,,,,214,115,,24,,,,,1,290,6,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,No,,,,,
ORLEANS,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otis,James Crandall,1701,1200,1200,Drop-off,,,Drop-off,,,,,None,,Yes,,12,Both,Both,Both,,,,,,,Yes,Yes,,Yes,Yes,1033,Yes,77,,,,97,65,,21,,233,,,,,4,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,0,0,Yes,3,Yes,No,,
Oxford,Sean Divoll,4500,0,0,None,,,None,,,,,None,,Yes,,50,Neither,Neither,Neither,,,,,,,,,,,,0,Yes,,,,,,,,,,,,,,,,0,0,Between 3 & 10,Between 3 & 10,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,"The Town of Oxford is a private hauler community.  
Two bulky waste dropoff days are scheduled in the spring and two bulky waste dropoff days are scheduled in the fall.  E-waste is collected during bulky item dropoff days.
The Town collects yard waste.
Residents are directed to privately owned and operated hazardous waste collection centers for disposal of hazardous waste.",
Palmer,Andrew Golas,5161,0,5161,None,,,Drop-off,,,,,None,,Yes,,12,Recycling,Recycling,Neither,,,,,,,,,,,,0,Yes,,,,,83,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,
PAXTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peabody,Bert Maria,21313,19295,19295,Both,,,Both,,,,,None,Yes,Yes,12,52,Both,Both,Neither,,Yes,3,36,,Yes,Yes,,Yes,,,17396,Yes,70,0,0,0,1995,1402,0,582,10,0,0,0,0,1396,133,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,1,Yes,No,,
PELHAM,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pembroke,Ed Thorne,6500,6000,6000,Curbside,,,Both,Weekly,Yes,Yes,64,None,,Yes,,52,Both,Neither,Neither,,Yes,4,32,Yes,Yes,,,,Yes,Yes,5371,Yes,115,1679,,10,,8,,55,4,,33,,,316,14,Once a Week,Once a Week,Once a Week,Once a Week,1 or 2,Once a Week,Once a Week,1 or 2,1 or 2,1 or 2,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Yes,2,No,No,,
PEPPERELL,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,Sandy Totter,320,320,320,Drop-off,,,Drop-off,,,,,None,,Yes,,0,Both,Neither,Both,,,,,,,,,,,Yes,212,No,,,,,30,14,,12,,,,,,,,0,0,0,0,0,0,0,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Yes,1,Yes,No,,
Petersham,Fifi Scoufopoulos,500,375,375,Drop-off,,,Drop-off,,,,,None,,,,,Both,Neither,Neither,Yes,,,,,,,,,Yes,,183,Yes,100,,,,61,38,,10,0,,,,,,2,Year Round,Year Round,1 or 2,1 or 2,Year Round,0,Year Round,1 or 2,0,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,0,1 or 2,No,,,,"Recyclables (paper,cardboard, newspaper collected together) and cans/glass/plastic are charged $180 per haul. No yard waste collected. Some of the question 9 materials,i.e. auto batteries and waste oil, are redirected to other sites in town for collection.",
Phillipston,Rick French,450,450,450,Drop-off,,,Drop-off,,Yes,,,None,,,,,Both,Both,Both,Yes,,,,,,,,,Yes,,139,No,120,95,,,,,,17,,,5,0,,,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,0,0,Yes,1,Yes,No,,
PITTSFIELD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plainfield,eric weiss,243,243,243,Drop-off,,,Drop-off,,,,,None,,,,,Both,Both,Both,Yes,,,,,,Yes,Yes,,Yes,Yes,112,Yes,68,,,30,21,,,11,4,,,,,,1,0,Year Round,Year Round,Year Round,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,0,0,Yes,1,Yes,Yes,,
Plainville,Deborah J. Revelle,3558,1804,1804,Curbside,,,Curbside,,Yes,,,None,,Yes,,52,Both,Both,Neither,Yes,,,,,,,,,,Yes,1155,Yes,,627,16,14,,,,22,,,,,,613,11,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,No,,,,,
Plymouth,Kerin McCall,21113,10018,10722,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Both,Neither,,,,,,,,,,,Yes,11776,No,22.53,,,413,961,671,,523,38,,,,,1267,60,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Yes,2,No,Yes,"1,843 tons of C&D/Bulky waste were diverted including wood, carpet, and mattresses.",
PLYMPTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRINCETON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provincetown,Sherry Prada,4120,3120,3120,Curbside,,,Curbside,,Yes,,,None,,Yes,,52,Both,Both,Neither,,Yes,2,32,Yes,,,,,Yes,,2250,Yes,37,1200,20,250,,,,50,,5,,,,2500,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Between 3 & 10,Yes,1,Yes,No,,
Quincy,john sullivan,40000,33500,40000,Curbside,,,Both,,Yes,,,None,Yes,Yes,18,52,Both,Both,Neither,,,,,,,,,,,Yes,28668,Yes,96.15,4997,,,,,,200,65,,,,,15000,151,1 or 2,0,Year Round,Year Round,1 or 2,Year Round,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,1 or 2,Yes,2,No,No,,
Randolph,Paula Steward,10513,8576,8576,Curbside,,,Curbside,,,,,None,Yes,Yes,6,16,Both,Both,Both,,Yes,5,64,Yes,Yes,,,,,,9960,Yes,75.6,,2294,405,940,9,,9,,,,,,4841,148,1 or 2,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,"We have Avon, MA  join us for the Household Hazardous day every year.

Tires .43 tons
Propan Tanks 7.43 tons.",
Raynham,Roger Stolte,4731,1372,1372,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Neither,Both,Yes,,,,,,Yes,Yes,,,,1050,Yes,,,75,101,129,157,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Month,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,0,0,Year Round,0,Yes,1,Yes,No,,
Reading,Michael O'Halloran,8461,8039,8039,Curbside,,,Both,,,,,None,Yes,Yes,5,35,Both,Both,Neither,,Yes,4,30,,Yes,Yes,,Yes,,,7022,Yes,62.57,,,,1913,1118,5,41,7,,,,,,23,1 or 2,1 or 2,Year Round,1 or 2,Year Round,0,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,2,No,No,,
Rehoboth,Bette J. Dyer,5000,1800,1800,Drop-off,,,Drop-off,,Yes,,,None,,Yes,,52,Neither,Neither,Neither,Yes,,,,,,,,,Yes,,827,Yes,,,10,91,,158,,,,,,,,77,6,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,No,,,,,
Revere,Miles Lang-Kennedy,22989,20289,20289,Curbside,,,Curbside,Bi-weekly,Yes,Yes,64,None,Yes,,19,,Both,Both,Trash,,,,,,,,,,,,15907,Yes,75,3172,,,,,,,,,,,,812,83880,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,0,Year Round,No,,,,"**Recycling Program - estimated 40% of households participate 

Question 4** trash pick up to business is only for small/family type businesses (offices) as courtesy (those not w/dumpsters)

Question 8 **Wood includes paint (paid to Clean Harbors Env. Services, Inc.)
                     TVs/computers are in pounds not tons (paid to ECER)",
RICHMOND,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCHESTER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockland,Janice McCarthy,5943,4334,4334,Curbside,,,Both,,Yes,,,None,,Yes,,52,Both,Both,Neither,,,,,,,Yes,,Yes,,Yes,4705,No,72,1072,,10,7,5,,14,,,3,,,335,11,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Yes,1,Yes,Yes,,
Rockport,Mr. Joseph Parisi,4990,3182,3182,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Both,Both,Yes,,,,,,Yes,Yes,,Yes,Yes,2601,No,,0,0,0,562,280,0,35,20,160,0,0,0,1000,20,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Yes,5,No,Yes,,
Rowe,Jan Ameen,155,150,150,Drop-off,,,Drop-off,,,,,None,,,,,Both,Neither,Neither,,,,,,,,,,Yes,Yes,202,Yes,64,,,,29,14,,12,,,,,,,1,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,Year Round,Year Round,0,0,0,0,0,No,,,,,
ROWLEY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royalston,Philip Leger,550,375,375,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Both,Both,Yes,,,,,,,,,Yes,Yes,170,No,120,,,,,,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,No,,,,,
RUSSELL,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUTLAND,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem,Julie Rose,14000,13765,13765,Curbside,,,Curbside,,,,,None,Yes,,5,,Both,Both,Both,,Yes,3,35,,Yes,,,,,,12561,Yes,,,1170,588,1183,,9,1,6,0,,,,1550,6,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,0,0,Yes,1,No,Yes,"As of May 2013, the City did start collecting some Mercury items such as thermostats, thermometers and light bulbs. As of July 1, 2013 the City will also have a Mercury Shed, begin collecting sharps, and institute a comprehensive e-waste program which will replace the current sticker program and pilot program for e-waste.",
SALISBURY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANDISFIELD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwich,Paul S. Tilton,8500,5000,5000,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Both,Recycling,Yes,,,,,,Yes,Yes,,,Yes,3418,Yes,37,,,,705,597,,319,102,,8,8,,5033,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,Yes,,
Saugus,lorna Cerbone,9975,8758,8758,Curbside,,,Both,,,,,None,Yes,Yes,4,40,Both,Both,Neither,,Yes,3,45,Yes,Yes,Yes,Yes,Yes,,,7974,Yes,73,,,,1228,805,,,,,,,,735,193881,1 or 2,1 or 2,Year Round,Year Round,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,2,Yes,Yes,Scrap metal tonnage is unknown collected at DPW,
Savoy,Sandy Totter,287,122,122,Drop-off,,,Drop-off,,,,,None,,Yes,,0,Both,Neither,Neither,Yes,,,,,,,,,,Yes,84,Yes,,,,,12,7,,5,,,,,,,,0,0,0,0,0,0,0,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Yes,1,Yes,No,Savoy has no yard waste drop-off.,
Scituate,Kevin Cafferty,7200,3099,7200,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Neither,Both,Yes,,,,,,,,,Yes,,3105,Yes,,356,,,1346,288,327,288,250,,70,,,,200,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Yes,1,Yes,Yes,,
Seekonk,Elizabeth Lamothe,5005,4807,4807,Curbside,,,Both,,,,,None,Yes,Yes,12,52,Both,Neither,Neither,Yes,,,,,,,,,,,2751,Yes,83,1447,,,,10,,,8,,,,,,,Year Round,Once a Month,Once a Month,Once a Month,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,1,Yes,No,,
Sharon,Liz Curley,6100,4927,4927,Curbside,,,Curbside,Bi-weekly,,Yes,96,None,Yes,Yes,7,18,Trash,Trash,Neither,,,,,,,,,,,,4773,No,34.77,1811,,,87,35,,43,,,,,,680,,1 or 2,Year Round,Year Round,Year Round,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Yes,1,No,No,,
Sheffield,Alicia Powers,1543,820,838,Drop-off,,,Drop-off,,,,,None,,,,,Both,Recycling,Neither,,,,,,,,,,,,550,Yes,,,,,117,87,,27,,,,,,,,0,0,Year Round,Year Round,0,0,0,0,0,0,Year Round,0,0,0,0,0,0,Yes,8,Yes,No,,
Shelburne,Jan Ameen,794,720,720,Drop-off,,,Drop-off,,,,,None,,,,,Recycling,Neither,Neither,Yes,,,,,,,,,Yes,Yes,285,No,69,,,,91,47,,,,,,,,,,0,0,0,0,0,Year Round,0,0,0,0,Year Round,Year Round,0,0,0,0,0,No,,,,,
