Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,Solid Waste program funded by property tax?,Solid Waste program funded by annual fee?,Solid Waste program funded by transfer station access fee?,Solid Waste program funded by per-visit fee?,Solid Waste program funded by PAYT/ SMART revenue?,What is the annual fee?,What is the transfer station access fee?,What is the per-visit fee?,PAYT/ SMART,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Applies to Residential Generators Eligible to be Served by Municipal Program,Applies to Residential Generators not Eligible to be Served by the Municipal Program,Applies to Commercial Generators,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,# Hours Enforcement Personnel on Street,Private Hauler regulations that require recycling,Applies to Haulers Serving Residential Generators Eligible to be Served by Municipal Program,Applies to Haulers Serving Residential Generators Not Eligible to be Served by Municipal Program,Applies to Commercial Generators,Swap-Shop,Reuse area at transfer station/ recycling center?,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,"Annual Bulky 
Waste 
Limit",Tip Fee as of 1/1/2019,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,C&D,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,"Propane tanks 
1 lb.",Propane tanks  20 lb.,Anti-freeze,Used oil filters,Latex paint,Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Books/Media,Plastic Bags,Fire Extinguishers,Did your municipality host comprehensive household hazardous waste collection events in 2018?,How many events?,Regional,Reciprocal,,
Hull,Joyce Sullivan,6057,0,0,None,,,None,,,,,None,0,0,Neither,Neither,Neither,Neither,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,Yes,,,,0,Yes,0,,,,,,,,,,,,,,,,,,,0,0,Year Round,Year Round,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Year Round,Year Round,0,Year Round,0,0,Yes,1,Yes,Yes,,
Huntington,Kathleen A. Casey,941,499,499,Drop-off,,,Drop-off,,Yes,,,None,,,Both,Both,Both,Neither,,Yes,,,Yes,40,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,No,,,,,,,,Yes,349.34,No,71.27,Yes,,85,86.62,,,,,,43.93,2.6,,,,,,3.83,,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,Year Round,No,,,,,
Ipswich,Marlene Faria Connelly,6369,5041,5155,Curbside,,,Curbside,Weekly,Yes,,,Curbside,1,52,Both,Both,Recycling,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,,,,Yes,,,,,,,,,Yes,2861.35,Yes,0,Yes,52,70.44,1805.79,,,,,16,80,21.2,,,,178.64,324,4.76,,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,1,No,No,,
Kingston,Paul Basler,4687,3300,3300,Drop-off,,,Drop-off,,,,,None,,52,Recycling,Neither,Neither,Neither,Yes,Yes,,,,200,,,,,,,,,,Yes,Yes,,,Yes,,No,,Yes,Yes,Yes,Yes,Yes,,Yes,2812,No,0,Yes,,74.3,,,182,220,250,50,230,39.7,,20.82,,,500,42.5,644,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,0,No,,,,,
Lakeville,Jennifer Jewell,4236,1656,1656,Drop-off,,,Drop-off,,,,,None,,52,Neither,Neither,Neither,Neither,Yes,Yes,,,Yes,50,,,Yes,,,,,,,Yes,Yes,,,,,,,,,,,Yes,Yes,,600.12,No,324.49,Yes,,78.5,0,13.19,118.77,34.46,103.94,5.11,88.68,,30.45,4.46,,,,10.77,28.61,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,,
Lancaster,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanesborough,Linda Cernik,1322,0,1322,None,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,No,4.75,Yes,,,,,,46.11,21.08,,15.8,,,,,,,3.25,,1 or 2,1 or 2,Between 3 & 10,Between 3 & 10,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Between 3 & 10,0,1 or 2,0,1 or 2,No,,,,,
Lawrence,Lorena Salazar,30000,21040,21040,Curbside,Yes,64,Curbside,Weekly,Yes,,,None,22,,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30199,No,0,Yes,,61.25,3066,,,260.58,,,,,,,,,,,,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Year Round,Once a Month,Once a Month,Once a Month,Once a Month,0,Once a Month,Once a Month,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,0,0,Once a Month,Yes,12,No,No,,
Lee,Peter Hofman,2254,0,0,None,,,None,,,,,None,,,Neither,Neither,Neither,Neither,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,Yes,0,No,0,,,,,,,,,,,,,,,,,,,1 or 2,0,0,0,1 or 2,Year Round,0,0,1 or 2,0,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,0,0,0,0,0,0,No,,,,,
Leicester,David Genereux,3587,0,3587,None,,,Drop-off,,,,,None,,30,Neither,Neither,Neither,Neither,,Yes,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,0,No,0,,,,,,,68,51,10,73,2,,1.32,,,58,0.38,,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,,
Lenox,Christopher Ketchen,2761,0,0,None,,,None,,,,,None,,,Neither,Neither,Neither,Neither,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,0,Yes,0,Yes,,,,,,,,,,,,,,,,,,1 or 2,0,Between 3 & 10,0,0,Between 3 & 10,Between 3 & 10,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,Between 3 & 10,0,0,0,0,0,Yes,2,Yes,Yes,,
Leominster,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leverett,Jan Ameen,719,470,470,Drop-off,,,Drop-off,,,,,Drop-off,,,Both,Both,Neither,Neither,Yes,,Yes,,Yes,,30,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,Yes,,Yes,143.57,No,90.8,Yes,,77,,,,86.89,51.56,,29.31,1,,,,37,,1.76,,Year Round,Year Round,Year Round,Year Round,Once a Month,Year Round,Year Round,Year Round,Once a Month,Once a Month,0,Once a Month,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,0,Year Round,No,,,,,
Lexington,robert beaudoin,12463,11467,11469,Curbside,,,Curbside,Weekly,Yes,,,Curbside,24,52,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,6,32,,Yes,,Yes,Yes,,,,Yes,,,,,,,,,Yes,8465,Yes,0,No,,67.84,4020,,,,,,189,45,2509,,,65,1595.48,16.23,5,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,Year Round,Year Round,Yes,8,Yes,No,,
Leyden,Michele Giarusso,325,0,0,None,,,None,,,,,None,,,Neither,Neither,Neither,Neither,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,Yes,,0,No,0,,,,,,,,,,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,,
Lincoln,Susan Donaldson,2050,1933,1933,Drop-off,,,Drop-off,,Yes,,,None,,52,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,Yes,16,,,,,Yes,Yes,Yes,950,Yes,0,No,,73.68,,,,,394,,85,26,,,,,,27,,Between 3 & 10,0,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,,
Littleton,Steven Whitten,3005,1818,1818,Drop-off,,,Drop-off,,,,,None,,52,Neither,Neither,Neither,Neither,,Yes,,,Yes,110,,,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,806.93,No,287.02,Yes,,76,,,,331.3,177.73,,83.02,26.73,287.02,3.44,,,123,9.08,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,,
Longmeadow,Mario Mazza,5754,5503,5503,Curbside,,,Curbside,Weekly,,,,None,6,52,Both,Both,Neither,Neither,Yes,,Yes,,Yes,,45,,Yes,,,,,,,Yes,Yes,Yes,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes,3533.28,No,292,Yes,,75,,,,1034.15,608.39,5.89,101.46,4.13,,,,,518.78,19.94,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,0,Year Round,No,,,,,
Lowell,Gunther Wellenstein,38000,25000,25000,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,39,6,Both,Both,Neither,Neither,Yes,Yes,,,,125,,,,Yes,1,64,Yes,,Yes,Yes,Yes,,,Yes,,Yes,40,,,,,,,Yes,24691,No,0,Yes,,64.97,6669,,,,,0,42,201,0,96.14,0,0,4590,37.65,0,Once a Month,Once a Week,Once a Week,Once a Week,Once a Month,Year Round,Once a Month,Once a Month,Once a Month,Once a Month,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Between 3 & 10,Year Round,0,Once a Week,Year Round,Once a Month,Yes,6,Yes,No,,
Ludlow,Jim Goodreau,7097,7019,6983,Both,,,Both,Weekly,Yes,,,None,,36,Both,Neither,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,5069,No,104,Yes,,75,1447,,,57,18.19,,69,,,,,,1394,35,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,Yes,1,No,Yes,,
Lunenburg,Elaine Peterson,4218,3618,4218,Curbside,,,Curbside,Weekly,Yes,,,None,,6,Both,Both,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,1708.46,No,0,Yes,,82.55,950.27,,,,,,,17.88,,,,,167,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,0,No,,,,,
Lynn,Lisa Nerich,33122,27000,27000,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,10,40,Both,Both,Neither,Neither,Yes,Yes,,,,90,,,,Yes,1,64,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,50,,,,,,,Yes,25997.33,Yes,0,Yes,,72.03,6757.5,,,,,,20,12,,,,,3397.5,42539,,0,1 or 2,Year Round,0,1 or 2,0,Year Round,Year Round,1 or 2,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,0,0,0,Yes,2,Yes,Yes,,
Lynnfield,Marlene Faria Connelly,4590,4350,4350,Curbside,,,Curbside,Bi-weekly,Yes,,,None,,35,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,7,30,,Yes,,,,,,,,,,,,,,,,,4492.89,Yes,0,Yes,52,,,,,601.66,486.05,,16.08,28.47,,,,,293.71,4.07,,0,0,Once a Month,0,1 or 2,1 or 2,0,0,1 or 2,1 or 2,0,1 or 2,Year Round,0,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,0,0,Yes,1,No,No,,
Malden,Bob Knox,25000,17100,17100,Curbside,,,Both,Weekly,,,,None,14,,Both,Both,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,Yes,,Yes,Yes,,,,11620.51,Yes,0,No,52,78,,,,2022.67,2185.31,,,62,,,,,1225,16,,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,0,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,Year Round,0,0,Yes,2,No,No,,
Manchester,Kay Mol,2401,2401,2401,Both,,,Both,Weekly,Yes,,,Both,2,36,Both,Neither,Recycling,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,,,,,,,,,,,,,Yes,1119.04,Yes,0,Yes,,65.26,,,,,863.39,,40.74,3.58,,,,161.63,6.45,11.99,,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,Year Round,Yes,1,No,No,,
Mansfield,Christina Collins,7868,6740,6740,Curbside,,,Curbside,Weekly,Yes,Yes,64,None,0,52,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,1,64,,Yes,,Yes,Yes,Yes,,Yes,Yes,No,,Yes,Yes,,,,,Yes,5125,No,0,Yes,,68.18,2000,,,,,,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,1,No,No,,
Marblehead,Andrew Petty,8000,8000,8000,Both,,,Both,Weekly,Yes,,,Drop-off,7,52,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,1,64,Yes,Yes,No,Yes,Yes,Yes,,Yes,Yes,No,,,,,,Yes,,Yes,4166.26,No,0,Yes,,94.42,2266.2,34.75,221.55,81.3,5.93,2.32,192.1,16.33,420,12.16,,1566,367.09,40.75,2576.32,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,Year Round,Yes,2,No,No,,
Marion,Jonathan Henry,2761,2761,2761,Both,,,Both,Bi-weekly,Yes,,,None,4,15,Both,Both,Recycling,Neither,Yes,,,,,,,,,Yes,5,45,Yes,,Yes,,,,,,,,,,,,,,,,1643.02,No,0,Yes,,,270,,,,,,,,,,,,600,,,0,0,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,0,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,0,No,,,,,
Marlborough,Theodore Scott,12000,12000,12000,Both,Yes,65,Both,Bi-weekly,Yes,Yes,95,None,4,52,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,1,65,,Yes,,,,,,,,,,,,,,Yes,,,8171,No,1510,No,,116.93,2980.74,,,,,2.47,150,,11.72,,,,1847,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,0,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Yes,2,No,No,,
Marshfield,Debbie Sullivan,9567,9446,9446,Both,,,Both,Weekly,Yes,Yes,64,None,4,52,Both,Both,Both,Neither,,Yes,Yes,,Yes,340,20,,Yes,,,,,,,,,,,,,,,,,,,,,,5704,Yes,0,No,52,,,,,,,,418,,,,,,207,,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,Year Round,Year Round,0,Year Round,0,0,Yes,1,No,Yes,,
Mashpee,Catherine Laurent,6798,4416,4884,Drop-off,,,Drop-off,,Yes,,,Drop-off,,52,Both,Both,Neither,Both,Yes,,Yes,Yes,,,140,15,,,,,,,,,,,,,,,,Yes,,Yes,Yes,,,Yes,3504.7,Yes,0,Yes,,59.23,599.97,,158.8,,,23.98,286.21,29.27,,28.93,,11.96,108,37.88,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,1,Yes,Yes,,
Mattapoisett,Kathryn Tapper,3600,3600,3600,Both,Yes,64,Both,Bi-weekly,Yes,Yes,95,None,,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,No,0,Yes,,,1457.12,0,0,0,0,,150,14.36,,,,,108,,,Year Round,0,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,Yes,208,No,No,,
Maynard,Megan Zammuto,4142,4142,4142,Curbside,,,Curbside,Bi-weekly,Yes,Yes,95,None,3,7,Both,Both,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,947.65,Yes,0,Yes,,,,,,,,,,,,,,,,,,1 or 2,Between 3 & 10,Year Round,Year Round,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,Year Round,0,Year Round,Year Round,Year Round,1 or 2,Yes,1,Yes,Yes,,
Medfield,Maurice Goulet,4358,3397,3397,Drop-off,,,Drop-off,,Yes,,,Drop-off,,52,Neither,Neither,Neither,Neither,Yes,Yes,,,,37.5,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,2730,Yes,0,No,,68.18,935,,,,,35,134,113.18,,14.47,,11.7,1674,16.6,,Year Round,Year Round,Between 3 & 10,Between 3 & 10,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,0,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,Yes,,
Medford,Mary Menezes,22067,19500,19500,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,15,,Both,Both,Both,Neither,Yes,,,,,,,,,,,,,,,Yes,Yes,,Yes,,,,,,,,,,,Yes,7534.36,No,0,No,4,83,5429,,,,,,177.68,28.52,,,,,1930,,,0,0,0,0,0,Year Round,0,0,0,0,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,0,No,,,,,
Medway,Stephanie Carlisle,4393,4187,4187,Curbside,,,Both,Bi-weekly,Yes,Yes,96,None,0,52,Both,Both,Neither,Neither,,Yes,,,Yes,250,,,Yes,,,,,,,Yes,Yes,Yes,,Yes,Yes,No,,Yes,Yes,Yes,,Yes,Yes,Yes,3097.5,Yes,0,Yes,52,68.18,1423.23,,55.19,19.36,12.9,12.8,73.25,16.42,,0.41,,,464,43.97,,1 or 2,Year Round,Year Round,Year Round,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,1 or 2,Yes,1,No,No,,
Melrose,Ann Waitt,11514,8905,8905,Curbside,,,Both,Weekly,Yes,,,None,16,52,Both,Both,Neither,Neither,Yes,Yes,,,,200,,,,Yes,4,45,Yes,Yes,No,,,,,,,,,Yes,,Yes,,,,Yes,7182.32,Yes,0,Yes,52,64,2427.97,59.19,104.32,47.05,0,1.5,0.05,3.73,,,,,330.05,34,,1 or 2,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,0,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,Year Round,0,Year Round,Yes,1,Yes,Yes,,
Mendon,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merrimac,Jennifer Penney,2881,1963,1963,Curbside,,,Curbside,Bi-weekly,Yes,Yes,96,None,,32,Both,Neither,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,655,Yes,0,Yes,,67.35,493.82,,,,,,13.59,,,,,,17.55,7.2,,Between 3 & 10,Between 3 & 10,Once a Week,Once a Week,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,Between 3 & 10,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,0,0,Year Round,0,0,0,0,0,No,,,,,
Methuen,Daryl Laurenza,17101,14274,15174,Both,,,Both,Bi-weekly,Yes,,,None,16,52,Both,Both,Neither,Neither,Yes,,Yes,,,,10,,,,,,,,,,,,,,,,,,,,,,,,18993,Yes,0,No,52,75,2541,,,,,,134,30.5,,,,,14500,44.23,4271,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,0,Year Round,1 or 2,1 or 2,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,0,0,Year Round,No,,,,,
Middleborough,Christopher Peck,10017,6210,6210,Both,Yes,64,Both,Bi-weekly,Yes,Yes,96,None,0,52,Both,Neither,Neither,Neither,,Yes,Yes,,Yes,204,25,,,Yes,1,64,Yes,,No,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,4867.11,Yes,0,Yes,,25,1916,,,,,,203.74,18.03,,,,,370,20.47,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,0,0,0,Yes,1,Yes,Yes,,
Middlefield,Kathleen A. Casey,271,169,169,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Both,Neither,,Yes,,,,65,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,No,,,,,,Yes,,Yes,128.37,No,20.94,Yes,,78.5,,,,16.42,16.13,,4.04,2.8,,,,,,1.5,,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,0,Year Round,No,,,,,
Middleton,Paul Goodwin,3104,2288,2639,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Neither,Neither,Yes,Yes,,,,125,,,,,,,,,,Yes,Yes,,,Yes,,Yes,48,,,,,Yes,Yes,,1856,Yes,,No,,72,,,,299.29,307.73,,116.2,,,,,,,10,,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,0,Yes,1,Yes,Yes,,
Milford,Paul Mazzuchelli,11500,9000,9000,Curbside,,,Both,Bi-weekly,,,,None,1,52,Recycling,Recycling,Neither,Neither,Yes,,,,,,,,,Yes,4,35,Yes,,No,Yes,Yes,,,Yes,,No,,,,,,,,Yes,8952,Yes,0,Yes,52,68.18,1500,,1800,,,,,20,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,,
Millbury,Laurie Connors,5146,3611,3611,Drop-off,,,Drop-off,,Yes,,,Drop-off,,52,Neither,Neither,Neither,Neither,,,Yes,,,,35,,,,,,,,,,,,,,,,,,,,,,,,1806,No,0,Yes,,,557.89,,1,1,,,73.92,8.32,,,,,2.7,19.19,78.71,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,Year Round,Year Round,No,,,,,
Millis,James F. McKay,3483,831,831,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Both,Neither,,Yes,,,,85,,,Yes,,,,,,,,,,,,,,,,,,,,,,420,No,1.4,Yes,,68.18,0,,,112.51,71.48,1.4,32.8,,,0.08,0.08,,,4.45,,0,0,Year Round,Year Round,0,Year Round,0,0,0,0,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,Year Round,Year Round,Year Round,0,No,,,,,
Millville,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
