Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,Solid Waste program funded by property tax?,Solid Waste program funded by annual fee?,Solid Waste program funded by transfer station access fee?,Solid Waste program funded by per-visit fee?,Solid Waste program funded by PAYT/ SMART revenue?,What is the annual fee?,What is the transfer station access fee?,What is the per-visit fee?,PAYT/ SMART,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,# Hours Enforcement Personnel on Street,Private Hauler regulations that require recycling,Swap-Shop,Reuse area at transfer station/ recycling center?,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,"Annual Bulky 
Waste 
Limit",Tip Fee as of 1/1/2017,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,C&D,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks 1 lb.,Propane tanks  20 lb.,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Books/Media,Plastic Bags,Fire Extinguishers,Did your municipality host comprehensive household hazardous waste collection events in 2016?,How many events?,Regional,Reciprocal,Comments/Additional Information,,
HOPEDALE,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOPKINTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubbardston,Lucinda Oates,4439,0,4439,None,,,None,,,,,None,,,Neither,Neither,Neither,Neither,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,0,No,0,No,,,0,0,0,0,0,,,,,,,,,,,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,0,0,0,0,0,0,Once a Month,0,0,0,0,0,0,Once a Month,0,0,0,No,,,,,,
Hudson,Sam Wong,7947,2014,2014,Drop-off,,,Drop-off,,,,,None,,33,Both,Both,Neither,Neither,,,Yes,,Yes,,10,,Yes,,,,,,,,,,,,Yes,Yes,,,1257,Yes,,Yes,,,,216.87,95.87,,60.38,,,,,,,,160.92,,,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,1 or 2,Yes,2,Yes,No,,,
HULL,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huntington,Kathleen A. Casey,940,514,514,Drop-off,,,Drop-off,,Yes,,,None,,,Both,Both,Both,Neither,,Yes,,,Yes,35,,,Yes,,,,,,,Yes,Yes,,No,,,,,Yes,390.21,No,49.65,Yes,,71,109.63,,,,,,41.56,2.7,,,,,,5.91,,0,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,0,No,,,,,,
Ipswich,Marlene Faria Connelly,6369,5038,5142,Curbside,,,Curbside,Weekly,Yes,,,Curbside,1,52,Both,Both,Recycling,Neither,Yes,,,,,,,,Yes,,,,,,,Yes,,Yes,,,,,,,2901.36,Yes,,Yes,52,66.77,2015.05,,,,,12,75,11.5,,,,169.27,1,2.56,,Year Round,Year Round,Between 3 & 10,Between 3 & 10,1 or 2,0,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,0,Year Round,Yes,1,No,No,"Ipswich pays $350 per MONTH, not by cubic yard or ton, to dispose of our yard waste from our dropoff facility. Ipswich has an opt-in, private-pay curbside composting program. Residents pay $1 per week and the DPW pays 10 cents per household per week. The approximate total cost for 2016 (with fluctuating rates of participation by season) to the DPW was $2,545. This is a reduction from prior years because our new contract does not charge a tipping fee. Our trash and recycling household numbers are different because we collect recycling from some residences and businesses that we do not serve with trash hauling. We have a very dense downtown and our hauler picks up recycling from there as well. We also offer recycling dropoff at our transfer station. In addition, we serve curbside trash and recycling pickup to multi-family residences (four units or more) that were ""grandfathered in"" before the new trash policy was adopted. The textile tonnage is an estimate from our schools' bins based on reports from the schools. They receive $100 per ton. In addition, we have an American Red Cross box at our transfer station that collected approximately 1.5 tons, but it is not included in the total because we receive no payment and there isn't an option above to separate the two. E-waste is estimated using EPA.gov conversion amounts, because we are charged for e-waste per unit, not by weight. In the past, we included our e-waste with the Recycling Committee's 3 town events, but now we have our own recycling pickups. Ipswich has two dumpsters for scrap metal, one at the transfer station for residents and the other at the DPW yard for municipal buildings and schools. Our bulky items include furniture, mattresses and box springs, and carpet. Appliances can be brought to the transfer station for free or picked up curbside by pre-paying for pickup with the hauler (not the town). As mentioned above, e-waste is separate from bulky items.",,
Kingston,Paul Basler,4550,3200,3200,Drop-off,,,Drop-off,,,,,None,,52,Recycling,Neither,Neither,Neither,Yes,,Yes,,,,180,,,,,,,,,Yes,Yes,,No,,,,,Yes,2523,No,483,Yes,,72.12,,218,134,,215,41,235,35,,16.97,,,500,48.8,483,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,No,,,,"Seniors pay $90/year for transfer station permit.Bulky waste and C&D are mixed together, listed twice.BOH passed hauler regulation in November, effective April 2017.",,
Lakeville,Jeremy Peck,4443,1640,1640,Drop-off,,,Drop-off,,,,,None,,52,Neither,Neither,Neither,Neither,Yes,Yes,,,Yes,50,,,Yes,,,,,,,Yes,,,,,,Yes,Yes,,631.54,No,318.89,Yes,,60.47,,33.59,130.56,27.22,135.12,14.35,73.4,,7.43,3.88,,,,,318.89,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,0,No,,,,"Note: AS we have done in the past, we continue to collect textiles and used clothing in numerous containers at the transfer station. These materials are donated to Red Cross, etc. The clean wood program is in place and has been successful in diverting clean wood out of our bulky containers. We also see a 50% disposal savings with the clean wood. The mattress program is in place and has also been very successful. We take the mattresses to Ace Mattress in Rhode Island for recycling. This has also been another cost savings program for the town. I have not yet implemented a swap shop, which the town just recently was awarded SMRP grant funds for.",,
LANCASTER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanesborough,Linda Cernik,1203,0,1203,None,,,Drop-off,,,,,None,,,Recycling,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,0,No,2.59,Yes,,,,,,43.39,20.43,,9.05,,,,,,,2.84,,0,0,1 or 2,1 or 2,0,Year Round,1 or 2,1 or 2,0,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,0,0,Yes,1,Yes,No,,,
Lawrence,Moises Brea,30000,19000,19000,Curbside,Yes,64,Curbside,Weekly,Yes,,,None,26,,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,24054.44,No,0,Yes,,60.8,2988,,263,, ,,,,,,,,,,,Once a Month,Once a Month,Year Round,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,0,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,0,0,0,0,0,0,0,No,,,,Thank You ALL so much!,,
Lee,Jamie Cahillane,2209,0,0,None,,,None,,,,,None,,,Neither,Neither,Neither,Neither,,,,,,,,,,,,,,,,,,,,,,,,Yes,0,Yes,,,,,,,,,,,,,,,,,,,,0,0,1 or 2,1 or 2,Between 3 & 10,1 or 2,0,0,1 or 2,1 or 2,Between 3 & 10,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,0,1 or 2,0,0,0,0,Yes,1,Yes,No,,,
LEICESTER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenox,Christopher Ketchen,2212,0,0,None,,,None,,,,,None,,20,Neither,Neither,Neither,Neither,,,,,,,,,,,,,,,,,,,,,,,,Yes,0,No,0,,,,,,,,,,,,,,,,,,,1 or 2,0,Between 3 & 10,0,0,Between 3 & 10,Between 3 & 10,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,Between 3 & 10,0,0,0,0,0,Yes,3,Yes,Yes,,,
Leominster,Chris Knuth,13474,11600,11600,Both,Yes,64,Both,Weekly,Yes,Yes,64,None,16,52,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,1,64,Yes,,No,,,,,,Yes,,,Yes,7996.27,Yes,,No,,69,2643.31,,,,,,,,,,,,,,,Between 3 & 10,1 or 2,1 or 2,1 or 2,Year Round,Year Round,0,0,0,0,0,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,1 or 2,Year Round,0,1 or 2,Year Round,0,0,Yes,4,No,No,residents pay for disposal of items at the AKS recycling center.,,
Leverett,Jan Ameen,717,469,469,Drop-off,,,Drop-off,,,,,Drop-off,,,Both,Both,Neither,Neither,Yes,,Yes,,Yes,,30,,Yes,,,,,,,Yes,,,,,,Yes,,Yes,141.85,No,43.57,Yes,,69,,,,91.4,49.19,,19.98,1.36,,,,37.33,,1.21,,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,Year Round,0,0,No,,,,,,
Lexington,robert beaudoin,11441,10979,11196,Curbside,,,Curbside,Weekly,,Yes,96,Curbside,24,40,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,6,32,Yes,Yes,No,Yes,,,,,Yes,,,Yes,8175,Yes,,No,,64.58,,,293,2296,1878,,272,620,10,,,52,4254,43,10,Between 3 & 10,Once a Week,Once a Week,Once a Week,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Between 3 & 10,Year Round,0,Year Round,0,Between 3 & 10,Yes,8,Yes,No,,,
Leyden,Jan Ameen,260,0,0,None,,,None,,,,,None,,,Neither,Neither,Neither,Neither,,,,,,,,,,,,,,,,,,,,,,,,,0,No,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,"Leyden residents can access Greenfield's transfer station for paint, oil, antifreeze, lamps, etc. and Greenfield's permanent hazwaste program at the Greenfield wastewater treatment plant.",,
Lincoln,Mary Day,3050,2100,2100,Drop-off,,,Drop-off,,Yes,,,None,,52,Recycling,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,Yes,,,,,,Yes,,Yes,1127,Yes,,No,,64.58,408,,,,133,,,,,,,,,,,Between 3 & 10,0,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,Year Round,Yes,8,Yes,No,"Again, we are break even with our recycle. We pay for the haul, but receive no revenue nor pay for the disposal.We do receive a check for scrap metal and we pay for electronics and white goods. Unfortunately these have not been recorded in a fashion that is easy to retrieve.I will be changing the record keeping for 2017.",,
Littleton,Jim Clyde,3623,1797,1797,Drop-off,,,Drop-off,,,,,None,,52,Neither,Neither,Neither,Neither,,Yes,,,Yes,110,,,Yes,,,,,,,,,,,,Yes,Yes,Yes,Yes,1175.6,Yes,,Yes,,70,,,,297.41,368.87,0,58.63,24.68,0,0,0,0,136,10.45,290.17,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,0,Year Round,0,Year Round,0,0,No,,,,,,
Longmeadow,Mario Mazza,5892,5892,5892,Curbside,,,Curbside,Weekly,,,,None,6,52,Both,Both,Neither,Neither,Yes,,Yes,,Yes,,40,,Yes,,,,,,,Yes,,Yes,,,,Yes,,Yes,3548,No,248,Yes,,63,,,,1126,644,6.7,126,2.16,195,12.38,,,2900,32.73,,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,0,Year Round,No,,,,,,
Lowell,Gunther Wellenstein,38000,25000,25000,Curbside,Yes,68,Curbside,Bi-weekly,Yes,Yes,96,None,39,6,Both,Both,Neither,Neither,Yes,Yes,,,,125,,,,Yes,1,65,Yes,,Yes,Yes,Yes,,Yes,20,,,,Yes,23495,No,0,Yes,,59.69,7392.46,,,,,0,33,180.92,0,86.52,0,0,3895,28.5,0,Once a Month,Once a Week,Once a Week,Once a Week,Once a Month,Year Round,Once a Month,Once a Month,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Once a Week,Year Round,0,Once a Week,Year Round,Once a Month,Yes,2,No,No,"For Q. 5b) re: Bulky Waste tonnage.WM collects bulky items curbside.In CY16 they collected 3,482 items (couches, tables etc)However I do not have a weight...BTW From 8. (other-Textiles) 131,430 Lbs from Bay State Textiles {14 bins} PLUS 230,407 Lbs from PlanetAid {14 bins} = 361,837 => 180 TONS!!Thanks!",,
Ludlow,Jim Goodreau,7020,6946,6946,Both,,,Both,Weekly,Yes,,,None,,36,Both,Neither,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,5074,Yes,,Yes,,63,1521,,,57,13,,100,,,,,,3796,35,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,No,,,,,,
Lunenburg,Elaine Peterson,4196,3596,3596,Curbside,,,Curbside,Weekly,Yes,,,None,,7,Both,Both,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,Yes,1625,No,0,Yes,,79.19,906,,,,,,,16.61,,,,,300,,,Year Round,Year Round,Year Round,Year Round,Once a Month,Year Round,Year Round,Year Round,Once a Month,0,Once a Month,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,0,No,,,,The Town of Lunenburg is a member of Devens Regional HHW Collection Center which collects many of the other recycled material not collected at the curb. The town is next to the Town of Townsend and has access to their drop off recycling center which is open twicea month. The town is also a member of Nashoba Boards of Health which collects sharps year round.,,
Lynn,Lisa,33122,27000,27000,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,12,40,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,1,64,Yes,Yes,Yes,Yes,Yes,Yes,Yes,50,,,,Yes,24072,Yes,,Yes,,67.9,6888.49,,,,,2.98,10,10,,,,,3306,47.17,,0,0,Year Round,0,0,0,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,Between 3 & 10,0,0,0,Yes,2,Yes,Yes,,,
Lynnfield,Marlene Faria Connelly,4580,4350,4350,Curbside,,,Curbside,Bi-weekly,Yes,,,None,,38,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,7,30,,Yes,,,,,,,,,,,4384.32,Yes,,Yes,52,,,,,613.24,501.66,,1,,,,,,3000,3.24,,0,0,Once a Month,0,1 or 2,1 or 2,0,0,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,0,0,Yes,1,No,No,"The number of households served differs from last year's due to changes in apartments and senior housing. Lynnfield, through our hauler, collects appliances, grills, humidifiers, lawnmowers, and other items via pre-paying for pickup to the hauler. Because we receive tallies from the hauler in units and not weight, it is difficult to estimate diverted weight. Lynnfield hosts Planet Aid boxes at town hall for textiles, but numbers were not available at reporting time. Lynnfield's hauling contract expired in June, and the $25 per ton rebate for recycling paper was replaced with a $25 per ton cost for all recyclables. Because there is not a method for splitting the calendar year (hauling contract runs by fiscal year), it seemed best to use the new recycling costs because those are the numbers going forward through 2021. Actual paper and comingled recyclables costs reported here are approximately half for calendar year 2016. E-waste is similar to appliances, because TVs and monitor pickups are prepaid to the hauler and reported in units. Weight estimates were made using the EPA conversion amounts.",,
Malden,Ron Zanazzo,25000,17100,17000,Curbside,,,Both,Weekly,,,,None,32,52,Both,Both,Both,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,11249.02,Yes,,No,52,74,,,,2021.36,2309.9,,154,15.76,,,,,1500,1650,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,0,Year Round,Yes,2,No,No,,,
Manchester,Kay Mol,2433,2369,2369,Both,,,Both,Weekly,Yes,,,Curbside,2,40,Both,Neither,Both,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,Yes,,,,1160.7,Yes,,Yes,52,62.12,695.78,,,46.12,38.23,1.26,95.62,,,,,149.97,5600,,,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,0,0,0,Yes,1,No,Yes,,,
Mansfield,Christina Collins,7606,7553,7553,Curbside,Yes,64,Curbside,Weekly,Yes,Yes,64,None,2,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,Yes,,Yes,,,,,,Yes,5176,No,0,Yes,,68,2500,,,67,112,,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Yes,1,No,No,,,
Marblehead,Andrew Petty,8000,8000,8000,Both,,,Both,Weekly,Yes,,,None,10,52,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,3,35,Yes,Yes,No,Yes,,,,,,,,Yes,4765.74,No,0,Yes,,86.52,805.47,6.7,126.97,868.69,690.01,1.5,40.9,21.86,218.75,,,,200.34,8.08,2000,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,2,No,No,,,
Marion,Robert C. Zora,2753,2753,2753,Both,,,Both,Bi-weekly,Yes,,,None,2,52,Both,Both,Recycling,Neither,Yes,,,,,,,,,Yes,5,40,Yes,,Yes,,,,,,,Yes,,,1676.04,No,0,Yes,,,292.6,,,,,,,,,,,,410,,,Year Round,0,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,0,Yes,1,Yes,No,"Hazardous Products Collection sponsored by CMW District. Scrap Metal/White Goods, C&D Materials, Swap Shop or Book Re-Use by CMW District #8 (other recycled material) scrap metal/white goods and e-waste - CMW District. Medical Waste/Sharps-Board of Health. Recycling Tonnage - cardboard, steel/tin cans, glass, plastic, newspaper - included in single stream. Bulky waste is accepted at the CMWRRDD Transfer Station. They would be responsible for tracking the tonnage collected.",,
Marlborough,Theodore Scott,12000,12000,12000,Both,Yes,65,Both,Bi-weekly,Yes,Yes,95,None,8,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,7825,No,400,No,,114.42,2950,,,,,,150,,,,,,1460,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,0,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Yes,2,No,No,We have hosted a joint Hazardous Waste Collection Event with the Town of Hudson for the past several years.,,
Marshfield,Debbie Sullivan,9424,9388,9388,Both,,,Both,Weekly,Yes,Yes,64,None,5,52,Both,Both,Both,Neither,,Yes,Yes,,Yes,315,20,,Yes,,,,,,,,,,,,Yes,Yes,Yes,Yes,7444,Yes,,,,69.36,3969,,,,,,306,20,,,,,156,56.46,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,0,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,Year Round,Year Round,Year Round,Year Round,0,0,Yes,1,No,No,"Collection frequency of other recycled materials. I checked off 3 - 10 weeks for drop off of waste oil and filter,oil based paint, thermostats, we collect it 6 months of the year from May -October.Yard Waste is collected curbside and can be dropped off. The town mulches it and turns it into compost for the Residents. I don't have a dollar amount for cost. The town does it themselves.",,
Mashpee,Catherine Laurent,9786,4360,5139,Drop-off,,,Drop-off,,Yes,,,Drop-off,,52,Both,Both,Neither,Neither,Yes,Yes,,Yes,,130,,10,,,,,,,,,,,,,Yes,,,Yes,3537,Yes,,Yes,,56.38,867,,159,,,26,263,22.25,,28.57,,24.92,135,29.05,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,4,No,Yes,,,
Mattapoisett,Christine Richards,3290,3290,3290,Both,Yes,64,Both,Bi-weekly,Yes,Yes,96,None,1,52,Both,Both,Both,Both,Yes,,Yes,,,,25,,,Yes,1,64,Yes,Yes,No,,,,,,,,Yes,,2300,No,0,Yes,,59,575,,,,,,,2.15,,,,,,,,Between 3 & 10,0,Between 3 & 10,Between 3 & 10,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,0,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,1 or 2,No,,,,,,
MAYNARD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medfield,Maurice Goulet,4329,3447,3447,Drop-off,,,Drop-off,,Yes,,,Drop-off,,52,Neither,Neither,Neither,Neither,Yes,Yes,,,,25,,,,,,,,,,,,,,,,Yes,,Yes,2864,Yes,,No,,66,952,,,,115,40,212,193.79,,5.72,,5.28,393.66,30.38,,Year Round,0,Once a Month,Once a Month,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,0,Year Round,Year Round,Year Round,Year Round,0,Yes,1,No,Yes,,,
Medford,Mary Menezes,22067,19500,19500,Curbside,Yes,64,Both,Bi-weekly,,Yes,96,None,15,,Both,Both,Both,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,15581,No,18181,Yes,,91,5531,,,,,,,,,,,,2296.1,,,0,0,Year Round,Year Round,0,Year Round,0,0,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,Year Round,0,No,,,,The city of Medford 6 events - collection of latex and oil base paint from Medford residents ONLY.,,
Medway,David D'Amico,4420,4127,4127,Curbside,,,Both,Bi-weekly,Yes,Yes,96,None,1,52,Both,Both,Neither,Neither,,Yes,,,Yes,250,,,Yes,,,,,,,Yes,Yes,Yes,No,,Yes,,Yes,Yes,2971.83,Yes,,No,52,66,1521.33,31.5,33.8,0,90,14.9,49.41,9.8,81.64,13.17,,,1680,295.14,,0,Year Round,Year Round,0,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Yes,1,No,No,,,
Melrose,Sadie Brown,11514,8638,8638,Both,,,Both,Weekly,Yes,,,None,17,52,Both,Both,Neither,Neither,,Yes,,,,200,,,,Yes,4,45,,Yes,,,,,,,,,,Yes,7226.81,Yes,,Yes,52,61,2386.57,,130.09,58.95,56.72,0.1,31.81,50.13,,0.88,,,2342,43.58,,1 or 2,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,Year Round,Between 3 & 10,Year Round,Yes,1,No,Yes,,,
Mendon,Missy Kakela-Boisvert,2261,1741,2261,Curbside,,,Curbside,Weekly,,,,None,,52,Both,Neither,Neither,Both,,Yes,,,,246,,,,Yes,10,30,Yes,Yes,No,,,,,,,,,,1472.68,Yes,,Yes,,66,,82.96,82.96,82.96,197.5,,,,,,,,,,,Once a Week,Once a Week,Once a Week,Once a Week,Year Round,0,Once a Week,Once a Week,Year Round,Year Round,Year Round,Once a Week,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,0,Between 3 & 10,0,0,Between 3 & 10,0,0,Yes,1,No,No,,,
Merrimac,Harold Lloyd,2750,1510,1993,Curbside,,,Curbside,Bi-weekly,Yes,,,None,,34,Both,Both,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,Yes,,,,636.87,Yes,,Yes,,68,525.45,,,,,,0.5,,,,,,24.3,4.8,,0,0,Once a Week,Once a Week,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,"ewaste collection was seasonal, Saturdays, 4/9-11-26",,
Methuen,Matt Zettek,18972,14918,15840,Both,,,Both,Bi-weekly,Yes,,,None,24,52,Both,Both,Neither,Neither,Yes,,Yes,,,,10,,,,,,,,,,,,,,,,,,17630,Yes,,Yes,52,66.07,3547,,,,,,161,28,,,,,3543,68,2688,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,0,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Once a Month,Year Round,0,0,0,0,Yes,1,No,Yes,,,
