Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,Solid Waste program funded by property tax?,Solid Waste program funded by annual fee?,Solid Waste program funded by transfer station access fee?,Solid Waste program funded by per-visit fee?,Solid Waste program funded by PAYT/ SMART revenue?,What is the annual fee?,What is the transfer station access fee?,What is the per-visit fee?,PAYT/ SMART,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Applies to Residential Generators Eligible to be Served by Municipal Program,Applies to Residential Generators not Eligible to be Served by the Municipal Program,Applies to Commercial Generators,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,# Hours Enforcement Personnel on Street,Private Hauler regulations that require recycling,Applies to Haulers Serving Residential Generators Eligible to be Served by Municipal Program,Applies to Haulers Serving Residential Generators Not Eligible to be Served by Municipal Program,Applies to Commercial Generators,Swap-Shop,Reuse area at transfer station/ recycling center?,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,"Annual Bulky 
Waste 
Limit",Tip Fee as of 1/1/2017,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,C&D,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks 1 lb.,Propane tanks  20 lb.,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Books/Media,Plastic Bags,Fire Extinguishers,Did your municipality host comprehensive household hazardous waste collection events in 2017?,How many events?,Regional,Reciprocal,Comments/Additional Information,,
Holliston,Andrea Minihan,4980,4530,4530,Curbside,,,Curbside,Weekly,,,,None,2,52,Both,Both,Recycling,Neither,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,3577.81,No,0,Yes,,67.14,,880.99,,,733.59,,,,,,,,,-2.85,,Between 3 & 10,1 or 2,Year Round,0,Between 3 & 10,0,0,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,Year Round,0,0,Yes,1,No,Yes,,,
Holyoke,timothy e price sr,16200,9950,9950,Both,,,Both,Bi-weekly,,,,None,20,35,Recycling,Recycling,Recycling,Recycling,Yes,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,Yes,20,,,,,,,,6648.87,Yes,0,,,,,,,1169.18,685.28,,608.39,,,,,,2210.62,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,,Yes,2,No,Yes,,,
HOPEDALE,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOPKINTON,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubbardston,Kelly Parker,1774,0,1774,None,,,None,,,,,None,,,Neither,Neither,Neither,Neither,,,,Yes,,,,2,,,,,,,,,,,,,,,,,,,,Yes,,Yes,0,No,0,Yes,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,0,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,0,0,0,0,0,0,Once a Month,No,,,,We do not keep track of weight of our Recyclables so I put 0 in all the fields.  I do however have a list of what was collected each month example: 3 TVs 1 Grill ect.,,
Hudson,Kelli M. Calo,7648,1832,1832,Drop-off,,,Drop-off,,,,,Drop-off,,33,Both,Both,Neither,Neither,,,Yes,,,,10,,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,,1266.49,Yes,,Yes,,,,137.58,95.07,,17.44,,,,,,,,164.16,,,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,0,0,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,1 or 2,Yes,2,Yes,No,,,
Hull,Joyce Sullivan,6086,0,0,None,,,None,,,,,None,2,2,Neither,Neither,Neither,Neither,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,,0,No,0,,,,0,0,0,0,0,,,,,,,,,,,1 or 2,1 or 2,0,0,1 or 2,1 or 2,0,0,1 or 2,1 or 2,0,0,0,1 or 2,1 or 2,1 or 2,0,Year Round,0,0,0,0,0,Yes,1,Yes,Yes,,,
Huntington,Kathleen A. Casey,941,512,512,Drop-off,,,Drop-off,,Yes,,,None,,,Both,Both,Both,Neither,,Yes,,,Yes,35,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,No,,,,,,,,Yes,369.01,No,49.7,Yes,,71,109.23,,,,,,55.12,4.29,,,,,,3.13,,0,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,,No,,,,,,
Ipswich,Marlene Faria Connelly,6062,5038,5144,Curbside,,,Curbside,Weekly,Yes,,,Curbside,1,52,Both,Both,Recycling,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,,,,Yes,,,,,,,,,,2922.34,Yes,0,Yes,52,68.44,1840.1,,,,,12,78,14.3,,,,190,1,4.62,,Year Round,Year Round,Between 3 & 10,Between 3 & 10,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Year Round,0,,Yes,1,No,No,Ipswich pays $350 per MONTH for yard waste from our dropoff facility. Ipswich's curbside composting program is private pay; residents who receive trash service pay $1 per week and DPW pays 10 cents per week per household and residents who do not receive t,,
Kingston,Paul Basler,4650,3250,3250,Drop-off,,,Drop-off,,,,,None,,52,Recycling,Neither,Neither,Neither,Yes,,Yes,,,,180,,,,,,,,,Yes,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,2738,No,619,Yes,,73.2,,6.9,157.8,219.3,236.4,358,243,44.9,,20.46,,,600,49.6,619,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Year Round,0,,Yes,1,No,Yes,"bulky waste tons and C&D tons are the same tons, listed twice. Unclear if that is appropriate.",,
Lakeville,Jennifer,4199,1583,1583,Drop-off,,,Drop-off,,,,,None,,52,Neither,Neither,Neither,Neither,Yes,Yes,,,Yes,50,,,Yes,,,,,,,Yes,Yes,,,,,,,,,,,Yes,Yes,,614.49,No,315.68,Yes,,61.99,,32.36,122.01,26.17,117.3,11.34,83.12,,12.05,5.01,,,,,315.68,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Year Round,,0,Yes,1,No,No,"Lakeville currently separates tin, #1 & #2 plastic, light rigid plastic, and two types of glass.  These items were combined in Section 8 - Comingled Containers.  The dollar amount was averaged across all categories.  We expect increased costs to recycle #",,
Lancaster,Orlando Pacheco,2632,0,2632,None,,,Drop-off,,,,,None,,45,Recycling,Neither,Recycling,Recycling,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,0,No,0,,,,,,,,68.84,,23.7,,,,,,16.2,,,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,Year Round,Year Round,0,0,0,0,No,,,,"One vendor picks up plastic, glass, and paper/cardboard but did not separate the categories on the tonnage report.  Our electronics vendor did not track the weight/yardage, and though we do collect textiles, no report was submitted for weight/yardage eith",,
Lanesborough,Linda Cernik,1322,0,1210,None,,,Drop-off,,,,,None,,,Recycling,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,No,2.58,Yes,,,,,,46.57,23.04,,12.57,,,,,,,3.6,,0,1 or 2,1 or 2,1 or 2,0,Year Round,1 or 2,1 or 2,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,0,0,No,,,,"HHW collection secured for member towns June 2 2018, Special event Bulky Waste collection takes place in September, very good turn out.",,
Lawrence,Evelyn Canela,30000,21040,19599,Curbside,Yes,64,Curbside,Weekly,Yes,,,None,29,,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30083,Yes,,Yes,,60.75,2979.3,,215.22,,,,,,,,,,,,14.65,Once a Month,Once a Month,0,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,0,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,0,0,0,0,0,0,0,No,,,,,,
Lee,Jamie Cahillane,2254,0,0,None,,,None,,,,,None,,,Neither,Neither,Neither,Neither,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,Yes,0,No,0,,,,,,,,,,,,,,,,,,,1 or 2,0,0,0,Between 3 & 10,Year Round,0,0,1 or 2,0,Between 3 & 10,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,0,0,0,0,0,0,No,,,,"Year round collection of 
left over prescription drugs can be dropped at the Police Department.",,
Leicester,Ruth Kaminski,4322,0,4322,None,,,Drop-off,,,,,None,,52,Recycling,Recycling,Recycling,Recycling,,Yes,,,,25,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,0,Yes,0,Yes,,,,,,68.7,51,9.87,73,2.4,,1.32,,,58,0.38,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,No,"Recycling is open 1st, 3rd and 5th Saturday for fluorescents, ballasts, paint, batteries, mercury items, propane tanks, and highway garage accepts waste oil 5 days a week.",,
Lenox,Christopher Ketchen,2761,0,0,None,,,None,,,,,None,,,Neither,Neither,Neither,Neither,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,0,Yes,0,Yes,,,,,,,,,,,,,,,,,,1 or 2,0,Between 3 & 10,0,0,Between 3 & 10,Between 3 & 10,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,Between 3 & 10,0,0,0,0,0,Yes,3,Yes,Yes,,,
Leominster,Chris Knuth,12630,12000,12000,Both,Yes,64,Both,Weekly,Yes,Yes,64,None,20,52,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,1,64,Yes,,No,,,,,,,,,Yes,Yes,,,,,Yes,9000,Yes,0,No,52,71,2633.65,,,,,2633.65,,,,,,,4,,,Between 3 & 10,1 or 2,1 or 2,1 or 2,Once a Week,Year Round,Year Round,Year Round,0,0,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,Year Round,0,,Year Round,0,0,Yes,4,No,Yes,,,
Leverett,Jan Ameen,716,447,447,Drop-off,,,Drop-off,,,,,Drop-off,,,Both,Both,Neither,Neither,Yes,,Yes,,Yes,,30,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,Yes,,Yes,143.33,No,86.27,Yes,,70,,,,95.92,53.55,1.36,18.01,,,,,37,,3.18,,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,,Year Round,0,0,No,,,,,,
Lexington,robert beaudoin,12463,10979,11438,Curbside,,,Curbside,Weekly,,Yes,96,Curbside,24,40,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,6,32,,Yes,,Yes,Yes,,,,Yes,,,,,,,,,Yes,8037,Yes,0,No,,66.19,,,161,2145,1754,,257,,2404,,,422,3147,37,,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Between 3 & 10,Year Round,0,Year Round,0,,Yes,8,Yes,No,,,
Leyden,Jan Ameen,260,0,0,None,,,None,,,,,None,,,Neither,Neither,Neither,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,No,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,,
Lincoln,Mary Day,3050,2100,2100,Drop-off,,,Drop-off,,Yes,,,None,,52,Both,Recycling,Neither,Neither,Yes,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,Yes,16,,,,,Yes,Yes,Yes,947,Yes,0,No,,66.19,487,,,,84,,78,6,,,,,,40,,0,0,Year Round,Year Round,0,Year Round,Year Round,Year Round,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,,Year Round,,0,No,,,,,,
Littleton,Jim Clyde,3175,1787,1787,Drop-off,,,Drop-off,,,,,None,,52,Neither,Neither,Neither,Neither,,Yes,,,Yes,110,,,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1148.72,Yes,0,Yes,,72,,,,330.39,135.24,,79.97,12.02,,,,,133,8.92,296.28,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,0,Year Round,0,Year Round,0,0,No,,,,,,
Longmeadow,Mario Mazza,5754,5503,5503,Curbside,,,Curbside,Weekly,,,,None,6,52,Both,Both,Neither,Neither,Yes,,Yes,,Yes,,40,,Yes,,,,,,,Yes,Yes,,,,Yes,,,,,,,Yes,,Yes,3547,No,264,Yes,,72.5,,,,1077,628,12.5,93.3,6.44,0,0,0,0,566.78,26.59,0,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,,Year Round,0,,No,,,,,,
Lowell,Gunther Wellenstein,38000,25000,25000,Curbside,Yes,65,Curbside,Bi-weekly,Yes,Yes,96,None,39,6,Both,Both,Neither,Neither,Yes,Yes,,,,125,,,,Yes,1,65,Yes,,Yes,Yes,Yes,,,Yes,,Yes,20,,,,,,,Yes,23457,No,0,Yes,,60.9,6680,,,,,0,24.6,210,0,93.5,0,0,4645,18.7,,Once a Month,Once a Week,Once a Week,Once a Week,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,Once a Month,Once a Month,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Between 3 & 10,Year Round,0,Once a Week,,,Yes,5,Yes,No,,,
Ludlow,Jim Goodreau,7059,6983,6983,Both,,,Both,Weekly,Yes,,,None,,36,Both,Neither,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,5042,No,132,Yes,,72.5,1463,,,64,10,,67,,,,,,1488,43,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,,Year Round,,0,Yes,1,No,Yes,,,
Lunenburg,Elaine Peterson,4203,3603,4203,Curbside,,,Curbside,Weekly,Yes,,,None,,12,Both,Both,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,1675.07,No,0,Yes,,80.22,963.25,,,,,,,2.49,,,,,300,,,Year Round,Year Round,Year Round,Year Round,Once a Month,Year Round,Year Round,Year Round,Once a Month,0,Once a Month,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Year Round,0,0,No,,,,"The Town of Lunenburg is a member of Devens Regional HHW Collection Center which collects
some of the recycled material not collected at the curb. The town is next to the Town of
Townsend and has access to their drop off recycling center which is open twi",,
Lynn,Lisa Nerich,33122,27000,27000,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,10,40,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,1,64,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,50,,,,,,,Yes,25357,Yes,0,Yes,,69.93,6939,,,,,5.37,20,12,,,,,2931.58,48.27,,0,1 or 2,Year Round,0,0,0,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,0,0,0,Yes,2,Yes,Yes,,,
Lynnfield,Marlene Faria Connelly,4592,4350,4350,Curbside,,,Curbside,Bi-weekly,Yes,,,None,,38,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,7,30,,Yes,,,,,,,,,,,,,,,,,4406.35,Yes,0,Yes,52,,,,,568.11,493.13,,,18.4,,,,,273.73,3.39,,0,0,Once a Month,0,1 or 2,1 or 2,0,0,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,0,0,Yes,1,No,No,"The number of households differs from last year's due to changes in apartments and senior housing. Lynnfield, through our hauler, collects appliances, grills, humidifiers, lawnmowers and other via pre-paying for pickup to the hauler. Because we receive ta",,
Malden,Bob Knox,25000,17100,17100,Curbside,,,Both,Weekly,,,,None,17,52,Both,Both,Both,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,11459.45,Yes,0,No,52,74,,,,2115.41,2085.16,,90,2986,,,,,,6.5,,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,0,0,1 or 2,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,Year Round,0,0,Yes,2,No,No,,,
Manchester,Kay Mol,2350,2350,2350,Both,,,Both,Weekly,Yes,,,Both,6,43,Both,Neither,Both,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,1106.44,Yes,0,Yes,52,63.67,,,,,868.95,7.65,52.2,1.1,,,,157.28,3800,2.84,,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Year Round,0,,Yes,1,No,Yes,"In the category ""Other Recycled Materials"" above, I had to manipulate the box for per ton to achieve the correct end dollar amount because some of these were not straight per ton charges per collection but needed to include a haulage charge as well. The e",,
Mansfield,Christina Collins,7868,6740,6740,Curbside,Yes,64,Curbside,Weekly,Yes,Yes,64,None,3,52,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,1,64,,Yes,,Yes,Yes,,,,Yes,,,,,,,,,Yes,5510,No,110,Yes,,67.14,2505,,,82.36,18.73,,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,No,,,,,,
Marblehead,Andrew Petty,8000,8000,8000,Both,,,Both,Weekly,Yes,,,Drop-off,10,52,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,2,35,Yes,Yes,No,Yes,Yes,Yes,,Yes,Yes,No,,,,,,Yes,,,4963.5,No,0,Yes,,91.67,2191.17,62.3,191.36,,68.7,23.21,181.16,38.06,399,,,2,616.03,10.38,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,,Year Round,,,Yes,2,No,No,,,
Marion,Paul Dawson,2753,2753,2753,Both,,,Both,Bi-weekly,Yes,,,None,2,52,Both,Both,Recycling,Neither,Yes,,,,,,,,,Yes,5,4045,Yes,,Yes,,,,,,,,,,,,,Yes,,,1612.01,No,0,Yes,,,306,,,,,,,,,,,,410,,,Year Round,0,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,Year Round,0,Year Round,Year Round,,Year Round,0,0,Yes,1,Yes,No,"Hazardous Products Collection sponsored by CMW District.  Scrap Metal/White Goods, C&D Materials, Swap Shop or Book Re-Use by CMW District #8 (other recycling material) scrap metal/white goods and e-waste - CMW District.  Medical Waste/Sharps - Board of H",,
Marlborough,Theodore Scott,12000,12000,12000,Both,Yes,65,Both,Bi-weekly,Yes,Yes,95,None,8,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,7981,No,368,No,,114.42,2857,,,,,5.4,150,,14.8,,,,1364,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,0,Year Round,Year Round,,Year Round,,,Yes,2,No,No,,,
Marshfield,Debbie Sullivan,10025,9233,9233,Both,,,Both,Weekly,Yes,Yes,65,None,9,52,Both,Both,Both,Neither,,Yes,Yes,,Yes,315,20,,Yes,,,,,,,,,,,,,,,,,,,Yes,,Yes,5155,Yes,0,No,52,,3080,,,,,,345,33,,,,,200,56,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,0,0,Yes,1,No,No,,,
Mashpee,Catherine Laurent,9847,4165,4573,Drop-off,,,Drop-off,,Yes,,,Drop-off,,52,Both,Both,Neither,Both,Yes,,Yes,Yes,,,140,15,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,3587,Yes,0,Yes,,57.75,681.34,,172.96,,,26.22,317.15,22.19,,26.07,,22.83,108,28.49,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Year Round,0,,Yes,4,Yes,Yes,,,
Mattapoisett,Christine RIchards,3306,3306,3306,Both,Yes,65,Curbside,Bi-weekly,,Yes,95,None,2,,Both,Both,Both,Both,Yes,,Yes,,,,25,,,,,,,,,,,,,,,,,,,,,,,,1935,No,0,,,,901,,,,,,,2.35,,,,,,,,Between 3 & 10,0,Between 3 & 10,Between 3 & 10,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,0,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,Between 3 & 10,Between 3 & 10,,Between 3 & 10,0,,No,,,,,,
Maynard,Megan Zammuto,4152,4152,4152,Curbside,,,Curbside,Bi-weekly,Yes,,,None,3,7,Both,Both,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,1145,Yes,,Yes,,,,,,,,,,,,,,,,,,1 or 2,Between 3 & 10,Year Round,Year Round,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,Year Round,0,Year Round,Year Round,,1 or 2,Yes,1,Yes,Yes,,,
Medfield,Maurice Goulet,4335,3509,3509,Drop-off,,,Drop-off,,Yes,,,Drop-off,,52,Neither,Neither,Neither,Neither,Yes,Yes,,,,38,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,2617,Yes,0,No,,67.17,965.73,,,,,35,122.64,197.63,,17.11,,12.39,396.9,22.88,,Year Round,0,Once a Month,Once a Month,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,0,Year Round,,Year Round,,0,Yes,1,No,Yes,,,
Medford,Mary Menezes,22067,19500,19500,Curbside,Yes,64,Drop-off,,,Yes,96,None,15,,Both,Both,Both,Both,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15570,No,18682,Yes,,,5594,,,,,,,,,,,,1875,,,0,0,0,0,0,Year Round,0,0,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,No,,,,,,
Medway,Stephanie Carlisle,4390,4103,4103,Curbside,,,Both,Bi-weekly,Yes,Yes,96,None,1,52,Both,Both,Neither,Neither,,Yes,,,Yes,250,,,Yes,,,,,,,Yes,Yes,Yes,,Yes,Yes,No,,Yes,Yes,Yes,,Yes,,Yes,3064.5,Yes,0,Yes,52,67.14,1442.95,,38.15,20.1,,14.93,59.05,12.1,,3.7,,,324,18.86,,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,,Year Round,0,,Yes,1,No,No,,,
Melrose,Sadie Brown,11514,8905,8905,Curbside,,,Both,Weekly,Yes,,,None,17,52,Both,Both,Neither,Neither,Yes,Yes,,,,200,,,,Yes,4,45,,,,,,,,,,,,,,,,,,Yes,7229.2,Yes,0,Yes,52,63,2451.5,,77.15,58.5,25.05,1.95,42.85,54.08,,1.05,,,2538,34.12,,1 or 2,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,0,Year Round,1 or 2,Year Round,Between 3 & 10,Year Round,Yes,1,No,Yes,,,
MENDON,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merrimac,Jennifer Penney,2748,1497,1897,Curbside,,,Curbside,Bi-weekly,Yes,,,None,,31,Both,Both,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,693.32,Yes,0,Yes,,70.5,428.6,,,,,,13.59,,,,,,32.13,7.2,,Between 3 & 10,0,Once a Week,Once a Week,Between 3 & 10,Between 3 & 10,0,0,Between 3 & 10,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,1 or 2,0,0,0,0,0,No,,,,"We pay a monthly flat rate for recycling collection & processing.  


TV's, Computers and other electronics accepted weekly seasonally April thru November at Yard Waste Site.",,
