Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type,Yard Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,PAYT,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Enforced Mandatory Recycling,Recycling Enforced by Muni,Recycling Enforced by Hauler,Swap-Shop,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Did your municipality host comprehensive household hazardous waste collection events in 2011?,How many events?,Regional,Reciprocal,Comments/Additional Information,
NEWBURY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEWBURYPORT,Molly Ettenborough,8638,7848,7848,Curbside,,,Curbside,Yes,Yes,64,None,Both,5,36,Both,Both,Both,,Yes,5,35,Yes,Yes,Yes,Yes,Yes,,Yes,5918,Yes,,1728,,,1187,,18,,,9.26,1.27,,11650,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Year Round,Once a Month,Once a Month,Once a Month,Once a Month,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,12,Yes,Yes,We hold one regional HHW Day per year and once monthly for residents.,
NEWTON,Elaine Gentile,31975,27500,27500,Curbside,Yes,64,Both,Yes,Yes,64,None,Curbside,39,,Both,Both,Neither,,Yes,1,64,Yes,Yes,Yes,Yes,Yes,Yes,Yes,20601,Yes,11036,,129,,,,519.67,243.15,,,,,6663.78,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,19,No,No,"Latex paint is collected May - October for the reuse shed.
Newton has permanent HHW Facility.
Newton allows businesses and non-profits to use the drop off center.
Newton also collects leave for additional composting = 5,500 T approx.
CRTs/TVS = 228.68 T",
NORFOLK,Robert J. McGhee,3611,1399,1399,Drop-off,,,Drop-off,,,,None,Drop-off,,52,Both,Neither,Neither,Yes,,,,,,,,,,,1055,Yes,0,176,132,0,239,30,100,,62,,,,1398,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,26,No,Yes,"The Town of Norfolk Recycling Transfer Stration accepts Household Hazardous Waste one time per week (Wednesday) from April 1st through September 30th each year.  We are a member of the Charles River Household Hazardous Waste Consortium.
Question #8 - Text",
NORTH ADAMS,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH ANDOVER,Bruce Thibodeau,10000,8000,8000,Both,,,Both,Yes,,,None,Drop-off,,36,Both,Both,Both,,,,,,,,,,,,8200,Yes,2500,,,,,,,,,,,,900,Year Round,0,Year Round,0,Year Round,0,Year Round,1 or 2,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,2,Yes,No,,
NORTH ATTLEBOROUGH,Michele C Bernier,11015,8640,8702,Both,,,Both,Yes,Yes,96,None,Drop-off,,35,Both,Both,Neither,Yes,,,,,,Yes,Yes,Yes,,Yes,5080,Yes,2932,17,41,,2,,52.87,0.25,29.91,222,,,5000,1 or 2,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,2,No,No,"We provide three (3) bulky metal curbside collection events.  I do not have accurate figures on these events so the tonnage is not included in this report.

The compost site is controlled by the Department of Public Works and not the Solid Waste Departmen",
NORTH BROOKFIELD,Lucinda Thompson,1702,1355,1355,Drop-off,,,Drop-off,,,,None,Drop-off,,52,Both,Recycling,Both,Yes,,,,,,Yes,Yes,,Yes,,530,Yes,,25,56,85,51,,56,20,55.11,,,,140,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,Yes,1,Yes,No,"Latex paint is collected year round. Oil based paint is collected once per year.
We also recycled 11 gaylords of books  and 450 gallons of used motor oil",
NORTH READING,Richard Carnevale,4289,4227,4227,Curbside,,,Curbside,,,,None,Both,2,32,Both,Both,Neither,,Yes,4,32,Yes,,,,,,,5184,Yes,,,,891,508,,2.65,,,,,,985,1 or 2,1 or 2,0,0,Between 3 & 10,1 or 2,1 or 2,1 or 2,0,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Yes,1,No,No,,
NORTHAMPTON,Karen Bouquillon,11880,5151,5151,Drop-off,,,Drop-off,,,,Drop-off,Drop-off,,52,Both,Both,Neither,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,2929,Yes,0,0,0,1145,496,16.51,164.84,75,167.59,51.66,,38.51,1602,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,Yes,,
NORTHBOROUGH,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHBRIDGE,Theodore Kozak,5752,0,400,None,,,Drop-off,,,,None,Both,8,63,Neither,Neither,Neither,,,,,,,,,,,,0,Yes,,,,540,230,,,,,,,,,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,0,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,No,,,,,
NORTHFIELD,Jan Ameen,1257,913,913,Drop-off,,,Drop-off,,,,Drop-off,None,,,Neither,Neither,Neither,Yes,,,,,,,,,Yes,Yes,401,No,,,,153,97,,33,,,,,36,,0,0,Year Round,Year Round,0,Year Round,Year Round,0,0,0,Year Round,Year Round,0,0,0,Yes,1,Yes,Yes,,
NORTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORWELL,Joanne Dirk,3429,3429,3429,Curbside,,,Curbside,Yes,,,None,Drop-off,,52,Both,Both,Neither,,Yes,4,39,,Yes,,,,,Yes,3370,No,581,,,329,127,,99.95,,,,,,,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,Yes,"Got Books Program - 2.16 tons
CRTs - 24.8 tons
168 - Propane tanks
2 flex bins of oil based paint",
NORWOOD,Doris Burtman,13635,10432,10432,Curbside,Yes,64,Both,Yes,Yes,96,None,Both,30,30,Both,Both,Neither,,,,,,,,,,,Yes,6695,No,2727,,,,,,59.5,125,,,,,1984,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,0,1 or 2,1 or 2,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,"#6 Yard Waste Collection; town composting site is open for 30 weeks-one day a week.
 
#9 Fluorescent bulbs from the municipal buildings and schools are collected and picked up by WM. However, residents must KNOW to bring them to the customer service desk ",
OAK BLUFFS,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OAKHAM,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORANGE,Jan Ameen,2488,1313,1313,Drop-off,,,Drop-off,,,,Drop-off,Drop-off,,52,Both,Both,Both,Yes,,,,,,,,,Yes,Yes,828,Yes,,,,240,110,,31,20,,,,0.5,200,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Yes,1,Yes,Yes,,
ORLEANS,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTIS,Jamie Cahillane,1594,1594,1594,Drop-off,,,Drop-off,,,,None,Drop-off,,52,Both,Recycling,Both,,,,,,,,,,Yes,,442,No,,,,105,67,,50,,,,,,12,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,Between 3 & 10,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Yes,2,Yes,No,Scrap metal and yard waste are estimated.,
OXFORD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALMER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAXTON,Tom,1770,1770,1770,Curbside,,,Curbside,,,,None,Drop-off,,6,Both,Both,Neither,,,,,,,,,,,Yes,1356,No,,,,309,100,,,,,,,,,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Yes,10,Yes,No,We are members of the wachusett regional facility in West Boylston,
PEABODY,Bert Maria,21313,19295,19295,Both,,,Both,,,,None,Both,12,52,Both,Both,Neither,,Yes,3,36,,Yes,Yes,,Yes,,,18827,Yes,0,0,0,1703,993,,491,9,,,,,1183,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,Yes,,
PELHAM,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEMBROKE,Lisa Cullity,6500,6000,6500,Curbside,,,Both,Yes,Yes,64,None,Drop-off,,52,Both,Neither,Neither,,Yes,4,32,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6481,Yes,420,0,27,16,17,,65,,,,,,60,Once a Week,Once a Week,Once a Week,Once a Week,1 or 2,Once a Week,Once a Week,1 or 2,1 or 2,Once a Week,Once a Week,1 or 2,1 or 2,1 or 2,1 or 2,Yes,2,No,No,"We launcher or curbside program in July, so the figures represented will appear skewed because of that.",
PEPPERELL,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERU,Sandy Totter,320,320,320,Drop-off,,,Drop-off,,,,None,None,,,Both,Neither,Neither,,,,,,,,,,,Yes,235,Yes,,,,28,14,,18,,,,,,,0,0,1 or 2,1 or 2,0,0,Year Round,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,0,No,,,,,
PETERSHAM,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHILLIPSTON,Rick French,450,450,450,Drop-off,,,Drop-off,Yes,,,None,None,,,Both,Both,Both,Yes,,,,,,,,,Yes,,155,No,110,,,,0,,12.67,12.93,,,,,,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,0,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,Yes,1,Yes,No,,
PITTSFIELD,Bruce Collingwood,16000,16000,16000,Both,,,Both,,,,None,Drop-off,,51,Both,Both,Neither,,,,,,,Yes,Yes,Yes,,Yes,18761,Yes,,,,1511,723,,49,,,,,,681,0,0,0,0,0,0,0,0,0,Year Round,Year Round,Year Round,0,0,0,No,,,,,
PLAINFIELD,Eric Weiss,225,225,225,Both,,,Both,,,,None,None,,,Both,Both,Both,Yes,,,,,,Yes,Yes,,,Yes,107,Yes,,,,36,15,,,,,,,,,0,Year Round,Year Round,Year Round,0,0,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,No,,
PLAINVILLE,Deborah J. Revelle,3549,1812,1812,Curbside,,,Curbside,Yes,,,None,Drop-off,,52,Both,Both,Neither,Yes,,,,,,,,,,Yes,1206,Yes,621,,16,14,,,19,,,,,,,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,,
PLYMOUTH,Kerin McCall,20981,9559,10234,Drop-off,,,Drop-off,,,,None,Drop-off,,52,Both,Both,Recycling,,,,,,,,,,,Yes,12335,No,,,430,969,690,,638,50,,,,,303,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,2,No,Yes,"C&D/Bulky waste tonnage diverted which was 2,034 tons, which includes wood, mattresses and carpet.",
PLYMPTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRINCETON,Terri Longtine,1136,0,0,None,,,None,,,,None,None,,,Neither,Neither,Neither,,,,,,,,,,,,0,No,0,,,,,,,,,,,,,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Yes,4,Yes,No,"We are a member of the Wachusett Earthday group, which collects all the difficult to manage items.",
PROVINCETOWN,David Guertin,4100,3100,3100,Both,,,Both,Yes,,,None,Drop-off,,52,Both,Both,Both,,Yes,2,32,Yes,,,,,Yes,,2200,Yes,1000,20,250,0,0,,45,,5,,,,2500,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Yes,2,Yes,No,,
QUINCY,JOHN SULLIVAN,40000,32500,32500,Both,,,Both,Yes,,,None,Both,18,52,Both,Both,Neither,,,,,,,,,,,Yes,29720,Yes,5281,,,,,,20,30,,,,,4000,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,2,No,Yes,,
RANDOLPH,Paula Steward,10513,8576,8576,Curbside,,,Curbside,,,,None,Both,2,16,Both,Both,Both,,Yes,5,64,,Yes,,,,,Yes,10370,Yes,,1002,533,431,,,7.56,,,,,,4013,1 or 2,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,No,"tonage for:
   Tires .37
   Electronics  28.3",
RAYNHAM,Roger Stolte,12000,1200,1200,Drop-off,,,Drop-off,,,,None,Drop-off,,50,Both,Neither,Both,Yes,,,,,,Yes,Yes,,,,867,No,,78,105,144,215,,102,,291,,,,60,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Between 3 & 10,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Yes,1,No,No,,
READING,Michael O'Halloran,8446,8029,8029,Curbside,,,Curbside,,,,None,Both,5,35,Both,Both,Neither,,Yes,4,30,,Yes,Yes,,Yes,,,6990,Yes,,,,1864,1008,15.6,94.77,,,,,,5495,1 or 2,1 or 2,Year Round,0,Year Round,0,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,2,No,No,,
REHOBOTH,Bette J. Dyer,4805,1278,1278,Drop-off,,,Drop-off,Yes,,,None,Drop-off,,52,Neither,Neither,Neither,Yes,,,,,,,,,Yes,,480,No,98,36,59,,38,,1.5,,,,,,75,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,0,0,Year Round,0,No,,,,,
REVERE,Miles Lang-Kennedy,23246,20586,20586,Curbside,,,Curbside,Yes,Yes,64,None,Curbside,19,,Both,Both,Trash,,,,,,,,,,,,16535,Yes,3082,,,,,,,,,,,,738.14,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,No,,,,"**Recycling is available to ALL households although it is estimated that only 40% participate
QUESTION 4 - Trash Collection is available to small/family type businesses i.e. offices as a courtesy (those without dumpsters)
QUESTION 8 - TVs, computers, othe",
RICHMOND,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCHESTER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCKLAND,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCKPORT,Mr. Joseph Parisi,4990,3083,3083,Drop-off,,,Drop-off,,,,None,Drop-off,,52,Both,Both,Both,Yes,,,,,,Yes,Yes,,Yes,Yes,2662,No,0,0,0,627,279,,57,20,213,,,,1000,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,5,No,Yes,,
ROWE,Jan Ameen,155,150,150,Drop-off,,,Drop-off,,,,None,None,,,Recycling,Neither,Neither,,,,,,,,,,Yes,Yes,207,Yes,,,,30,15,,24.03,,,,,,,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,0,Yes,1,Yes,Yes,,
ROWLEY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROYALSTON,Philip,449,330,330,Drop-off,,,Drop-off,,,,None,Drop-off,,52,Both,Both,Both,Yes,,,,,,,,,Yes,Yes,187,No,,,,100,22,,,14,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,1 or 2,Yes,1,Yes,No,,
RUSSELL,Pandora Hague,960,370,370,Drop-off,,,Drop-off,,,,None,None,,,Both,Neither,Neither,Yes,,,,,,Yes,Yes,,,,481,Yes,,,,50,30,,18.56,,,,,,,0,1 or 2,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,
RUTLAND,Gary Kellaher,2632,0,0,None,,,None,,,,None,Drop-off,,52,Neither,Neither,Neither,,,,,,,,,,,,0,No,0,,,,,,,,,,,,,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Yes,4,Yes,No,Particiate with the Wachusett Earthday group.,
SALEM,Julie Rose,14000,13765,13765,Curbside,,,Curbside,,,,None,Curbside,5,,Both,Both,Both,,Yes,3,35,,Yes,,,,,,13240,Yes,,,,1788,1192,,,,,,,,475,1 or 2,1 or 2,Year Round,Year Round,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,Yes,2,No,Yes,,
SALISBURY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANDISFIELD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANDWICH,Paul S. Tilton,8500,5500,5500,Drop-off,,,Drop-off,,,,None,Drop-off,,52,Both,Both,Recycling,Yes,,,,,,Yes,Yes,,,Yes,4905,Yes,,,,661,474,,543.46,100.4,,20,20,,4060,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,4,Yes,Yes,"- Started PAYT July 2011
- A % of bulky waste was calculated for matresses/carpet since it is separated by the disposal company (ie, we don't have separate weights for these items).",
SAUGUS,Lorna L. Cerbone,10000,8758,8758,Curbside,,,Both,,,,None,Both,4,43,Both,Both,Neither,,Yes,3,45,Yes,Yes,,,,,,8190,Yes,,,,1288,761,,,,,,,,,1 or 2,1 or 2,Year Round,Year Round,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Yes,2,No,Yes,"8758 (include 1-3 family homes)residential stops with curbside trash and rescycling services, all  residents can use the recycling drop-off site every Wed. & Sat. 8am-2 pm.


We do not have numbers at this time for yard waste and white goods or metal even",
SAVOY,Sandy Totter,287,122,122,Drop-off,,,Drop-off,,,,None,None,,,Both,Neither,Neither,Yes,,,,,,,,,,Yes,87,Yes,,,,17,8,,6,,,,,,,0,0,1 or 2,1 or 2,0,0,0,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,0,No,,,,,
SCITUATE,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEEKONK,Elizabeth Lamothe,4986,4802,4802,Curbside,,,Both,Yes,,,None,Both,12,52,Both,Neither,Neither,Yes,,,,,,,,,,Yes,2812,Yes,1514,,,,,,,8.98,,,,,,Year Round,Once a Month,Once a Month,Once a Month,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,,
SHARON,Liz Curley,6200,4900,4900,Curbside,,,Both,,Yes,96,None,Both,7,20,Both,Neither,Neither,,,,,,,,,,,,7264,No,1782,,,92,33,,174420,,,,,,600,1 or 2,Year Round,Year Round,Year Round,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,,
SHEFFIELD,Rhonda LaBombard,1543,816,837,Drop-off,,,Drop-off,,,,None,None,,,Both,Recycling,Neither,,,,,,,,,,,,568,Yes,,,,125,80,,108,,,,,,,0,0,Year Round,Year Round,0,0,0,0,0,0,Year Round,0,0,0,0,Yes,8,Yes,No,,
SHELBURNE,Jan Ameen,794,720,720,Drop-off,,,Drop-off,,,,None,None,,,Both,Neither,Neither,Yes,,,,,,,,,Yes,Yes,304,No,,,,93,47,,,,,,,,,0,0,0,0,0,Year Round,0,0,0,0,Year Round,Year Round,0,0,0,Yes,1,Yes,Yes,,
SHERBORN,Carol Rubenstein,1528,1528,1528,Drop-off,,,Drop-off,,,,None,None,,,Both,Recycling,Both,,,,,,,Yes,Yes,,Yes,Yes,1652,Yes,,,,495,190,,48.82,13.18,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,Yes,,
SHIRLEY,Joseph Howlett II,2435,1855,2435,Curbside,,,Both,Yes,,,None,Drop-off,,52,Both,Neither,Recycling,Yes,,,,,,,,,,,825,No,395,,8,,,,,,,,,,,0,Once a Week,Once a Week,Once a Week,0,0,0,0,0,0,0,0,0,0,0,No,,,,,
SHREWSBURY,Matthew J. Armendo,19000,9500,9500,Curbside,,,Curbside,,,,None,Both,3,4,Both,Both,Neither,Yes,,,,,,,,,,,6386,Yes,,,40,2000,1200,,,,,,,,,0,0,0,0,0,0,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,"The Town of Shrewsbury will be hosting a Household Hazardous Waste Collection on Saturday, May 12, 2012 at the Highway Garage on 211 South Street. Cost is $10 per car-load and proof of residency will be required.",
SHUTESBURY,J. Gary Bernhard,850,850,850,Curbside,,,Curbside,,,,None,None,,,Both,Both,Both,Yes,,,,,,,,,,Yes,334,Yes,,,,94,99,,,,,,,,,1 or 2,1 or 2,1 or 2,1 or 2,0,Year Round,1 or 2,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,Shutesbury participates in HHW collection with the Town of Amherst and did participate in 2011.  Shutesbury does not hold a separate HHW collection day.,
SOMERSET,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOMERVILLE,Vithal Deshpande,76519,22500,22500,Curbside,,,Curbside,Yes,Yes,64,None,Curbside,22,52,Both,Both,Recycling,,,,,,,,,,,Yes,19580,No,1094,,,1979,1245,,,,,,,,,Year Round,Year Round,Year Round,1 or 2,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Yes,8,No,No,,
SOUTH HADLEY,Veronique Blanchard Smith,7024,6200,6200,Both,,,Both,,Yes,18,None,Both,8,52,Both,Both,Both,Yes,,,,,,,,,Yes,Yes,3053,No,,,,952,480,,148.95,8,,20.57,,,11466,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,2,No,No,,
SOUTHAMPTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHBOROUGH,Karen Galligan,2920,2920,2920,Drop-off,,,Drop-off,,,,None,Drop-off,,52,Neither,Neither,Neither,,,,,,,,,,Yes,,3184,Yes,,278,197,,299,,151,80,,,,,509,1 or 2,Year Round,1 or 2,Year Round,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,"Transfer Station available to all households, only 2620 participate",
SOUTHBRIDGE,Kim Grant,7184,6587,6587,Curbside,,,Curbside,Yes,Yes,96,None,Both,12,28,Both,Both,Neither,,,,,,,Yes,Yes,,,Yes,5139,No,1144,,,,,,,62,62,62,62,,,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Yes,4,No,No,"Textiles, Wood, Mattress and Carpet are picked up co-mingled and diverted by Casella. The Town does not receive a tonnage breakdown by individual items.",
