Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,Solid Waste program funded by property tax?,Solid Waste program funded by annual fee?,Solid Waste program funded by transfer station access fee?,Solid Waste program funded by per-visit fee?,Solid Waste program funded by PAYT/ SMART revenue?,What is the annual fee?,What is the transfer station access fee?,What is the per-visit fee?,PAYT/ SMART,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Applies to Residential Generators Eligible to be Served by Municipal Program,Applies to Residential Generators not Eligible to be Served by the Municipal Program,Applies to Commercial Generators,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,# Hours Enforcement Personnel on Street,Private Hauler regulations that require recycling,Applies to Haulers Serving Residential Generators Eligible to be Served by Municipal Program,Applies to Haulers Serving Residential Generators Not Eligible to be Served by Municipal Program,Applies to Commercial Generators,Swap-Shop,Reuse area at transfer station/ recycling center?,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,"Annual Bulky 
Waste 
Limit",Tip Fee as of 1/1/2020,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,C&D,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,"Propane tanks 
1 lb.",Propane tanks  20 lb.,Anti-freeze,Used oil filters,Latex paint,Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Books/Media,Plastic Film,Fire Extinguishers,Did your municipality host comprehensive household hazardous waste collection events in 2019?,How many events?,Regional,Reciprocal,,,,,,,,,,,,,,,
Hopkinton,- - DID NOT REPORT - -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubbardston,- - DID NOT REPORT - -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson,Kelli M. Calo,7749,1705,1705,Drop-off,,,Drop-off,,,,,Drop-off,,33,Both,Both,Neither,Neither,,,Yes,,,,10,,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,,1255.35,Yes,,Yes,,,,179.09,89,,121.12,,,10.68,,,,,163.08,,,Year Round,Year Round,Year Round,Year Round,< 6,Year Round,0,0,< 6,< 6,Year Round,< 6,< 6,< 6,< 6,< 6,< 6,Between 6 & 11,Year Round,Year Round,Year Round,Year Round,0,< 6,Yes,2,Yes,No,,,,,,,,,,,,,,,
Hull,Joyce Sullivan,10417,0,0,None,,,None,,,,,None,0,0,Neither,Neither,Neither,Neither,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,Yes,,,,0,Yes,,,,,0,0,0,0,0,,,0.83,,,,,,,,0,0,Year Round,Year Round,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Year Round,Year Round,0,Year Round,0,0,Yes,1,Yes,Yes,,,,,,,,,,,,,,,
Huntington,Kathleen A. Casey,953,477,477,Drop-off,,,Drop-off,,Yes,,,None,,,Both,Neither,Both,Neither,,Yes,,,Yes,40,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,No,,,,,,,,Yes,297.8,No,52.32,Yes,,85,96.31,,,,,,34.99,2.56,,,,,,1.98,,Between 6 & 11,Year Round,Year Round,Year Round,Between 6 & 11,Year Round,Year Round,Year Round,Between 6 & 11,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,Year Round,No,,,,,,,,,,,,,,,,,,
Ipswich,Marlene Faria Connelly,6369,5055,5157,Curbside,,,Both,Weekly,Yes,,,Curbside,1,52,Both,Both,Recycling,Neither,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,,,,Yes,,,,,,,,,,2909.4,Yes,,Yes,52,72.5,1683.97,,,,,15,89.75,47.57,,,,208,337.5,10.79,,Year Round,< 6,< 6,< 6,< 6,Year Round,Year Round,Year Round,< 6,< 6,0,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,< 6,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,1,No,Yes,,,,,,,,,,,,,,,
Kingston,Paul Basler,4700,3350,3350,Drop-off,,,Drop-off,,,,,None,,52,Recycling,Neither,Neither,Neither,Yes,Yes,,,,200,,,,,,,,,,Yes,Yes,,,Yes,,No,,Yes,Yes,Yes,Yes,Yes,,Yes,2966,No,0,Yes,,75.97,,,218,224,248,32.1,240,48,,19.77,,,500,36.6,656,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Between 6 & 11,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,0,Yes,1,No,Yes,,,,,,,,,,,,,,,
Lakeville,Jennifer,4258,1496,1496,Drop-off,,,Drop-off,,,,,None,,52,Neither,Neither,Neither,Neither,Yes,Yes,,,Yes,50,,,Yes,,,,,,,,,,,,,,,,,,,Yes,Yes,,590.2,No,451.33,Yes,,82.5,,10.24,90,41.06,94.65,2.27,77.93,,23.92,6.35,,,,10.17,3,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Yes,1,No,No,,,,,,,,,,,,,,,
Lancaster,- - DID NOT REPORT - -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanesborough,Linda Cernik,1322,0,1322,None,,,Drop-off,,,,,None,,,Recycling,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,No,Yes,,,,,,,,,,,,,Yes,0,No,2.33,Yes,,,,,,45.38,22.29,,7.63,,,,,,,1.1,,Year Round,Year Round,< 6,< 6,< 6,Year Round,Year Round,Year Round,< 6,< 6,< 6,Between 6 & 11,Year Round,Year Round,Year Round,Year Round,Year Round,< 6,< 6,Year Round,< 6,Year Round,,Year Round,No,,,,,,,,,,,,,,,,,,
Lawrence,Brian Pena,30000,21723,21723,Curbside,Yes,64,Curbside,Weekly,Yes,,,None,22,,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31004.8,No,0,Yes,,61.25,3318.05,,161,,,,,,,,,,,,,Between 6 & 11,Between 6 & 11,Between 6 & 11,Between 6 & 11,Between 6 & 11,Year Round,Between 6 & 11,Between 6 & 11,Between 6 & 11,Between 6 & 11,0,Between 6 & 11,Between 6 & 11,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,0,0,Between 6 & 11,Yes,12,No,No,,,,,,,,,,,,,,,
Lee,Peter Hofman,2489,0,0,None,,,None,,,,,None,,,Neither,Neither,Neither,Neither,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,Yes,,,Yes,0,No,0,,,,,,,,,,,,,,,,,,,< 6,0,0,0,< 6,Year Round,0,0,< 6,0,0,< 6,0,< 6,< 6,< 6,< 6,0,0,0,0,0,0,0,No,,,,,,,,,,,,,,,,,,
Leicester,David Genereux,3587,0,3587,None,,,Drop-off,,,,,None,,30,Neither,Neither,Neither,Neither,,Yes,,,,30,,,,,,,,,,,,,,,,,,,,,,Yes,,,0,No,0,,,,,,,69,51,,73,2,,1.93,,,57,122.56,,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,,,,,,,,,,,,,,,
Lenox,- - DID NOT REPORT - -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leominster,- - DID NOT REPORT - -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leverett,Jan Ameen,717,657,657,Drop-off,,,Drop-off,,,,,Drop-off,,52,Both,Both,Neither,Neither,Yes,,Yes,,Yes,,30,,Yes,,,,,,,No,Yes,Yes,,,,,,,,,,Yes,,Yes,151.8,No,114.34,Yes,,79,,,,93,54.5,2,28.86,1.62,,,,37,1.62,1.67,,Year Round,Year Round,Year Round,Year Round,Once a Month,Year Round,Year Round,Year Round,Once a Month,Once a Month,0,Once a Month,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,0,Year Round,No,,,,,,,,,,,,,,,,,,
Lexington,Robert Beaudoin,12475,10888,11444,Both,,,Both,Weekly,Yes,,,Curbside,24,52,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,6,32,,,,No,Yes,,,,,,,Yes,Yes,,,,,Yes,8251,Yes,,No,,69.54,3902,,77,,,1,327,734,15,,,705,,,497110,Year Round,Year Round,Year Round,Year Round,Between 6 & 11,Year Round,Year Round,Year Round,Between 6 & 11,Between 6 & 11,0,Between 6 & 11,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,Year Round,Yes,6,Yes,Yes,,,,,,,,,,,,,,,
Leyden,- - DID NOT REPORT - -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln,Susan Donaldson,1933,1933,1933,Drop-off,,,Drop-off,,Yes,,,Drop-off,,52,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,Yes,16,,,,,Yes,,Yes,923,Yes,,No,,69.54,394,,,,85,,113,6,,,,2,,28,,< 6,0,Year Round,Year Round,< 6,Year Round,Year Round,Year Round,< 6,< 6,Year Round,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,,Year Round,Yes,8,No,Yes,,,,,,,,,,,,,,,
Littleton,Steven Whitten,3081,1807,1807,Drop-off,,,Drop-off,,,,,None,,52,Neither,Neither,Neither,Neither,,Yes,,,,120,,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,773,No,289,Yes,,77.5,,,,301.86,255.44,,5.43,26.73,172.76,4.13,,,126,6.97,287,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Month,Once a Month,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,,Year Round,No,,,,,,,,,,,,,,,,,,
Longmeadow,Mario Mazza,5779,5534,5534,Curbside,Yes,35,Curbside,Weekly,,,,None,6,52,Both,Both,Neither,Neither,Yes,,Yes,,Yes,,45,,Yes,,,,,,,Yes,Yes,Yes,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes,3603,No,313,Yes,,77.5,,,,1011,619,13.52,109.45,4.91,,20.08,,,311.58,33.05,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,0,Year Round,No,,,,,,,,,,,,,,,,,,
Lowell,Chris Haley,38000,25000,25000,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,40,6,Both,Both,Neither,Neither,Yes,Yes,,,,125,,,,Yes,1,64,Yes,,Yes,Yes,Yes,,,Yes,,Yes,40,,,,,,,Yes,23899.37,No,0,Yes,,66.23,6368.62,,,,,0,36,181.55,0,,0,0,4456,31.7,0,Once a Month,Once a Week,Once a Week,Once a Week,Once a Month,Year Round,Once a Month,Once a Month,Once a Month,Once a Month,Between 6 & 11,Between 6 & 11,Year Round,Year Round,Year Round,Year Round,Year Round,0,Between 6 & 11,Year Round,0,Once a Week,,Once a Month,Yes,2,Yes,No,,,,,,,,,,,,,,,
Ludlow,Jim Goodreau,7130,7054,7054,Both,,,Both,Weekly,Yes,,,None,,36,Both,Neither,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,5071,No,35,Yes,,77.5,1289,,,68,13,,76,,,,,,1703,30,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,,0,No,,,,,,,,,,,,,,,,,,
Lunenburg,Elaine Peterson,4236,3636,4236,Curbside,,,Curbside,Weekly,Yes,,,None,,6,Both,Both,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,1862.66,No,0,Yes,,85.03,774.68,,,,,,,16,,,,,129.63,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,0,No,,,,,,,,,,,,,,,,,,
Lynn,Lisa Nerich,33122,27000,27000,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,10,33,Both,Both,Neither,Neither,Yes,Yes,,,Yes,90,,,,Yes,1,64,Yes,Yes,No,Yes,Yes,,,Yes,Yes,No,,,,,,,,Yes,27212.87,Yes,,Yes,,73.47,6336.11,,,,,,18.33,11.29,,,,,16200,20.69,,0,< 6,Year Round,0,< 6,< 6,< 6,< 6,< 6,< 6,< 6,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,< 6,0,0,0,0,Yes,2,Yes,Yes,,,,,,,,,,,,,,,
Lynnfield,Marlene Faria Connelly,4590,4350,4350,Curbside,,,Curbside,Bi-weekly,Yes,,,None,,38,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4577.01,Yes,,Yes,52,,1152.75,,,,,,18.08,51.72,,,,,270,4.69,,< 6,0,Once a Month,0,< 6,< 6,< 6,< 6,< 6,0,0,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,0,0,Yes,1,No,Yes,,,,,,,,,,,,,,,
Malden,Bob Knox,25000,17100,17100,Curbside,,,Both,Weekly,,,,None,18,52,Both,Both,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,Yes,,Yes,Yes,,,,11676,Yes,,No,52,,,,,1845,2192,0,14,90,,,,0,,0.42,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,< 6,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,Year Round,Yes,2,No,No,,,,,,,,,,,,,,,
Manchester,Kay Mol,2417,2417,2417,Both,,,Both,Weekly,Yes,,,Both,2,38,Both,Neither,Recycling,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,,,,Yes,,,,,,,,,,1123.57,Yes,,Yes,,66.89,,,,,830.38,,,21.34,,,,158.65,,,7,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,Year Round,Yes,1,Yes,Yes,,,,,,,,,,,,,,,
Mansfield,Christina Collins,7898,6831,6831,Curbside,Yes,64,Curbside,Weekly,Yes,Yes,64,None,0,52,Both,Neither,Neither,Neither,Yes,,,,,,,,,Yes,1,64,,Yes,,Yes,Yes,,,,Yes,,,,,,,,,Yes,5150,No,0,Yes,,68.97,2000,,,,,,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,No,,,,,,,,,,,,,,,,,,
Marblehead,Andrew Petty,8000,8000,8000,Both,,,Both,Weekly,Yes,,,Drop-off,7,52,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,2,35,Yes,Yes,No,Yes,Yes,,,Yes,Yes,No,,,,,,Yes,,Yes,4300.14,No,0,Yes,,91.79,2226.38,9.44,201,97.68,12.78,,106.42,35.98,,17.41,,63.75,946.73,26.63,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,Year Round,Yes,2,No,No,,,,,,,,,,,,,,,
Marion,David Willett,2771,2771,2771,Both,Yes,64,Both,Bi-weekly,Yes,Yes,96,None,0,7,Both,Both,Recycling,Neither,Yes,,,,,,,,,Yes,1,45,Yes,Yes,No,,,,,,,,,,,,,,,,1470.34,No,0,Yes,,,301,,,,,,,,,,,,46.38,,,0,0,Year Round,Year Round,0,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,< 6,Year Round,< 6,Year Round,Year Round,< 6,0,Year Round,Year Round,Year Round,Year Round,0,0,Yes,1,Yes,Yes,,,,,,,,,,,,,,,
Marlborough,Theodore Scott,12000,12000,12000,Both,Yes,65,Both,Bi-weekly,Yes,Yes,95,None,4,52,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,1,65,,Yes,,,,,,,,,,,,,,Yes,,,8231,No,1510,No,,120.58,2981,,,,,,,,,,,,1538,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,< 6,Year Round,Year Round,< 6,Year Round,Year Round,< 6,< 6,< 6,0,Year Round,Year Round,Year Round,Year Round,0,< 6,Yes,2,No,No,,,,,,,,,,,,,,,
Marshfield,Debbie Sullivan,9564,9444,9444,Both,,,Both,Weekly,Yes,Yes,64,None,4,52,Both,Both,Both,Neither,,Yes,Yes,,Yes,360,20,,Yes,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,5357,Yes,,Yes,52,,3220,,,,,,500,24,,,,,122,58,,Year Round,Year Round,Year Round,Year Round,Between 6 & 11,Year Round,Year Round,Year Round,0,Between 6 & 11,0,Between 6 & 11,Year Round,Between 6 & 11,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,0,Yes,1,No,No,,,,,,,,,,,,,,,
Mashpee,Catherine Laurent,6933,4464,4916,Drop-off,,,Drop-off,,,,,Drop-off,,52,Both,Both,Neither,Both,Yes,,Yes,Yes,,,150,15,,,,,,,,,,,,,,,,,,,,,,Yes,3517,Yes,,Yes,,93.75,277,30,166,124,151,26,288,39,,36.85,,11.5,113.18,33.69,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 6 & 11,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,4,No,Yes,,,,,,,,,,,,,,,
Mattapoisett,- - DID NOT REPORT - -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maynard,Justin DeMarco,4142,4142,4142,Curbside,,,Curbside,Bi-weekly,Yes,Yes,95,None,3,6,Both,Both,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,3854,Yes,,Yes,,68.97,938.81,,,,,,,,,,,,,,,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,< 6,< 6,< 6,< 6,Once a Month,Once a Month,< 6,< 6,< 6,< 6,< 6,< 6,< 6,< 6,Year Round,Once a Month,,< 6,Yes,1,Yes,No,,,,,,,,,,,,,,,
Medfield,Maurice Goulet,4391,3600,3600,Drop-off,,,Drop-off,,Yes,,,Drop-off,,52,Neither,Neither,Neither,Neither,,Yes,,,,50,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,2642,Yes,,No,,68.97,922,,,,,34,168,107,,9.24,,18.35,1143,23,,Year Round,Year Round,< 6,< 6,< 6,Year Round,Year Round,Year Round,< 6,< 6,Year Round,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,< 6,0,Year Round,Year Round,Year Round,,Year Round,Yes,1,No,Yes,,,,,,,,,,,,,,,
Medford,Mary Menezes,22067,19500,19500,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,15,,Both,Both,Both,Neither,Yes,,,,,,,,,,,,,,,No,Yes,,Yes,,,,,,,,,,,,15471,No,0,Yes,,,5233.6,,,,,0,0,35.85,,,,,,,,0,0,0,0,0,Year Round,0,0,0,0,Between 6 & 11,Between 6 & 11,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,0,No,,,,,,,,,,,,,,,,,,
Medway,Stephanie Carlisle,4450,4171,4171,Both,,,Both,Bi-weekly,Yes,Yes,96,None,0,52,Both,Both,Neither,Neither,,Yes,,,Yes,250,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3047.94,Yes,,No,52,68.97,1334.76,0,39,27.13,9.67,17.43,85.2,19.35,,,,,432,37.11,,Year Round,Year Round,Year Round,Year Round,< 6,Year Round,Year Round,Year Round,< 6,< 6,0,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,,< 6,Yes,1,No,No,,,,,,,,,,,,,,,
Melrose,Samantha Flanagan,11514,8905,8905,Curbside,,,Both,Weekly,Yes,,,None,16,52,Both,Both,Neither,Neither,Yes,Yes,,,,200,,,,Yes,4,45,Yes,Yes,No,,,,,,,,,Yes,,Yes,,,,Yes,7045,Yes,,Yes,52,64,2312,,,,,1.5,41.28,24.34,,,,,960,31.69,,< 6,Year Round,Year Round,Year Round,< 6,Year Round,Year Round,Year Round,< 6,0,Year Round,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,< 6,Year Round,Year Round,< 6,Year Round,0,Year Round,Yes,1,Yes,Yes,,,,,,,,,,,,,,,
Mendon,- - DID NOT REPORT - -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merrimac,Jennifer Penney,2985,1534,1934,Curbside,,,Curbside,Bi-weekly,Yes,Yes,96,None,,30,Both,Neither,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,610.7,Yes,,Yes,,68.7,550.36,,,,,,,3.59,,,,,31.32,,,Between 6 & 11,Between 6 & 11,< 6,< 6,Between 6 & 11,Year Round,Between 6 & 11,Between 6 & 11,Between 6 & 11,Between 6 & 11,Year Round,Between 6 & 11,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,0,0,0,No,,,,,,,,,,,,,,,,,,
Methuen,Daryl Laurenza,17154,14754,14754,Both,,,Both,Bi-weekly,Yes,,,None,16,52,Both,Both,Neither,Neither,Yes,,Yes,,,,10,,,,,,,,,,,,,,,,,,,,,,,,17766.08,Yes,,Yes,52,78,2541.14,,,,,,151.58,35,,,,,3709.75,40.57,2553,< 6,Year Round,Year Round,Year Round,< 6,< 6,Year Round,Year Round,< 6,< 6,0,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,0,Yes,1,No,Yes,,,,,,,,,,,,,,,
Middleborough,Christopher Peck,7351,6245,6245,Both,Yes,64,Both,Bi-weekly,Yes,Yes,96,None,0,52,Both,Neither,Neither,Neither,,Yes,Yes,,Yes,204,25,,,Yes,1,64,Yes,,No,,,,,,,,,Yes,,Yes,Yes,,,Yes,4775.69,Yes,,Yes,,25,1615.3,,,,,,189.9,54.2,,,,,370,18.75,34,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,0,Yes,1,Yes,Yes,,,,,,,,,,,,,,,
Middlefield,Kathleen A. Casey,270,173,173,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Both,Neither,,Yes,,,,65,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,No,,,,,,Yes,,Yes,121.95,No,23.4,Yes,,80.85,,,,17.19,15.14,,11.12,3.36,,,,,,1.84,,Between 6 & 11,Year Round,Year Round,Year Round,Between 6 & 11,Year Round,Year Round,Year Round,Between 6 & 11,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,0,Year Round,No,,,,,,,,,,,,,,,,,,
Middleton,Paul Goodwin,3112,2152,2492,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Neither,Neither,Yes,Yes,,,,125,,,,,,,,,,Yes,Yes,,,Yes,,Yes,48,,,,,Yes,Yes,,2107,Yes,,No,,73.5,,,,296.21,169.42,,139.87,,,,,,72,4.71,,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,< 6,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,0,Yes,1,Yes,Yes,,,,,,,,,,,,,,,
Milford,Jacquelyn Murphy,11500,9000,9000,Curbside,,,Both,Bi-weekly,,,,None,1,40,Recycling,Recycling,Neither,Neither,Yes,,,,,,,,,Yes,4,35,Yes,,No,Yes,Yes,,,Yes,,No,,,,,,,,Yes,9634,Yes,,Yes,52,,,,,,3300,,,63,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,< 6,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,,Year Round,Yes,1,No,No,,,,,,,,,,,,,,,
Millbury,Laurie Connors,4623,3728,3728,Drop-off,,,Drop-off,,Yes,,,None,,52,Both,Neither,Neither,Neither,,,Yes,,,,35,,,,,,,,,Yes,Yes,,Yes,Yes,,No,,,,,,,,,1842.27,Yes,,Yes,,,771.44,,,,,,84.45,7.8,,,,,,8.46,91,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,Year Round,No,,,,,,,,,,,,,,,,,,
