Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,Solid Waste program funded by property tax?,Solid Waste program funded by annual fee?,Solid Waste program funded by per-visit fee?,Solid Waste program funded by PAYT revenue?,What is the annual fee?,What is the per-visit fee?,PAYT,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,Private Hauler regulations that require recycling,Swap-Shop,Reuse area at transfer station / recycling center?,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,Tip Fee as of 1/1/2015,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Did your municipality host comprehensive household hazardous waste collection events in 2014?,How many events?,Regional,Reciprocal,Comments/Additional Information,
Littleton,Jim Clyde,3087,1860,1860,Drop-off,,,Drop-off,,,,,None,,52,Neither,Neither,Neither,Neither,,,,Yes,,,Yes,,,,,,,,,,,Yes,Yes,Yes,Yes,1247,Yes,,Yes,77,0,0,0,266,221,0,93,36,0,0,0,0,222,7,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,0,Year Round,0,No,,,,,
Longmeadow,Mike Wrabel,5892,5484,5484,Curbside,,,Curbside,Weekly,,,,None,8,52,Both,Both,Neither,Neither,Yes,,,Yes,,,Yes,,,,,,,Yes,Yes,,,,Yes,,Yes,3386,No,270,Yes,61,,,,1234,586,,52,4,210,8,0,0,3261,29,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,No,,,,,
Lowell,Gunther Wellenstein,38000,25000,25000,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,39,4,Both,Both,Neither,Neither,Yes,Yes,,,125,,,Yes,1,64,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,24730,Yes,,Yes,74,6327,,,,,0,399,10,0,50,0,0,3345,8,Once a Month,Once a Month,Once a Week,Once a Week,Once a Month,,1 or 2,0,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Month,Year Round,Year Round,,Yes,2,No,No,,
Ludlow,Jim Goodreau,6965,6850,6850,Both,,,Both,Weekly,Yes,,,None,,34,Both,Neither,Neither,Neither,Yes,,,,,,Yes,,,,,,,,,,,,,,,5006,Yes,,Yes,61,1556,,,54,11,,35,,,5,,,3896,31,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,,No,,,,,
Lunenburg,Kerry Speidel,4224,3624,3624,Curbside,,,Curbside,Weekly,Yes,,,None,,12,Both,Both,Neither,Neither,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,1386,No,9,Yes,77,946,,,,,,,,,,,,306,,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,No,,,,"The Town of Lunenburg is a member of the Devens HHW which is open 20 times a year and collects many of the other recycled material not collected at the curb. The town is also next to the Town of Townsend which has a drop off center that allows non-residents, is open twice a month and accepts most of the other recycled material not collected at the curb or at Devens. The town is also a member of Nashoba Boards of Health which collects sharps year round. Bulky tonnage is calculated based on items collected at curb and multiplied by weight on moving company weight tables.",
Lynn,Lisa Nerich,33000,27000,27000,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,11,41,Both,Both,Neither,Neither,Yes,,,,,,,Yes,1,64,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,31577,Yes,,Yes,64,2853,,,,,,,,,,,,2833,34,0,0,Once a Week,0,0,0,Once a Week,0,0,0,Once a Week,Year Round,Year Round,Year Round,Year Round,0,0,0,0,Yes,1,Yes,No,"The data represents 11 months under a contract that ended November 30, 2014, and one month of data under the new contract that began December 1, 2014.",
Lynnfield,Marlene Faria Connelly,4452,4310,4310,Curbside,,,Curbside,Bi-weekly,,,,None,,35,Both,Both,Recycling,Neither,Yes,,,,,,,,,,,,,,,,,,,,,4147,Yes,,No,68,,,,630,460,,,,,,,,,,0,0,0,0,0,0,0,1 or 2,0,1 or 2,0,0,0,0,0,0,0,Year Round,0,Yes,1,No,No,,
Malden,Ron Zanazzo,27100,19050,19050,Curbside,,,Both,Weekly,,,,None,32,52,Both,Both,Both,Neither,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,10561,Yes,,No,74,,,,1989,2195,,7,1,,,,,1573,103,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,0,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,0,Year Round,0,Yes,2,No,No,,
Manchester,Thalia Hatcher,2375,2262,2262,Both,,,Both,Weekly,Yes,,,Curbside,3,40,Both,Both,Both,Both,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,1347,Yes,,Yes,,689,,,105,,64,38,,,,,115,,,Year Round,0,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,,Yes,1,No,Yes,,
Mansfield,Christina Collins,7547,6585,6585,Curbside,Yes,64,Curbside,Weekly,Yes,Yes,64,None,2,52,Both,Both,Neither,Neither,Yes,,,,,,,Yes,1,64,,Yes,,Yes,Yes,,,,,,Yes,4560,Yes,,Yes,76,2508,,,55,113,2,,,800,,,,1200,43,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,0,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,No,,,,,
Marblehead,Andrew Petty,8000,8000,8000,Both,,,Both,Weekly,,,,None,10,52,Both,Both,Both,Neither,Yes,,,,,,,Yes,3,35,Yes,Yes,No,,,,,,Yes,,Yes,5408,No,0,No,90,,,142,1242,846,3,132,14,,,,,7600,41,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,1 or 2,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,,Yes,2,No,No,,
Marion,Robert C. Zora,2753,2753,2753,Both,,,Both,Bi-weekly,Yes,,,None,0,52,Both,Both,Recycling,Neither,Yes,,,,,,,Yes,5,40,Yes,,Yes,,,,,,Yes,,,1506,No,0,No,,260,,,,,,,,,,,,410,,Year Round,0,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,Year Round,0,Year Round,Year Round,,Yes,1,Yes,Yes,"Hazardous Products Collection sponsored by CMW District. Scrap Metal/White Goods, C&D Materials, Swap Shop or Book Re-Use by CMW District #8 (other recycled material) scrap metal/white goods and e-waste - CMW District. Medical Waste/Sharps - Board of Health Recycling Tonnage - cardboard, steel/tin cans, glass, plastic, newspaper - included in single stream. Bulky waste is accepted at the CMWRRDD Transfer Station. They would be responsible for tracking the tonnage collected.",
Marlborough,Thomas P. Temple,12000,12000,12000,Both,Yes,65,Both,Bi-weekly,Yes,Yes,95,None,8,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,Yes,Yes,,7727,No,0,Yes,114,,,,1103,575,350,30,,,,,,450,,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,0,Year Round,Year Round,,Yes,2,No,No,"We have been hosting our Hazardous Waste day collection with the town of Hudson in Marlborough, MA the past several years",
Marshfield,Debbie Sullivan,9315,9195,9195,Both,,,Both,Weekly,,,,None,5,52,Both,Both,Both,Neither,,Yes,,Yes,265,,Yes,,,,,,,,,,,,Yes,,Yes,6456,Yes,,No,,,2005,,,836,,197,43,,,,,211,64,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Yes,1,No,Yes,,
Mashpee,Catherine Laurent,6120,4354,6120,Drop-off,,,Drop-off,,Yes,,,None,,52,Both,Both,Neither,Neither,Yes,Yes,,,110,,,,,,,,,,,,,Yes,,,Yes,3563,Yes,,Yes,38,691,,145,,,4,185,17,,21,,,950,45,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Yes,4,Yes,Yes,,
MATTAPOISETT,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAYNARD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medfield,Kenneth Feeney,5200,3842,3842,Drop-off,,,Drop-off,,Yes,,,None,,52,Neither,Neither,Neither,Neither,,Yes,,,25,,,,,,,,,,,,,,,Yes,,2813,Yes,,No,,1024,,,,98,,7,107,,4,,,1000,32,Year Round,0,Once a Month,Once a Month,Year Round,,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,0,Year Round,,Yes,1,Yes,No,,
Medford,Mary Menezes,22067,19500,19500,Curbside,Yes,64,Both,Bi-weekly,Yes,Yes,96,None,15,,Both,Both,Both,Neither,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,Yes,15436,Yes,,Yes,84,5519,,,,,,,,,,,,2104,,0,0,Year Round,Year Round,0,0,0,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,0,No,,,,"We play a per cart rate for recycling disposal, and a per cart and per dumpster rate for trash removal, in addition to the fee per ton for trash removal. We pay per ton for yard waste disposal as well as a per collection fee, unfortunately the 2014 tonnage wasn't available at the time of the filing of this report.",
Medway,Thomas Holder,4600,4110,4110,Curbside,,,Both,Bi-weekly,Yes,Yes,96,None,1,52,Both,Both,Neither,Neither,,Yes,,Yes,250,,Yes,,,,,,,,,,,Yes,,Yes,Yes,3059,Yes,,No,64,1109,,,461,299,20,34,,99,,,,941,417,0,Year Round,Once a Week,Once a Week,1 or 2,,0,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,,Yes,1,No,No,"1. In July 2014 we began our automated single stream recycling cart collection program which has increased our recycling rate by around 3-5% each month. 2. Our Ewaste is collected with all white goods, freon and CRT items so the total includes all of these type of items. We also pay a flat rate of $900 a month for collection so we do not have a per ton unit price and so I left the cost at $0.3. We have a Planet Aid textile collection container at our recycling center year round, however it is a private company not managed by us so i did not include anything in textile questions.",
Melrose,Jessie Schmitt,8247,7621,7621,Curbside,,,Both,Weekly,Yes,,,None,18,50,Both,Both,Neither,Neither,,Yes,,,200,,,Yes,4,45,,Yes,,,,,,,,,Yes,7584,Yes,,No,67,460,,170,617,690,1,,7,,1,,,2560,40,1 or 2,Once a Month,Year Round,Year Round,1 or 2,,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,,Yes,1,No,No,"Mattresses - Melrose partnered with United Teen Equality Center for a once per event and UTEC charged Melrose $10 but Melrose didn't charge the residents.Rigid plastics - Melrose hosts a once per year collection event and JRM takes the rigid plastic material to be recycled.E-waste - Melrose paid 15 cents per pound of CRTs and received a rebate of 3 cents per pound of other e-waste including printers, home electronics etc.).Recycling program changed September 8. JRM started collecting single stream weekly recycling and keeping the rebate on that material. Melrose received a rebate from JRM for the material collected at Melrose's Recycling Drop-Off Center. At the Center, recyclables are separated into: cardboard, commingles and paper. Because Melrose switched from collecting recycling in house to having a hauler collect, some of the revenue/costs changed throughout the year therefore I just entered the average revenue/cost.",
MENDON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merrimac,Harold Lloyd,2500,1616,1930,Curbside,,,Curbside,Bi-weekly,Yes,,,None,,30,Both,Both,Neither,Neither,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,990,Yes,,Yes,65,453,,,,,,,,,,,,,4,0,0,Between 3 & 10,Between 3 & 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,
Methuen,Matt Zettek,18915,15053,16018,Curbside,,,Both,Bi-weekly,Yes,,,None,28,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,Yes,17148,Yes,,No,74,3786,,,,,,90,,,,,,3054,61,1 or 2,Year Round,Year Round,Year Round,1 or 2,0,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Once a Month,Year Round,0,Yes,1,Yes,Yes,The number of households served by the municipal recycling program includes those condominium complexes that chose to join the City's program while DEP's Municipal Recycling Incentive Program (MRIP) was available.,
Middleborough,Christopher Peck,7000,6000,6000,Curbside,,,Curbside,Bi-weekly,Yes,,,None,2,52,Recycling,Recycling,Neither,Neither,,Yes,,Yes,204,,,,,,,,,,,,,,,,,5470,No,72,Yes,25,774,,,94,,,115,4,72,,,,1030,,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,No,,,,The town currently provides weekly curbside trash pickup and bi-weekly recycling for residents who sign up for the service. There are two payment systems in town- one being a quarterly payment of $51.00 and the other being a PAYT sticker program.The town is changing to automated pick up in July 2015. At that point residents will be given a 96 gallon recycling container no matter which program they are part of. The residents on the quarterly payment system will receive a 64 gallon trash container while residents on stickers will be switched to bags and will receive a 32 gallon trash container. The town received the SMRP grant in 2014 for recycling bins and SMART/PAYT start up.Middleborough is also a South Shore Recycling Coop member town. As part of this membership town residents can participate in any other member towns Hazardous waste day as long as the residents has authorization from there town.The town's transfer station is operated by Waste Management. We deliver all collected recyclables to the transfer station they are then delivered by WM to their MIRF. We do not receive any payment/revenue for the materials.,
Middlefield,Kathleen A. Casey,280,200,200,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Both,Neither,,Yes,,,50,,,,,,,,,Yes,,Yes,No,,,Yes,Yes,128,No,16,Yes,71,,,,16,13,,4,2,,,,,,3,0,Year Round,Year Round,Year Round,0,0,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,No,,,,,
MIDDLETON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milford,Paul A. Mazzuchelli,10337,9569,10000,Both,,,Both,Bi-weekly,,,,None,4,52,Both,Both,Neither,Neither,Yes,,,,,,,Yes,4,32,Yes,,Yes,Yes,,Yes,No,,,Yes,,8234,Yes,,Yes,64,,,1560,1755,597,,697,14,4583,,,,1528,4556,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Yes,1,No,Yes,,
Millbury,Robert McNeil,5760,3011,3011,Drop-off,,,Drop-off,,Yes,,,None,,40,Neither,Neither,Neither,Neither,Yes,Yes,,,35,,,,,,,,,Yes,,Yes,Yes,,,,,2406,Yes,,No,,578,,,,,,76,1,,,,,2000,2,Year Round,1 or 2,Year Round,Year Round,Year Round,,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Yes,1,No,No,,
Millis,James F. McKay,3218,837,837,Drop-off,,,Drop-off,,,,,None,,52,Recycling,Recycling,Neither,Neither,,,,Yes,,,Yes,,,,,,,,,,,,,,,484,Yes,,Yes,64,0,0,0,145,90,0,26,0,0,1,,,,,0,0,Year Round,Year Round,0,,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,No,,,,,
MILLVILLE,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milton,John Thompson,9406,8788,9246,Curbside,,,Both,Weekly,Yes,,,None,16,,Both,Both,Neither,Neither,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,Yes,5130,Yes,,Yes,68,3417,,,,,,69,,,,,,1924,19,Year Round,Year Round,Once a Month,Once a Month,Year Round,,Once a Month,Year Round,0,1 or 2,Once a Month,Year Round,Once a Month,Once a Month,Once a Month,0,1 or 2,0,0,Yes,1,No,No,,
Monroe,Marcella Stafford Gore,47,47,47,Curbside,,,Curbside,Weekly,,,,None,,,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,46,Yes,,No,,3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,
MONSON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montague,Jan Ameen,2609,2350,2350,Curbside,,,Both,Weekly,,,,None,,52,Both,Neither,Neither,Neither,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,Yes,1074,No,173,Yes,67,,,,366,246,,16,,,,,,,15,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,No,,,,Montague collects yard waste and brush but does not have tonnage figures.,
Monterey,Kenn Basler,842,648,648,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Both,Neither,Yes,Yes,,,60,,,,,,,,,,,,,,Yes,,,526,Yes,,No,85,,,,60,52,,10,,,,,,,3,0,Year Round,Year Round,Year Round,0,,0,1 or 2,0,1 or 2,Year Round,Year Round,0,0,0,0,0,Year Round,,No,,,,,
MONTGOMERY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Washington,Tom Gregory,148,148,148,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,41,No,21,Yes,79,,,,11,6,,,,,,,,,,0,0,1 or 2,1 or 2,Between 3 & 10,,0,1 or 2,1 or 2,Between 3 & 10,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,0,0,0,No,,,,,
Nahant,Mary Ellen Schumann,1350,1350,1350,Curbside,,,Curbside,Weekly,Yes,,,None,5,32,Both,Both,Both,Neither,,Yes,,,320,,,,,,,,,,,,,,,,,924,Yes,,No,,354,,,,,,,,,,,,,,0,0,Year Round,Year Round,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,
NANTUCKET,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natick,Thomas Hladick,12050,10479,10479,Curbside,,,Both,Bi-weekly,Yes,Yes,96,None,6,52,Both,Both,Neither,Neither,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,6135,Yes,,Yes,,29,0,185,136,140,23,,,,,,,4400,,Year Round,Year Round,Once a Week,Once a Week,Year Round,,Once a Week,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Yes,1,No,No,,
Needham,Greg Smith,10350,6566,6566,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Both,Neither,Yes,,,Yes,,,Yes,,,,,,,,,,,,Yes,,Yes,6749,Yes,,Yes,64,237,1758,327,261,2189,0,220,393,0,0,0,706,1781,66,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Yes,1,No,No,,
New Ashford,Sandy Totter,94,0,94,None,,,Drop-off,,,,,None,,,Recycling,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,Yes,0,Yes,,No,,,,,6,4,,,,,,,,,,0,0,0,0,0,0,0,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,No,,,,,
New Bedford,Marissa Perez-Dormitzer,39068,36394,36394,Curbside,Yes,65,Both,Weekly,Yes,Yes,65,None,37,52,Both,Both,Both,Neither,Yes,,,,,,,,,,,,,,,,,,,,Yes,31335,Yes,,No,,3599,2,457,968,706,26,289,1,,12,,,5155,163,Year Round,1 or 2,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Yes,2,Yes,No,"The single stream automated cart program began on June 23, 2014.Single unit buildings received 65-gallon carts, multiple unit buildings received 95-gallon carts.Other materials recycled:Antifreeze: 0.66 tonsBulky Waste (Recycled at New Bedford Waste Services): 492 tonsC&D (Recycled at New Bedford Waste Services): 67.53 tonsCooking Oil: 2.75 tonsMercury Items: 3.00 tonsMotor Oil: 7.88 tonsOil Filters: 0.9 tonsStyrofoam: 1.06 tonsTires: 19.85 tons",
NEW BRAINTREE,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Marlborough,Sharon Fleck,940,350,350,Drop-off,,,Drop-off,,Yes,,,None,,,Recycling,Neither,Recycling,Neither,,Yes,,,100,,,,,,,,,,,,,,Yes,,,242,Yes,,Yes,,7,,,54,45,,20,,,,,,,10,0,Year Round,Year Round,Year Round,1 or 2,0,0,1 or 2,1 or 2,1 or 2,1 or 2,0,1 or 2,1 or 2,1 or 2,0,0,0,0,No,,,,,
New Salem,Jan Ameen,449,310,310,Drop-off,,,Drop-off,,,,,Drop-off,,,Both,Recycling,Neither,Neither,Yes,Yes,,Yes,20,,Yes,,,,,,,,,,,,,Yes,Yes,151,No,15,Yes,67,,,,52,30,,6,2,,,,3,,,0,0,0,0,0,,0,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,No,,,,,
NEWBURY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newburyport,molly ettenborough,8659,7549,7549,Curbside,,,Both,Bi-weekly,Yes,Yes,64,None,5,32,Both,Both,Both,Neither,Yes,,,,,,,Yes,3,35,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5359,Yes,,Yes,62,2695,,,,,3,12,31,0,5,0,0,4355,18,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Yes,1,Yes,Yes,,
Newton,Adrienne Pereira,33,33,33,Curbside,Yes,64,Both,Weekly,Yes,Yes,64,None,32,,Both,Both,Neither,Neither,Yes,,,Yes,,,Yes,,,,,,,Yes,,Yes,No,Yes,,,Yes,19766,Yes,,No,72,10848,0,141,316,,32,211,271,0,0,0,0,7284,31,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Yes,52,Yes,No,"Recycling is enforced for nonprofits because they cannot purchase a trash cart without also purchasing a recycling cart. We do collect hazardous wastes including chemicals, acid, plant foods, photography equipment, etc.",
Norfolk,Robert J. McGhee,3681,1276,1276,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Neither,Neither,,Yes,,,65,,Yes,,,,,,,,,,,,,,,706,No,286,Yes,,0,144,111,0,200,32,0,25,74,0,0,0,264,11,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,,Yes,28,No,Yes,,
NORTH ADAMS,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Andover,Bruce Thibodeau,11100,8000,8000,Curbside,,,Curbside,Weekly,Yes,,,None,5,36,Both,Both,Both,Neither,Yes,,,,,,,,,,,,,,,,,,,,Yes,8064,Yes,,No,62,1728,,,,,,,,,,,,200,,Year Round,0,Year Round,0,Year Round,0,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Yes,2,Yes,No,,
North Attleborough,Michele Bernier,10826,8741,8775,Both,,,Both,Weekly,Yes,,,None,7,36,Both,Both,Neither,Neither,,Yes,,Yes,225,,Yes,,,,,,,Yes,,Yes,No,Yes,,,Yes,4487,Yes,,Yes,76,2859,,7,15,2,16,48,,43,4,,,3025,12,1 or 2,Year Round,Year Round,Year Round,1 or 2,,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Yes,2,No,No,,
North Brookfield,Lucinda Thompson,2079,1202,1202,Drop-off,,,Drop-off,,,,,None,,52,Both,Recycling,Both,Neither,,,,Yes,,,Yes,,,,,,,Yes,,Yes,No,Yes,Yes,,,621,Yes,,Yes,77,,27,33,68,87,,3,18,,,,,110,5,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Yes,1,Yes,No,Dried out latex paint cans are accepted year round while oil based paints are only accepted at our annual HHW event.,
NORTH READING,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
