Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,Solid Waste program funded by property tax?,Solid Waste program funded by annual fee?,Solid Waste program funded by per-visit fee?,Solid Waste program funded by PAYT revenue?,What is the annual fee?,What is the per-visit fee?,PAYT,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,# Hours Enforcement Personnel on Street,Private Hauler regulations that require recycling,Swap-Shop,Reuse area at transfer station / recycling center?,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,Tip Fee as of 1/1/2016,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Books/Media,Did your municipality host comprehensive household hazardous waste collection events in 2015?,How many events?,Regional,Reciprocal,Comments/Additional Information,,
Lenox,Christopher Ketchen,2212,0,0,None,,,None,,,,,None,,20,Neither,Neither,Neither,Neither,,,,,,,,,,,,,,,,,,,Yes,,,Yes,0,No,0,No,,0,0,0,0,0,,,,,,,,25.11,,1 or 2,0,Between 3 & 10,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,0,0,Yes,1,Yes,Yes,,,
Leominster,Chris Knuth,13432,11558,11558,Both,Yes,64,Both,Weekly,Yes,Yes,64,None,32,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,Yes,8478.47,Yes,,No,68,2517,,,,,,,,,,,,,,Between 3 & 10,1 or 2,1 or 2,1 or 2,Once a Month,Year Round,1 or 2,0,0,Between 3 & 10,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,1 or 2,Year Round,1 or 2,0,0,Yes,4,No,No,,,
Leverett,Jan Ameen,717,550,550,Drop-off,,,Drop-off,,,,,Drop-off,,,Both,Both,Neither,Neither,Yes,,,Yes,,,Yes,,,,,,,,,,,,,Yes,,Yes,153.16,No,49.16,Yes,68,,,,96.04,53.26,,19.28,1.75,,,,78,,4.66,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,,Year Round,No,,,,,,
Lexington,Robert Beaudoin,11438,10979,11438,Curbside,,,Curbside,Weekly,,,,None,24,45,Both,Both,Neither,Neither,Yes,,,,,,,Yes,6,32,,Yes,,Yes,Yes,Yes,No,,,,,Yes,8364,Yes,,No,63,,,299,2229,1807,,49,754,20,,,45,4188,88,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,0,Between 3 & 10,Year Round,0,Year Round,Yes,8,Yes,No,,,
Leyden,Jan Ameen,263,0,0,None,,,None,,,,,None,,,Neither,Neither,Neither,Neither,,,,,,,,,,,,,,,,,,,,,,,0,Yes,,No,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,,
Lincoln,Mary Day,2130,1385,1610,Drop-off,,,Drop-off,,Yes,,,None,,52,Recycling,Neither,Neither,Neither,Yes,,,,,,,,,,,,,Yes,Yes,,No,,,Yes,,Yes,1053,Yes,,No,63,,,,329,182,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,Yes,8,Yes,No,For recycling we did not pay or receive revenue. Instead IPR hauled for free and received any revenue generated.Bulky plastic and mattress' currently go in the trash. We sponsor hazardous waste days 8 times a year.,,
Littleton,Jim Clyde,3623,1836,1836,Drop-off,,,Drop-off,,,,,None,,52,Neither,Neither,Neither,Neither,,,,Yes,,,Yes,,,,,,,,,,,,Yes,Yes,Yes,Yes,1146.84,Yes,,Yes,68.06,0,0,0,78.36,202.07,0,80.05,18.81,0,0,0,0,134,8.22,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,0,Year Round,0,0,No,,,,,,
Longmeadow,Mario Mazza,5892,5484,5484,Curbside,,,Curbside,Weekly,,,,None,6,52,Both,Both,Neither,Neither,Yes,Yes,,Yes,40,,Yes,,,,,,,Yes,,Yes,,,,Yes,,Yes,3489,No,275,Yes,62,,,,1234,616,1.01,13.96,4.9,211,13.75,,,1953,33.22,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,,Year Round,No,,,,,,
Lowell,Gunther Wellenstein,38000,25000,25000,Curbside,Yes,68,Curbside,Bi-weekly,Yes,Yes,96,None,39,6,Both,Both,Neither,Neither,Yes,Yes,,Yes,125,,Yes,Yes,1,68,Yes,,Yes,Yes,Yes,,Yes,25,,,,Yes,24484,Yes,,Yes,58.5,6643.95,,,,,0.75,,25.6,0,68.37,0,0,3330,1,Once a Month,1 or 2,Once a Week,Once a Week,Once a Month,Year Round,Once a Month,1 or 2,,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Month,Once a Month,Year Round,,Once a Month,Yes,2,No,No,,,
Ludlow,Jim Goodreau,6993,6919,6919,Both,,,Both,Weekly,Yes,,,None,,34,Both,Neither,Neither,Neither,Yes,,,,,,Yes,,,,,,,,,,,,,,,,5044,Yes,,Yes,62,1564,,,49,13,,44,,,,,,3613,34,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,,Year Round,No,,,,,,
Lunenburg,Kerry Lafleur,4257,3657,3657,Curbside,,,Curbside,Weekly,Yes,,,None,,12,Both,Both,Neither,Neither,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,1479.48,No,0,Yes,78.56,920,,,,,,,,,,,,300,,Year Round,Year Round,Year Round,Year Round,Once a Month,Year Round,Year Round,Once a Month,0,Once a Month,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,No,,,,The Town of Lunenburg is a member of the Devens HHW which collects many of the other recycled material not collected at the curb. The town is next to the Town of Townsend and has access to their drop off center which is open twice a month. The town is also a member of Nashoba Boards of Health which collects sharps year round.,,
Lynn,Lisa Nerich,33310,26000,26000,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,12,40,Both,Both,Neither,Neither,Yes,,,,,,,Yes,1,64,Yes,Yes,Yes,Yes,Yes,,Yes,50,,,,Yes,23442.34,Yes,,Yes,65.92,6301.96,,,,,,,,,,,,1112.44,36.07,0,0,Once a Week,0,0,0,Once a Week,0,0,0,Once a Week,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,Yes,10,Yes,Yes,,,
Lynnfield,Marlene Faria Connelly,4544,4544,4544,Curbside,,,Curbside,Bi-weekly,,,,None,,40,Both,Both,Neither,Neither,Yes,,,,,,,Yes,7,30,,Yes,,,,,,,,,,,4170.73,Yes,,No,72,,,,559.13,466.68,,,,,,,,3000,,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,1 or 2,1 or 2,,1 or 2,0,0,Year Round,Year Round,Year Round,0,0,0,0,Year Round,Yes,1,No,No,,,
Malden,Ron Zanazzo,24553,17100,17100,Curbside,,,Both,Weekly,,,,None,32,52,Both,Both,Both,Neither,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,11100.44,Yes,,No,74,,,,2108.33,2182.79,,67,2,,,,,1383.81,80,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,0,Year Round,0,Year Round,Yes,2,No,No,,,
Manchester,Thalia Hatcher,2406,2342,2342,Both,,,Both,Weekly,Yes,,,Curbside,2,28,Both,Recycling,Both,Both,Yes,,Yes,Yes,,40,Yes,,,,,,,,,,,,,,,,1311.77,Yes,,Yes,60.6,684.71,,,89.53,68.37,,,,,,,,,,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,Yes,1,No,Yes,,,
Mansfield,Christina Collins,7553,6661,6661,Curbside,Yes,64,Curbside,Weekly,Yes,Yes,64,None,,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,Yes,,Yes,,,,,,Yes,5300,No,0,Yes,66,2640,,,67,112,0,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,No,,,,,,
Marblehead,Andrew Petty,8000,8000,8000,Both,,,Both,Weekly,,,,None,10,52,Both,Both,Neither,Neither,Yes,,,,,,,Yes,3,35,Yes,Yes,No,,,,,,,Yes,,Yes,4623.3,No,0,No,92.89,,113.69,142.85,1154.7,974.22,2,139.27,14,,,,,432,116.32,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,,Year Round,Yes,2,No,No,,,
Marion,Robert C. Zora,2753,2753,2753,Both,,,Both,Bi-weekly,Yes,,,None,2,52,Both,Both,Recycling,Neither,Yes,,,,,,,Yes,5,40,Yes,,Yes,,,,,,,Yes,,,1569.19,No,0,No,,280.01,,,,,,,,,,,,410,,Year Round,0,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,Year Round,0,Year Round,Year Round,,Year Round,Yes,1,Yes,No,"Hazardous Products Collection sponsored by CMW District. Scrap Metal/White Goods, C&D Materials, Swap Shop or Book Re-Use by CMW District #8 (other recycled material) scrap metal/white goods and e-waste - CMW District. Medical Waste/Sharps-Board of Health. Recycling Tonnage - cardboard, steel/tin cans, glass, plastic, newspaper - included in single stream. Bulky waste is accepted at the CMWRRDD Transfer Station. They would be responsible for tracking the tonnage collected.",,
Marlborough,Evan Pilachowski,12000,12000,12000,Both,Yes,65,Both,Bi-weekly,Yes,Yes,95,None,4,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,Yes,Yes,,7798,No,350,Yes,114.32,,,,1136,580,,149,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,,1 or 2,Yes,2,No,Yes,"Please be advised that I have listed textiles, bulky rigid plastics, book/media and consider the carpet recycling program as 1 or 2 times per year for 2015 given the construction/completion of the new Resident Drop-off Facility (RDF). Please note all containers have been placed at the facility and residents are taken advantage of the new programs and seem quite pleased.With respect to revenue at the RDF any and all revenue generated from recyclables from the Resident Drop-off Facility goes to WeCare Environmental per the city's contract agreement with WeCare Environmental.",,
Marshfield,Debbie Sullivan,9250,9250,9250,Both,,,Both,Weekly,Yes,Yes,65,None,4,52,Both,Both,Both,Neither,,Yes,,,300,,Yes,Yes,1,35,Yes,Yes,Yes,,,,,,,Yes,,Yes,7345,Yes,,No,,2535,,,,,,289,18,,,,,137,21,Between 3 & 10,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,1,No,No,"Collection of frequency; there isn't any column that says OTHER. We collect oil, oil filters and oil based paint/stain from May 1 -October 31Other recycled material; during the year prices changed in scrap metal and collection of CRT's CRT's tonnage was 21 tons; we paid .15 cents per ton for CRT's when entering the figure it isn't correct.I am leaving those blank because unable to make it come out correct.",,
Mashpee,Catherine Laurent,6120,3891,6120,Drop-off,,,Drop-off,,Yes,,,Drop-off,,52,Neither,Neither,Neither,Neither,Yes,Yes,Yes,,119,10,,,,,,,,,,,,,Yes,,,Yes,3653,Yes,,Yes,55,704,,165,,,3,233,91,,16.14,,8.35,86.4,48.27,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Year Round,Yes,4,No,Yes,,,
Mattapoisett,Christine Richards,3281,3281,3281,Both,Yes,64,Both,Bi-weekly,Yes,Yes,96,None,1,52,Both,Both,Both,Both,Yes,,,,,,,Yes,1,64,Yes,Yes,No,,,,,,,,Yes,,2280,No,0,Yes,59,551,,,,,,,0.25,,,,,,,Between 3 & 10,0,Between 3 & 10,Between 3 & 10,0,Between 3 & 10,Between 3 & 10,0,0,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,0,Between 3 & 10,0,Between 3 & 10,No,,,,,,
MAYNARD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medfield,Kenneth P Feeney,4328,3237,3237,Drop-off,,,Drop-off,,Yes,,,None,,52,Neither,Neither,Neither,Neither,Yes,Yes,,,25,,,,,,,,,,,,,,,Yes,,Yes,2892,Yes,,No,64,1016,,,,112,28,97,153.5,,2.2,,,406.08,33.67,Year Round,0,Once a Month,Once a Month,1 or 2,Year Round,Year Round,1 or 2,,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,,Year Round,Yes,1,No,Yes,,,
Medford,Mary Menezes,22067,1950,19500,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,15,,Both,Both,Both,Neither,Yes,,,,,,Yes,,,,,,,,,,,,,,,Yes,15396,No,17462,No,87,5488.86,,,,,,,,,,,,,,0,0,Year Round,Year Round,0,Year Round,0,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,No,,,,,,
Medway,Thomas Holder,4391,4120,4120,Curbside,,,Both,Bi-weekly,Yes,Yes,96,None,1,52,Both,Both,Neither,Neither,,Yes,,Yes,250,,Yes,,,,,,,,,,,,Yes,Yes,Yes,Yes,2997.49,Yes,,Yes,64,1412.14,,29,18.5,75,22.11,60.55,,89.69,1.6,,,1202.5,,0,Year Round,Year Round,Year Round,1 or 2,Year Round,0,1 or 2,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,0,Yes,1,No,No,"In the Scrap Metal rate per ton field we used an average as the price varies depending on the type of metal (light iron, cast iron, mixed steel, etc.). In the Rigid Plastic Cost per ton field I put zero as there is no cost per ton, but there is a cost per haul, and we had no clear way to include that. In the apartments/condos we service, we offer service, but many choose to use a private hauler. In the question about charging for bulk waste, we do not charge curbside, only when brought into the recycle center.",,
Melrose,Sadie Brown,8254,7622,7622,Curbside,,,Both,Weekly,Yes,,,None,18,52,Both,Both,Neither,Neither,,Yes,,,200,,,Yes,4,45,,Yes,,,,,,,,,,Yes,7132.15,Yes,,No,61,2209.21,,66.34,123.25,52.5,0.59,,46.18,,1.32,,,2806.5,47.5,1 or 2,Between 3 & 10,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,,Year Round,Yes,1,No,Yes,,,
MENDON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merrimac,Harold Lloyd,2500,1444,1994,Curbside,,,Curbside,Bi-weekly,Yes,,,None,,30,Both,Both,Neither,Neither,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,622,Yes,,No,66.5,414.5,,,,,,2.6,,,,,,46.44,,0,0,Once a Week,Once a Week,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,,
Methuen,Matt Zettek,18943,14889,15811,Curbside,,,Both,Bi-weekly,Yes,,,None,24,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,17575,Yes,,No,64.46,3753.44,,,,,,139,18,,,,,4299,51,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,Year Round,1 or 2,,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Once a Month,Year Round,0,0,Yes,1,No,Yes,,,
Middleborough,Christopher Peck,7000,6050,6050,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,2,52,Recycling,Neither,Neither,Neither,,Yes,,Yes,204,,Yes,Yes,1,64,Yes,,No,,,,,,Yes,,,,4477.23,No,79,Yes,25,1220,,,,,79,120,30.91,,,,,370,8,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Year Round,No,,,,"The town changed to a automated trash and recycling service in July 2015. The town is now utilizing 64 gallon trash carts and 96 gallon recycling carts offering single stream recycling on a bi-weekly basis and trash service on a weekly basis. We have seen a tremendous drop in our trash tonnage as well as an increase in our recycling tonnage. In addition, our contract with SEMASS ended December 2015. We are now delivering trash to the Middleborough Landfill which is being operated by Waste Management. Our contract which expires in June 2031 allows us 6000 free tons of trash disposal, any tonnage above 6000 ton is charge at a rate of $25.00 per ton up to 10,000 ton. The town does not receive any revenue from Waste Management for the single stream recycling collected curbside or dropped off at the landfill.",,
Middlefield,Kathleen A. Casey,272,174,174,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Both,Neither,,Yes,,,50,,,,,,,,,Yes,Yes,,No,,,Yes,,Yes,124,No,12.8,Yes,68,,,,19.5,15.3,,6.8,2.1,,,,,,1,0,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,No,,,,,,
MIDDLETON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milford,Paul Mazzuchelli,10676,8965,8965,Both,,,Both,Bi-weekly,,,,None,8,52,Both,Both,Neither,Neither,Yes,,,,,,,Yes,4,32,Yes,,Yes,Yes,Yes,,No,,,Yes,Yes,,8445,Yes,,No,66,,,1677,1815,655,,723,3.1,5312,,,,2176,5375,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Year Round,Yes,2,No,Yes,,,
Millbury,Robert McNeil,5760,2808,2808,Drop-off,,,Drop-off,,Yes,,,Drop-off,,40,Neither,Neither,Neither,Neither,Yes,Yes,,,35,,,,,,,,,Yes,Yes,,Yes,32,,,,Yes,1814,Yes,,Yes,75.66,810,,,,,,78.58,1,,,,1,2000,1,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,0,No,,,,,,
Millis,James F. McKay,3358,819,819,Drop-off,,,Drop-off,,,,,None,,52,Recycling,Recycling,Neither,Neither,,Yes,,,85,,Yes,,,,,,,,,,,,,,,Yes,470.33,Yes,,Yes,64,0,0,0,138.46,83.71,1,12.5,,0.01,0.55,0.19,,585,3.09,0,0,Year Round,Year Round,0,Year Round,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,,Year Round,No,,,,"Mattresses/Boxspring, Computer and Electronics, Carpet, Upholstered Furniture, and White Goods - $15.00 each - town charges $21.00",,
MILLVILLE,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milton,"John P. Thompson, P.E.",9424,8806,9264,Curbside,,,Both,Weekly,Yes,,,None,16,,Both,Both,Neither,Neither,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,Yes,5340.66,Yes,,Yes,68,3396,,,,,,69.1,,,,,,2503,15.94,Year Round,Year Round,Once a Month,Once a Month,Year Round,Once a Month,Once a Month,Year Round,0,1 or 2,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,0,1 or 2,0,0,Once a Month,Yes,1,No,No,,,
Monroe,Sandy Totter,43,43,43,Curbside,,,Curbside,Weekly,,,,None,,,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,Yes,49.91,Yes,,No,,1.55,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,Monroe joined NBSWMD in September of 2015.,,
MONSON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montague,Jan Ameen,2540,2540,2540,Curbside,,,Both,Weekly,,,,None,,52,Both,Neither,Neither,Neither,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,Yes,1138.24,No,178.33,Yes,67,,,,346.09,230.4,,16.59,,,,,,,11.79,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,0,No,,,,Montague collects yard waste and brush year-round but does not have weights or volumes.,,
Monterey,Kenn Basler,844,750,750,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Both,Neither,Yes,Yes,,,70,,,,,,,,,Yes,Yes,,No,,Yes,Yes,,Yes,431.19,No,161.3,Yes,,,,,76.98,33.42,,27.21,,,2.37,,,,26.88,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,,Year Round,No,,,,Mattress- We are charged $35. per mattress. Above chart does not seem to reflect our totals. Numbers are for 1/2 year We were not charged first halfTextiles/used clothing - We contract company to provide dumpster- no cost to town we do not get weight summaryRecycle Electronics - we pay by container - 24 yd @ $925.x 6 pickups =$5550,,
MONTGOMERY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Washington,Tom Gregory,147,147,147,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,33.29,No,7.95,Yes,80,,,,14.83,9.77,,,,,,,,,,0,0,1 or 2,1 or 2,Between 3 & 10,1 or 2,0,1 or 2,,Between 3 & 10,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,0,0,0,0,No,,,,,,
Nahant,Mary Ellen Schumann,1350,1350,1350,Curbside,,,Curbside,Weekly,Yes,,,None,8,28,Both,Both,Both,Neither,,Yes,,,345,,,,,,,,,,,,,,,,,,1113,Yes,,No,,351,,,,,,,,,,,,,,0,0,Year Round,Year Round,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,,
NANTUCKET,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natick,Thomas Hladick,13000,10400,10400,Curbside,,,Both,Bi-weekly,Yes,Yes,96,Curbside,6,52,Both,Both,Neither,Neither,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,Yes,5547.83,Yes,,Yes,,3544.17,,195.27,130.57,167.92,26.37,167.92,8.02,332.5,,,,189,34.87,Year Round,Year Round,Once a Week,Once a Week,Year Round,Year Round,Once a Week,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,,,
Needham,Greg Smith,9983,9983,9983,Drop-off,,,Drop-off,,Yes,,,Drop-off,,52,Both,Both,Neither,Neither,Yes,,,Yes,,,Yes,,,,,,,,,,,,,Yes,,Yes,9281,Yes,,Yes,75.66,260.21,1673.66,364.67,232.04,888.05,111,458,182,,15.62,,1092,319.79,16,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,PAYT bag costs listed in survey are for bags sold in packages of 10- not the cost for individual bags.,,
New Ashford,Sandy Totter,94,0,94,None,,,Drop-off,,,,,None,,,Recycling,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,Yes,0,Yes,,No,,,,,,3.54,,1.79,,,,,,,,0,0,0,0,0,0,0,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,No,,,,,,
New Bedford,Marissa Perez-Dormitzer,39088,36394,36394,Curbside,Yes,65,Both,Weekly,Yes,Yes,65,None,38,52,Both,Both,Both,Neither,Yes,,,,,,,Yes,1,65,Yes,,Yes,Yes,Yes,,Yes,32,Yes,,,Yes,27477.83,No,303.58,No,,7225.56,,383.14,,,11.86,259.24,127.62,,0.9,,,5341.73,62.92,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Yes,2,Yes,No,"The single stream automated cart program began on June 23, 2014.Single unit buildings received 65-gallon carts, multiple unit buildings received 95-gallon carts.Other Recycled Materials:Antifreeze = .88 tonsBatteries = 1.56 tonsBooks = 16.04 tonsBulky items that are recycled = 910.73 tonsConstruction and demolition = 189.95 tonsCooking oil = 1.52 tonsMercury items = 3.11 tonsMotor oil = 4.69Shredded paper = 7.85 tonsStyrofoam = .39 tonsTires = 9.75 tonsAlso composted food waste at Connecting for Change, a youth wellness day, and a Thanksgiving church dinner.",,
NEW BRAINTREE,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
