Municipality Name,Contact Name,Total Number of Households ,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Recycling Service Type,Yard Waste Service Type,Food Waste Service Type,Curbside yard waste       # weeks collected ,Drop-off yard waste # days drop off center open ,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Trash Disposal Tonnage ,Single Stream Recyclables,Mixed Paper (dual stream),Commingled Containers (dual stream),Newspaper,Cardboard,Steel/tin Cans,Aluminum,Glass,Plastic,Scrap Metal/ White Goods,Textiles/ Used Clothing,C&D Materials,Swap Shop or Book Reuse,Other Materials,Auto Batteries,Household Batteries (including button batteries),Tires,Used Oil,Used Oil Filters,Antifreeze,Computers/ Electronics,Propane Tanks,Latex/Oil based Paint,Fluorescent Lamps/ CFLs,Thermostats,Thermometers,Flow Meters,Mercury Switches,Elemental Mercury,# comprehensive hazardous product collection events ,Regional Program,Reciprocal Program,Comments/Additional Information,,
Revere,Paula Martin,18977,16432,16432,Curbside,Curbside,Curbside,Curbside,18,0,Both,Both,Neither,17327,2687,0,0,0,0,0,0,0,0,0,0,0,0,0,Year Round,Year Round,12,Year Round,Year Round,Year Round,12,12,12,12,Year Round,Year Round,Year Round,Year Round,Year Round,1,Y,N,,,
RICHMOND,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rochester,Jeffrey G Eldridge,1852,1852,1852,Both,Both,Drop off,None,0,300,Both,Both,Both,2324,100,0,73,110,20,0,0,0,0,0,0,36,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1,Y,,,,
Rockland,Janice Mccarthy,7087,4373,7087,Curbside,Both,Drop off,None,0,245,Both,Both,Neither,5089,1030,14,0,0,39,1,1,3,2,35,4,221,0,147,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,3 to 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1,Y,Y,Member of South Shore Recycling Cooperative,,
Rockport,Joseph Parisi,3418,3003,3003,Drop off,Drop off,Drop off,None,0,208,Neither,Neither,Neither,4864,0,25.43,99.94,552.93,0,0,0,164.23,35.3,38,20,286,20,5,3 to 10,Year Round,Year Round,3 to 10,3 to 10,3 to 10,3 to 10,Year Round,3 to 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,5,N,Y,,,
Rowe,Jan Ameen,155,150,150,Drop off,Drop off,None,None,0,0,Neither,Neither,Neither,197,0,32,16,0,0,0,0,0,0,13,0,0,0,0,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,0,Year Round,0,0,0,0,0,1,Y,Y,,,
ROWLEY,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROYALSTON,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUSSELL,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUTLAND,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem,Julie Rose,12676,12100,10500,Curbside,Curbside,Both,None,5,300,Both,Both,Both,12178,0,1878,1044,0,0,0,0,0,0,3,0,0,5,0,1 to 2,Year Round,1 to 2,1 to 2,1 to 2,1 to 2,Year Round,1 to 2,Year Round,1 to 2,1 to 2,1 to 2,0,1 to 2,1 to 2,2,N,Y,,,
Salisbury,Donald R. Levesque,4673,0,0,None,Drop off,Drop off,None,0,52,Neither,Neither,Neither,0,0,29,41,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1 to 2,0,1 to 2,0,0,1 to 2,0,0,0,0,0,0,1,N,N,,,
SANDISFIELD,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwich,Paul S Tilton,8500,5500,5500,Drop off,Drop off,Drop off,None,0,316,Both,Both,Neither,5393,0,203,23,0,0,0,38,0,0,678,48,0,0,178,Year Round,Year Round,Year Round,Year Round,0,,3 to 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,4,Y,Y,Compost not included in recycling figures.,,
Saugus,Lorna Cerbone,9975,8758,8758,Curbside,Both,Both,None,4,38,Both,Both,Neither,8324,0,1295.35,684.55,0,0,0,0,0,0,0,0,0,0,0,1 to 2,Year Round,3 to 10,1 to 2,1 to 2,1 to 2,52,1 to 2,1 to 2,3 to 10,Year Round,Year Round,Year Round,Year Round,Year Round,2,,Y,"We have roll-off containers available to all (condo's, businesses, residents) at our drop-off site which was open 38 Saturdays last year and I do not believe that tonnage is tracked.  We also have scrap metal collectors that drive our routes and pick-up at our DPW on a 52 regular basis.  Saugus has many clothing collection boxes at Churches, YMCA, store parking lots, etc. that I do not receive tonnage info, as well as two Got Books collection boxes at Churches.  Library also runs book swaps throughout the year.  We also have  shredding  toters located in some Municipal buildings and I have not received that tonnage.",,
Savoy,Scott Koczela,287,122,122,Drop off,Drop off,None,None,0,0,Neither,Neither,Neither,90,0,21,11,0,0,0,0,0,0,8,0,0,0,0,0,Year Round,1 to 2,0,0,1 to 2,1 to 2,1 to 2,3 to 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,1,Y,N,Member NBSWMD,,
Scituate,Kevin Cafferty,7200,4500,4500,Drop off,Drop off,None,Drop off,0,0,Neither,Neither,Both,3147.37,0,1384.84,581.04,0,0,3,0,0,0,340,200,2558.81,200,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1,Y,Y,I was notifyed by Claire Sulliavan of the SSRC that the this form had not been submitted. So I am resubmitting. Please use this as the correct copy if another is on record. Thank you.,,
Seekonk,Elizabeth Lamothe,5194,4984,4984,Curbside,Both,Both,None,7,272,Neither,Neither,Neither,2766,0,0,1441,0,0,7,0,0,0,22,11,0,0,0,Year Round,Year Round,12,Year Round,Year Round,1 to 2,Year Round,Year Round,1 to 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1,N,N,272 gallons of waste oil collected,,
Sharon,Liz Curley,5326,4922,4922,Curbside,Curbside,Drop off,None,7,20,Both,Both,Neither,5921.53,1414.81,880.27,0,478.63,483,0,0,0,0,0,0,0,0,0,1 to 2,Year Round,Year Round,1 to 2,1 to 2,1 to 2,Year Round,1 to 2,1 to 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1,N,N,,,
Sheffield,Rhonda Labombard,1462,801,818,Drop off,Drop off,None,None,0,0,Recycling,Recycling,Neither,564.37,0,136.46,77.64,0,0,0,0,0,0,183.6,0,0,0,0,,,,,,,Year Round,,,Year Round,,,,,,2,Y,,The Town belongs to the Southern Berkshire Regional Household Hazardous Waste Collection Program. Seven mini site collections and two comprehensive collections were held in 2010.  The Town held 2 bulky waste days.,,
Shelburne,Jan Ameen,794,720,720,Drop off,Drop off,None,None,0,0,Neither,Neither,Neither,304,0,100,46,0,0,0,0,0,0,0,0,0,0,0,0,Year Round,0,0,0,0,0,0,0,Year Round,0,0,0,0,0,1,Y,Y,,,
Sherborn,Carol Rubenstein,1437,1437,1437,Drop off,Drop off,None,None,0,253,Both,Both,Both,1651,0,482,110,0,0,0,0,0,0,68,14,0,9,27,Year Round,Year Round,Year Round,Year Round,Year Round,1 to 2,Year Round,Year Round,1 to 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1,N,Y,"Other Materials were electronics, refrigerators, and A/c's.    Also, we have a newly expanded Swap Shop (measuring 30 feet x 50 feet). The tonnage shown above for ""Swap Shop/books""  is for book collection only by GotBooks.",,
Shirley,Dawn Mccall,2405,1850,1850,Both,Both,Both,Drop off,1,50,Both,Both,Both,1586,0,0,393,0,0,0,0,0,0,0,0,0,0,0,52,52,52,0,0,0,52,52,0,0,0,0,0,0,0,2,Y,,,,
Shrewsbury,Robert Moore,11568,10000,10000,Curbside,Curbside,Both,None,7,7,Both,Both,Neither,6391,0,2002.12,1215.43,0,41.15,0,0,0,0,0,0,0,34.44,0,0,Year Round,52,0,0,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,,,,,
Shutesbury,Gary Bernhard,831,831,831,Curbside,Curbside,None,None,0,0,Both,Both,Both,328.76,0,91.15,98.44,0,0,0,0,0,0,0,0,0,0,0,1 to 2,Year Round,1 to 2,0,0,0,1 to 2,1 to 2,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Y,,The figures in this survey are for FY 2010.  We don't have figures for July-December 2010.,,
Somerset,Chief Scott H. Jepson,6355,5800,5800,Both,Both,Both,Both,44,16,Trash,Trash,Trash,3775,0,0,1550.7,0,0,0,0,0,0,6.62,0,0,0,2379.24 Tons,Year Round,Year Round,Year Round,12,12,0,Year Round,0,0,0,0,0,0,0,0,0,,,CRT'S COLLECTED:  439 TV'S - 66 CONSOLE TV'S - 287 MONITORS - 58 COMPUTERS - 1 PROJECTION TV,,
SOMERVILLE,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Hadley,Veronique Blanchard Smith,6729,6200,6200,Both,Both,Both,None,8,104,Trash,Trash,Trash,4763,0,953,438,0,0,0,0,0,0,135,5,0,30,0,Year Round,Year Round,Year Round,Year Round,1 to 2,Year Round,Year Round,Year Round,3 to 10,Year Round,Year Round,Year Round,Year Round,Year Round,1 to 2,2,N,N,,,
Southampton,Ed Cauley,2125,1618,1618,Drop off,Drop off,Drop off,Drop off,0,157,Both,Both,Neither,825,0,488,248,0,0,0,0,0,0,298,23,248,0,49,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,1,Y,N,,,
Southborough,Karen Galligan,3260,2755,2755,Drop off,Drop off,Drop off,None,0,208,Neither,Neither,Neither,3126,0,0,248,321,109,0,2,0,0,156,77,0,35,0,Year Round,Year Round,Year Round,0,0,1 to 2,1 to 2,Year Round,1 to 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1,N,N,,,
Southbridge,Kim Grant,7200,6200,6200,Curbside,Curbside,Both,None,12,244,Both,Both,Neither,5362,1063,0,0,0,0,0,0,0,0,0,0,0,0,0,3 to 10,3 to 10,3 to 10,3 to 10,0,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,4,N,N,We do not accept used oil filters or latex paint at the HHW events.,,
SOUTHWICK,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spencer,"Steven J. Tyler, P.E., U&F Superintendent",4915,2488,2488,Drop off,Drop off,Drop off,None,0,156,both,both,both,1773,,425,,,,18,,62,21,42,32,111,,,weekly,weekly,weekly,weekly,0,0,1 or 2,weekly,0,weekly,weekly,0,0,weekly,0,1,yes,,Shared Regional HHW event. Drop-off at North Brookfield,,
Springfield,Greg Superneau,61000,45000,47000,Curbside,Both,Both,None,30,250,Recycling,Recycling,Both,42883,6524,0,0,0,0,0,0,0,0,0,0,0,0,0,3 to 10,3 to 10,Year Round,3 to 10,3 to 10,3 to 10,Year Round,Year Round,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,5,N,N,,,
Sterling,William P. Tuttle,3752,3752,3752,Curbside,Curbside,Drop off,None,0,156,Recycling,Recycling,Neither,2182.73,0,400.62,234.89,0,36.36,0,0,0,0,125,7,0,8,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,2,Y,,"Wachusett Watershed Regional Recycling Center will collect all mercury, paint and other hazardous waste items now and in the future.  They are planning on at least 6 hazardous waste collection days per year starting 2011.",,
Stockbridge,Jorja-Ann P. Marsden,1390,1194,1194,Drop off,Drop off,None,None,0,0,Neither,Neither,Both,753.54,0,249.35,218.17,0,0,0,0,0,0,28.26,0,218.72,29,17.45,0,0,Year Round,Year Round,0,0,0,0,0,Year Round,0,0,0,0,0,0,N,N,The Stockbridge participated in a Recycling Pilot Program put on by the state in June and July which combined paper and plastic for single sort recycling.  These two months were added into the survey under comingled containers since we could not specify how much was paper and how much was plastic.,,
Stoneham,Dan Dragani,22200,8000,8000,Curbside,Curbside,Curbside,None,7,56,Both,Both,Neither,8404,0,826,391,0,0,0,0,0,0,200,120,0,0,0,0,0,0,52,0,0,52,0,0,52,52,52,0,52,0,0,N,N,,,
Stoughton,John M. Batchelder,8594,7122,7122,Curbside,Both,Drop off,None,0,57,Neither,Neither,Neither,8778,0,328.18,338.37,0,16.21,0,0,0,0,73.58,0,0,0,0,1 to 2,1 to 2,1 to 2,Year Round,0,0,Year Round,Year Round,Year Round,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1,N,N,,,
STOW,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sturbridge,Alyssa Rusiecki,3651,1985,1985,Drop off,Drop off,Drop off,None,0,156,Neither,Neither,Neither,359,0,0,0,104.7,44.5,12.4,5,42.2,37.1,83,20,119.5,26,0,Year Round,Year Round,Year Round,Year Round,12,12,Year Round,Year Round,12,Year Round,12,12,12,12,12,11,N,N,,,
SUDBURY,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunderland,Jan Ameen,900,0,0,None,None,None,None,0,0,Neither,Neither,Neither,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Y,Y,,,
Sutton,Mark Brigham,2709,896,896,Drop off,Drop off,Drop off,None,0,260,Neither,Neither,Neither,572.9,0,0,0,150,100,20,0,35,36,54,2,0,1,0,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,,,,,
Swampscott,Jeff Vaughan,5690,4690,4690,Curbside,Curbside,Both,None,6,245,Both,Both,Neither,4947,0,700,373,0,0,0,0,0,0,35,0,0,0,0,1 to 2,Year Round,0,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,2,Y,N,no alkaline batteries accepted.   small amount of business trash is collected curbside (approx. 15 businesses),,
SWANSEA,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taunton,Angela Santos,23000,18701,18701,Both,Both,Both,None,4,312,Both,Both,Neither,13625.21,0,2360.99,1292.89,34.07,215.47,0,0,0,0,149.63,0,0,0,0,Year Round,1 to 2,Year Round,Year Round,1 to 2,1 to 2,Year Round,Year Round,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1,N,N,,,
Templeton,Joyce E. Crouse,3657,0,0,None,None,None,None,0,0,Neither,Neither,Neither,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 to 2,1 to 2,0,Year Round,0,0,1 to 2,1 to 2,1 to 2,1 to 2,Year Round,Year Round,Year Round,Year Round,Year Round,1,N,N,,,
Tewksbury,Sandra Barbeau,11040,10262,10262,Curbside,Curbside,Curbside,None,11,0,Both,Both,Neither,10053.05,0,1405.23,862.95,0,0,0,0,0,0,32.95,0,0,0,0,0,Year Round,Year Round,Year Round,0,0,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,,,,,
TISBURY,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOLLAND,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topsfield,Donna Rich,2211,2211,2211,Curbside,Curbside,Drop off,None,0,31,Trash,Trash,Neither,1888.9,0,518.39,288.6,0,0,0,0,0,0,0,0,0,0,0,1 to 2,1 to 2,0,52,1 to 2,1 to 2,52,0,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,,Y,,,,
Townsend,Carla Walter,3295,2914,3295,Curbside,Both,Drop off,Curbside,0,0,Both,Both,Neither,2983,0,0,296,370,0,0,0,0,0,0,0,0,0,0,Year Round,Year Round,Year Round,Year Round,1 to 2,1 to 2,Year Round,Year Round,1 to 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1,Y,,"We do not have numbers for specific recycling.  We only track the paper, co-mingle and trash tonnage.",,
Truro,Paul A. Morris,1000,1000,1000,Drop off,Drop off,Drop off,Drop off,0,360,Both,Both,Both,1481,0,0,43,214,0,0,0,89,0,35,64,55,0,1117,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,3,Y,N,,,
TYNGSBOROUGH,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyringham,Molly Curtin-Schaefer,350,350,350,Drop off,Drop off,None,None,0,0,Neither,Neither,Both,115,0,30,15,0,0,0,0,0,0,8,0,0,0,11,0,0,0,0,0,0,Year Round,0,0,Year Round,0,0,0,0,0,0,Y,N,,,
Upton,Diane Tiernan,2702,2115,2120,Curbside,Curbside,None,None,0,0,Both,Both,Neither,1438.4,0,373.09,233.78,0,0,0,0,0,0,12,0,0,0,0,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,2,N,N,,,
Uxbridge,Denise Delannoy,5117,0,5117,None,Drop off,Drop off,None,0,60,Neither,Neither,Neither,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,"The Uxbridge directs residents to the Blackstone Valley Recycling Center, Chestnut St, Blackstone, MA which will take items at a reduced fee.",,
Wakefield,Michael W. Martello,8258,7302,7302,Curbside,Curbside,Both,None,0,65,Recycling,Recycling,Neither,9014,0,882,536,0,0,0,0,0,0,35,0,0,0,0,1 to 2,0,1 to 2,Year Round,0,1 to 2,3 to 10,Year Round,1 to 2,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,2,N,Y,"Curbside collection of yard waste was three days per year one in the spring and two in the fall.    Used oil collection - Reading, DPW Yard, 75 New Crossing Road, Reading, MA",,
WALES,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walpole,Robin Chapell,7947,6847,6847,Curbside,Both,Drop off,None,0,95,Both,Both,Neither,7399,0,1075,499,0,0,0,0,0,0,0,0,0,0,0,1 to 2,Year Round,0,1 to 2,1 to 2,1 to 2,3 to 10,1 to 2,1 to 2,3 to 10,Year Round,Year Round,Year Round,Year Round,Year Round,1,N,Y,,,
Waltham,Eileen Zubrowski,22924,22924,22924,Curbside,Curbside,Curbside,None,0,0,Trash,Trash,Trash,19973,3092,0,0,0,0,0,0,0,0,0,0,0,0,0,3 to 10,3 to 10,,3 to 10,3 to 10,3 to 10,52,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,0,0,3 to 10,8,Y,,,,
WARE,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wareham,Marilyn Field,17000,4003,17000,Drop off,Drop off,Drop off,Drop off,0,260,Both,Both,Neither,779.6,0,37.5,774,0,136,2.64,39.6,26.7,1.29,4.7,0,0,0.25,1.52,Year Round,Year Round,Year Round,0,0,0,0,Year Round,12,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1,Y,N,"Wareham has only drop off municipal programs for residents,both solid waste and recycling.  Most residents contract indivdually or through their landlords for these services.  Businesses contract individually as well .  Municipal buildings and schools use a private hauler for both , which is a municipal program.",,
Warren,Robert Downing,1898,650,650,Drop off,Drop off,Drop off,None,0,104,Neither,Neither,Neither,650,0,108.4,77.7,0,0,0,0,0,0,49560,0,81.4,0,15,0,0,Year Round,0,0,0,0,0,0,Year Round,0,0,0,0,0,0,N,N,,,
Warwick,Jan Ameen,285,250,250,Drop off,Drop off,None,None,0,0,Neither,Neither,Neither,123,0,35,28,0,0,0,0,0,0,17,0,0,0,0,0,Year Round,Year Round,0,0,0,Year Round,Year Round,0,Year Round,0,0,0,0,0,1,Y,Y,,,
Washington,Jamie Cahillane,203,203,203,Drop off,Drop off,None,None,0,0,Neither,Neither,Both,119,0,27.37,16.63,0,0,0,0,0,0,8.1,0.5,0,1,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,N,N,,,
Watertown,"Gerald S. Mee, Jr. ",13584,13584,13584,Curbside,Both,Both,None,16,102,Both,Both,Trash,27413,512.59,8.21,1358.03,2404.32,0,0,0,0,0,16.79,0,0,0,3969.42,,,1 to 2,,,,52,,,Year Round,Year Round,Year Round,,,,8,Y,N,,,
Wayland,George Russell,4881,2300,2300,Drop off,Drop off,Drop off,None,0,156,Both,Both,Neither,1159,0,751,118,0,0,0,0,116,0,96,0,0,0,34,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,2,N,N,,,
WEBSTER,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wellesley,Gordon Martin,8100,8100,8100,Drop off,Drop off,Drop off,None,0,307,Recycling,Recycling,Both,8729,0,1129,0,1318,1502,58,13,423,559,404,187,1161,119,178,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,12,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1,N,N,,,
Wellfleet,Lydia Vivante,3660,3300,3660,Drop off,Drop off,Drop off,None,0,307,Both,Both,Both,1937,0,33,42,95,86,0,0,122,0,199,5,427,10,46,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,3 to 10,Year Round,Year Round,Year Round,0,Year Round,Year Round,3,Y,Y,"In Disposal Tonnage -- other materials consist of batteries, tires, and electronics.",,
Wendell,Jan Ameen,375,360,360,Drop off,Drop off,None,None,0,0,Neither,Neither,Neither,196,0,48,40,0,0,0,0,0,0,6,0,0,0,0,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,0,Year Round,0,0,0,0,0,1,Y,Y,,,
Wenham,Bill Tyack,1318,1318,1318,Curbside,Curbside,None,Curbside,0,0,Neither,Neither,Neither,977.54,228.57,167.86,90.33,0,0,0,0,0,0,0,0,0,0,0,1 to 2,Year Round,1 to 2,1 to 2,1 to 2,1 to 2,12,12,1 to 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1,Y,N,,,
West Boylston,Leon A. Gaumond Jr.,2570,2570,2570,Curbside,Both,Drop off,None,0,7,Both,Both,Neither,1406.7,0,43.77,219.93,377.77,0,0,0,0,0,0,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,3 to 10,Year Round,Year Round,3 to 10,Year Round,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,,Y,N,,,
WEST BRIDGEWATER,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST BROOKFIELD,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Newbury,Jane Krafton,1497,1425,1425,Curbside,Both,None,None,0,0,Neither,Neither,Both,1516,555.94,34.18,21.4,0,0,0,0,0,0,37.73,0,0,0,0,1 to 2,Year Round,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1,Y,Y,,,
West Springfield,Michael Pattavina,13000,8600,8600,Curbside,Both,Both,None,6,280,Both,Both,Neither,7780,0,1000,320,0,0,0,0,0,0,450,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 to 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 to 2,1,N,Y,"77 tons of e-waste  3,140 tons compost  193 tons bulk",,
West Stockbridge,John Olander,685,685,685,Drop off,Drop off,Drop off,Drop off,52,52,Neither,Neither,Neither,423.66,34.66,91.88,43.03,0,0,0,0,0,0,23.57,0,0,0,0,1 to 2,1 to 2,0,3 to 10,3 to 10,3 to 10,1 to 2,Year Round,3 to 10,Year Round,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,2,Y,N,,,
WEST TISBURY,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westborough,Paul Mcnulty,6500,6500,6500,Drop off,Drop off,Drop off,Drop off,0,302,Both,Both,Both,5412,0,70,132,289,209,0,0,60,0,475,64,45,3,0,Year Round,Year Round,Year Round,1 to 2,0,1 to 2,Year Round,1 to 2,1 to 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1,N,N,,,
Westfield,Barry Searle,13700,9600,9600,Curbside,Both,Both,None,1,261,Both,Both,Neither,14113,102.76,2022.13,765.44,0,0,0,0,0,0,237.71,3.482,0,22.27,78.44,Year Round,Year Round,Year Round,52,52,52,Year Round,Year Round,3 to 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,N,N,"In the ""other materials"" category we itemize as follows: 49.96 tons of e-waste, 10.01 tons of tires, 18.22 tons of freon-bearing appliances and 0.25 tons of electric ballasts for a total of 78.44 tons.    Our recycling tonnages are itemized as follows: Our own municipal program- 1,635.18 tons paper/cardboard and 675.22 tons commingled (these are numbers from DEP and the Springfield MRF). In addition we have the totals from three private haulers serving our multifamilies, which are 90.22 tons commingled containers, 191.39 tons mixed paper and 195.56 tons cardboard for a grand total of 2022.13 tons paper and 765.44 tons commingled. This does not include 102.76 tons of single-stream recycling (which is shown above) from one of the private haulers serving the multifamilies.",,
Westford,John Mangiaratti,8061,8061,8061,Curbside,Curbside,Drop off,None,0,2,Both,Both,Neither,8297.16,2654.67,0,0,0,0,0,0,0,0,25,0,0,16,0,0,Year Round,0,Year Round,0,0,3 to 10,Year Round,1 or 2,Year Round,Year Round,Year Round,,Year Round,0,1,Y,N,,,
Westhampton,Eric Weiss,550,500,500,Drop off,Drop off,None,None,0,0,Neither,Neither,Both,317.04,0,43.19,87.91,0,0,0,0,0,0,17.3,10.8,0,0,2.9,0,1 to 2,Year Round,1 to 2,1 to 2,1 to 2,Year Round,,Year Round,Year Round,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1,Y,,Westhampton is part of the Hilltown Resource Management Cooperative,,
WESTMINSTER,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Robert Hoffman,3350,1750,1600,Drop off,Drop off,Drop off,None,0,207,Both,Both,Neither,2138,0,334,0,266,0,0,0,141,66,104,16,0,0,94,1 to 2,Year Round,0,1 to 2,1 to 2,1 to 2,Year Round,Year Round,1 to 2,Year Round,Year Round,Year Round,Year Round,Year Round,,1,N,N,"Cardboard is included with mixed paper.  Steel, tin cans, aluminum included with scrap metal.  Other materials - Clean wood, electronics, appliances w/freon, deposit containers.",,
